trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2614.49,0.8,1706384.0,2612.0584,0.093
2025-05-07,2633.18,0.71,2433685.0,2614.06998,0.7284
2025-05-08,2629.74,-0.13,1839368.0,2615.56236,0.5406
2025-05-09,2619.3,-0.4,1724923.0,2615.91833,0.1292
2025-05-12,2606.49,-0.49,1617932.0,2615.02039,-0.3267
2025-05-13,2608.33,0.07,1387790.0,2614.38321,-0.2318
2025-05-14,2637.16,1.11,1557891.0,2616.55243,0.7845
2025-05-15,2640.05,0.11,2061918.0,2618.79029,0.8085
2025-05-16,2620.55,-0.74,1730120.0,2618.95788,0.0608
2025-05-19,2642.2,0.83,1681848.0,2621.17142,0.7991
2025-05-20,2677.87,1.35,2344134.0,2626.57128,1.9342
2025-05-21,2670.09,-0.29,2004640.0,2630.71592,1.4856
2025-05-22,2645.2,-0.93,1716386.0,2632.09536,0.4966
2025-05-23,2611.24,-1.28,1479035.0,2630.10913,-0.72
2025-05-26,2623.92,0.49,1234840.0,2629.51969,-0.2132
2025-05-27,2636.79,0.49,1598195.0,2630.2121,0.2498
2025-05-28,2616.19,-0.78,1584332.0,2628.87666,-0.4838
2025-05-29,2626.45,0.39,1378945.0,2628.64555,-0.0836
2025-05-30,2658.0,1.2,2140162.0,2631.44122,1.0042
2025-06-03,2705.92,1.8,1982741.0,2638.53443,2.5218
2025-06-04,2726.42,0.76,1863785.0,2646.90449,2.9599
2025-06-05,2677.7,-1.79,1841771.0,2649.83739,1.046
2025-06-06,2682.22,0.17,1667435.0,2652.92145,1.0983
2025-06-09,2728.31,1.72,1815920.0,2660.10131,2.5318
2025-06-10,2725.96,-0.09,2280545.0,2666.37357,2.2101
2025-06-11,2780.9,2.02,2376236.0,2677.28085,3.7973
2025-06-12,2749.95,-1.11,1777615.0,2684.20172,2.4199
2025-06-13,2725.63,-0.88,2019633.0,2688.14727,1.3847
2025-06-16,2704.99,-0.76,1537659.0,2689.75134,0.5649
2025-06-17,2702.75,-0.08,1541226.0,2690.98931,0.4361
2025-06-18,2678.69,-0.89,1408632.0,2689.81794,-0.4146
2025-06-19,2647.97,-1.15,1426938.0,2685.83243,-1.4197
2025-06-20,2640.23,-0.29,1192651.0,2681.48934,-1.5506
2025-06-23,2648.11,0.3,1228795.0,2678.31035,-1.134
2025-06-24,2670.97,0.86,1270932.0,2677.61127,-0.2483
2025-06-25,2678.98,0.3,1345909.0,2677.74163,0.0462
2025-06-26,2666.56,-0.46,1192418.0,2676.67671,-0.3787
