trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2902.08,0.76,467719.0,2924.39376,-0.7659
2025-05-07,2902.22,0.0,476665.0,2922.28197,-0.6889
2025-05-08,2902.96,0.03,448124.0,2920.44178,-0.6004
2025-05-09,2874.75,-0.97,438266.0,2916.09018,-1.4278
2025-05-12,2856.61,-0.63,423960.0,2910.42541,-1.8664
2025-05-13,2859.68,0.11,363294.0,2905.59251,-1.5928
2025-05-14,2887.77,0.98,420465.0,2903.89513,-0.5568
2025-05-15,2871.2,-0.57,415930.0,2900.78131,-1.025
2025-05-16,2847.07,-0.84,371054.0,2895.66594,-1.6925
2025-05-19,2855.24,0.29,359225.0,2891.81585,-1.2729
2025-05-20,2878.95,0.83,437735.0,2890.59053,-0.4035
2025-05-21,2876.22,-0.09,392848.0,2889.22191,-0.451
2025-05-22,2855.32,-0.73,322490.0,2885.99316,-1.0685
2025-05-23,2825.29,-1.05,303191.0,2880.21191,-1.9253
2025-05-26,2825.93,0.02,314241.0,2875.0422,-1.723
2025-05-27,2807.9,-0.64,282075.0,2868.6477,-2.1404
2025-05-28,2785.74,-0.79,264601.0,2860.75173,-2.6571
2025-05-29,2808.89,0.83,271187.0,2855.81252,-1.6567
2025-05-30,2887.68,2.81,967110.0,2858.84752,1.0035
2025-06-03,2944.09,1.95,810285.0,2866.96585,2.6545
2025-06-04,2946.55,0.08,548384.0,2874.54529,2.474
2025-06-05,2887.85,-1.99,433572.0,2875.81241,0.4177
2025-06-06,2913.69,0.89,446882.0,2879.4198,1.1832
2025-06-09,3002.47,3.05,766357.0,2891.13886,3.7785
2025-06-10,2978.32,-0.8,495791.0,2899.44183,2.6841
2025-06-11,3092.61,3.84,992502.0,2917.8388,5.8172
2025-06-12,3046.01,-1.51,495406.0,2930.04558,3.8815
2025-06-13,3027.81,-0.6,543624.0,2939.35648,2.9649
2025-06-16,2986.01,-1.38,426010.0,2943.79967,1.4237
2025-06-17,2988.77,0.09,337575.0,2948.08256,1.3707
