trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,3390.73,2.18,7699439.0,3321.7903,2.0541
2025-05-07,3429.84,1.15,8814620.0,3332.08075,2.8917
2025-05-08,3422.67,-0.21,7749578.0,3340.7083,2.4238
2025-05-09,3387.35,-1.03,6498627.0,3345.15036,1.2536
2025-05-12,3426.84,1.17,6786117.0,3352.93033,2.1804
2025-05-13,3436.53,0.28,7455946.0,3360.8922,2.2256
2025-05-14,3457.36,0.61,7865968.0,3370.07961,2.5569
2025-05-15,3428.23,-0.84,7511351.0,3375.61774,1.5466
2025-05-16,3448.92,0.6,7800595.0,3382.59891,1.9417
2025-05-19,3462.34,0.39,7790185.0,3390.1933,2.1058
2025-05-20,3467.14,0.14,7815700.0,3397.52156,2.0284
2025-05-21,3463.72,-0.1,7786164.0,3403.82617,1.7443
2025-05-22,3404.78,-1.7,6716682.0,3403.91701,0.0253
2025-05-23,3406.53,0.05,7110625.0,3404.16587,0.0694
2025-05-26,3413.83,0.21,6467114.0,3405.08626,0.2565
2025-05-27,3431.43,0.52,7583707.0,3407.59519,0.697
2025-05-28,3404.24,-0.79,8017662.0,3407.27565,-0.0891
2025-05-29,3429.57,0.74,7352600.0,3409.39892,0.5899
2025-05-30,3383.91,-1.33,6554536.0,3406.9714,-0.6792
2025-06-03,3406.79,0.68,6042864.0,3406.95413,-0.0048
2025-06-04,3438.39,0.93,6616118.0,3409.94802,0.8306
2025-06-05,3446.47,0.23,7105522.0,3413.4263,0.9634
2025-06-06,3472.09,0.74,7796157.0,3419.01332,1.5405
2025-06-09,3509.63,1.08,7643949.0,3427.64348,2.3638
2025-06-10,3484.57,-0.71,8742813.0,3433.06505,1.4891
2025-06-11,3492.47,0.23,7350636.0,3438.72267,1.5509
2025-06-12,3495.54,0.09,7102912.0,3444.13384,1.4815
2025-06-13,3471.86,-0.68,8207493.0,3446.77443,0.7252
2025-06-16,3483.82,0.34,7252439.0,3450.30258,0.9667
2025-06-17,3475.63,-0.23,7368739.0,3452.71471,0.6615
2025-06-18,3449.78,-0.74,6892585.0,3452.43522,-0.0769
2025-06-19,3403.45,-1.34,7010402.0,3447.76996,-1.2938
2025-06-20,3385.44,-0.53,6198493.0,3441.83377,-1.6521
2025-06-23,3416.36,0.91,6576574.0,3439.4077,-0.6724
2025-06-24,3469.14,1.54,7892289.0,3442.23935,0.7784
2025-06-25,3482.36,0.38,8429964.0,3446.06036,1.0479
2025-06-26,3472.28,-0.29,8373509.0,3448.55747,0.6855
2025-06-27,3490.59,0.53,7690824.0,3452.56057,1.0955
2025-06-30,3522.64,0.92,7348987.0,3459.2348,1.8163
2025-07-01,3546.5,0.68,8251464.0,3467.54577,2.2514
2025-07-02,3554.28,0.22,8711372.0,3475.80617,2.2326
2025-07-03,3561.94,0.22,7737446.0,3484.0094,2.2122
2025-07-04,3518.55,-1.22,7413159.0,3487.29898,0.8921
2025-07-07,3539.27,0.59,6604615.0,3492.2486,1.3375
2025-07-08,3587.1,1.35,8043313.0,3501.28206,2.4215
2025-07-09,3556.45,-0.85,7790788.0,3506.53615,1.4134
2025-07-10,3578.38,0.62,7917758.0,3513.37842,1.8332
2025-07-11,3572.47,-0.17,7477366.0,3519.00619,1.5079
2025-07-14,3593.74,0.6,7147671.0,3526.1237,1.8994
2025-07-15,3557.89,-1.0,7917907.0,3529.14906,0.8111
2025-07-16,3556.8,-0.03,6168974.0,3531.78248,0.7059
2025-07-17,3587.13,0.85,6435934.0,3537.05368,1.4058
2025-07-18,3635.87,1.36,8431218.0,3546.46475,2.4897
2025-07-21,3716.38,2.21,9937703.0,3562.64716,4.2246
2025-07-22,3772.45,1.51,10873088.0,3582.62838,5.1628
2025-07-23,3741.8,-0.81,10881288.0,3597.78758,3.9248
2025-07-24,3775.47,0.9,10043785.0,3614.70972,4.3513
2025-07-25,3782.32,0.18,10189381.0,3630.6726,4.092
2025-07-28,3791.63,0.25,9253076.0,3646.00188,3.9165
2025-07-29,3793.35,0.05,9298692.0,3660.03503,3.5777
2025-07-30,3806.19,0.34,10135023.0,3673.95455,3.536
2025-07-31,3729.35,-2.02,8815270.0,3679.23031,1.353
2025-08-01,3727.14,-0.06,7398861.0,3683.79314,1.1698
2025-08-04,3749.36,0.6,6971894.0,3690.0376,1.5949
2025-08-05,3782.04,0.87,8007627.0,3698.79973,2.2255
2025-08-06,3810.86,0.76,8784405.0,3709.47214,2.6965
2025-08-07,3805.2,-0.15,8856837.0,3718.58908,2.3024
2025-08-08,3814.15,0.24,8197632.0,3727.69012,2.2929
2025-08-11,3865.88,1.36,9597757.0,3740.85106,3.2876
2025-08-12,3865.44,-0.01,9392226.0,3752.71667,2.9595
2025-08-13,3886.61,0.55,10011400.0,3765.46842,3.1665
2025-08-14,3827.97,-1.51,10551192.0,3771.42095,1.4883
2025-08-15,3908.04,2.09,10129576.0,3784.43229,3.214
2025-08-18,3942.71,0.89,12869877.0,3799.50636,3.6997
2025-08-19,3928.16,-0.37,10921752.0,3811.75908,3.008
2025-08-20,3970.42,1.08,10519660.0,3826.86965,3.6825
2025-08-21,3999.59,0.73,12188439.0,3843.31921,3.9855
2025-08-22,4019.63,0.5,10652248.0,3860.11071,4.0494
2025-08-25,4062.51,1.07,12361599.0,3879.38683,4.6124
2025-08-26,4113.57,1.26,11899838.0,3901.68999,5.2881
2025-08-27,4014.99,-2.4,12683521.0,3912.48047,2.5863
2025-08-28,4036.74,0.54,11924771.0,3924.31471,2.8246
2025-08-29,4064.3,0.68,10968236.0,3937.64664,3.1658
2025-09-01,4090.04,0.63,11009878.0,3952.16029,3.4292
2025-09-02,4006.08,-2.05,11468341.0,3957.2955,1.2252
2025-09-03,3946.89,-1.48,9111204.0,3956.3045,-0.2382
2025-09-04,3900.05,-1.19,10076943.0,3950.94693,-1.2966
2025-09-05,4009.06,2.79,9837110.0,3956.48151,1.3202
2025-09-08,4123.45,2.85,12013817.0,3972.38327,3.7324
2025-09-09,4093.83,-0.72,11115094.0,3983.94963,2.7207
2025-09-10,4055.23,-0.94,9023660.0,3990.73823,1.6031
2025-09-11,4102.65,1.17,9108720.0,4001.3965,2.499
2025-09-12,4103.52,0.02,9780345.0,4011.12254,2.2774
2025-09-15,4088.43,-0.37,8911426.0,4018.48516,1.7256
2025-09-16,4086.62,-0.04,9039071.0,4024.97419,1.52
2025-09-17,4094.99,0.2,8926565.0,4031.64236,1.559
2025-09-18,4042.99,-1.27,12265327.0,4032.72309,0.2543
2025-09-19,4048.88,0.15,9167721.0,4034.26184,0.3617
2025-09-22,4023.59,-0.62,8415798.0,4033.24548,-0.2397
2025-09-23,3965.42,-1.45,9389575.0,4026.78591,-1.5357
2025-09-24,4032.33,1.69,8641913.0,4027.31392,0.1245
2025-09-25,4015.18,-0.43,8119674.0,4026.15831,-0.273
2025-09-26,4010.41,-0.12,7908034.0,4024.65847,-0.3547
2025-09-29,4076.08,1.64,8488382.0,4029.55576,1.148
2025-09-30,4113.74,0.92,8641448.0,4037.5733,1.8689
2025-10-09,4188.44,1.82,10498071.0,4051.94156,3.3132
2025-10-10,4195.72,0.17,10035921.0,4065.63475,3.1495
2025-10-13,4157.03,-0.92,9689841.0,4074.33906,2.0092
2025-10-14,4071.17,-2.07,10769686.0,4074.03724,-0.0704
2025-10-15,4102.77,0.78,8119539.0,4076.77369,0.6356
2025-10-16,4030.68,-1.76,7874219.0,4072.38382,-1.0293
2025-10-17,3951.07,-1.98,8024615.0,4060.83012,-2.7401
2025-10-20,3976.51,0.64,7431525.0,4052.79963,-1.9003
2025-10-21,4019.1,1.07,7331768.0,4049.59014,-0.7558
2025-10-22,3994.37,-0.62,6946831.0,4044.33108,-1.243
2025-10-23,4027.06,0.82,7051011.0,4042.68622,-0.3873
2025-10-24,4035.46,0.21,7901236.0,4041.99801,-0.1619
