trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2179.58,2.29,1073612.0,2153.02935,1.2256
2025-05-07,2196.76,0.79,914770.0,2157.19417,1.8175
2025-05-08,2188.46,-0.38,734004.0,2160.17187,1.301
2025-05-09,2168.77,-0.9,701229.0,2160.99074,0.3593
2025-05-12,2177.52,0.4,661266.0,2162.56495,0.6892
2025-05-13,2178.72,0.06,622807.0,2164.10353,0.6731
2025-05-14,2187.26,0.39,576088.0,2166.30891,0.9625
2025-05-15,2170.73,-0.76,546557.0,2166.72996,0.1844
2025-05-16,2159.41,-0.52,524587.0,2166.03283,-0.3062
2025-05-19,2175.06,0.72,583361.0,2166.89256,0.3762
2025-05-20,2172.28,-0.13,524219.0,2167.40565,0.2246
2025-05-21,2169.69,-0.12,490660.0,2167.6232,0.0953
2025-05-22,2150.32,-0.89,564630.0,2165.97528,-0.7254
2025-05-23,2139.2,-0.52,604313.0,2163.42525,-1.1261
2025-05-26,2142.61,0.16,474898.0,2161.44285,-0.8751
2025-05-27,2132.05,-0.49,486355.0,2158.64353,-1.2396
2025-05-28,2118.99,-0.61,425918.0,2154.867,-1.6789
2025-05-29,2128.72,0.46,472045.0,2152.37681,-1.1052
2025-05-30,2124.17,-0.21,493174.0,2149.69045,-1.1943
2025-06-03,2095.0,-1.37,606522.0,2144.48183,-2.3344
2025-06-04,2119.68,1.18,561027.0,2142.11975,-1.0531
2025-06-05,2113.33,-0.3,610406.0,2139.37787,-1.225
2025-06-06,2119.39,0.29,542314.0,2137.47427,-0.8497
2025-06-09,2135.91,0.78,588677.0,2137.32529,-0.0662
2025-06-10,2128.23,-0.36,565308.0,2136.45907,-0.3859
2025-06-11,2147.95,0.93,712001.0,2137.55345,0.4852
2025-06-12,2140.26,-0.36,616659.0,2137.81121,0.1145
2025-06-13,2120.22,-0.94,638260.0,2136.13586,-0.7479
2025-06-16,2117.87,-0.11,556943.0,2134.39625,-0.7773
2025-06-17,2124.26,0.3,516442.0,2133.4309,-0.4308
2025-06-18,2101.44,-1.07,478549.0,2130.38414,-1.3679
2025-06-19,2074.14,-1.3,667220.0,2125.02756,-2.4238
2025-06-20,2076.84,0.13,546111.0,2120.43827,-2.0775
2025-06-23,2074.63,-0.11,551479.0,2116.07558,-1.978
2025-06-24,2098.71,1.16,603276.0,2114.42171,-0.7458
2025-06-25,2115.43,0.8,659308.0,2114.51774,0.0431
2025-06-26,2099.44,-0.76,662457.0,2113.08176,-0.6477
2025-06-27,2112.34,0.61,756678.0,2113.01112,-0.0318
2025-06-30,2123.09,0.51,691570.0,2113.97101,0.4304
2025-07-01,2139.0,0.75,667884.0,2116.35473,1.0643
2025-07-02,2211.19,3.37,1548501.0,2125.38666,3.9577
2025-07-03,2208.26,-0.13,1349845.0,2133.27936,3.4544
2025-07-04,2219.26,0.5,1379010.0,2141.46799,3.5682
2025-07-07,2218.29,-0.04,984233.0,2148.78437,3.1834
2025-07-08,2255.12,1.66,1273778.0,2158.91157,4.3599
2025-07-09,2240.93,-0.63,1171771.0,2166.72285,3.3675
2025-07-10,2273.31,1.44,1398291.0,2176.87401,4.3347
2025-07-11,2317.13,1.93,1730518.0,2190.23172,5.6322
2025-07-14,2320.69,0.15,1799164.0,2202.65632,5.2201
2025-07-15,2291.87,-1.24,1478000.0,2211.15286,3.5854
2025-07-16,2262.58,-1.28,1208793.0,2216.05068,2.0779
2025-07-17,2294.69,1.42,1131411.0,2223.54014,3.1497
2025-07-18,2325.53,1.34,1362101.0,2233.25346,4.0488
2025-07-21,2405.62,3.44,1971426.0,2249.66932,6.7024
2025-07-22,2467.93,2.59,2075481.0,2270.45605,8.3399
2025-07-23,2467.68,-0.01,2743264.0,2289.23929,7.5059
2025-07-24,2533.72,2.68,2318638.0,2312.52316,9.1349
2025-07-25,2503.9,-1.18,2294966.0,2330.74953,7.166
2025-07-28,2468.49,-1.41,1880109.0,2343.86767,5.1804
2025-07-29,2532.43,2.59,1962547.0,2361.82599,6.9744
2025-07-30,2584.33,2.05,2528330.0,2383.01685,8.1099
2025-07-31,2478.93,-4.08,2329270.0,2392.15143,3.5634
2025-08-01,2447.76,-1.26,1589270.0,2397.44749,2.0769
2025-08-04,2448.46,0.03,1305248.0,2402.30582,1.903
2025-08-05,2483.92,1.45,1471115.0,2410.0786,3.0179
2025-08-06,2485.3,0.06,1319696.0,2417.24254,2.7766
2025-08-07,2480.96,-0.17,1629058.0,2423.31087,2.3511
2025-08-08,2508.62,1.11,1488928.0,2431.43555,3.1251
2025-08-11,2507.96,-0.03,1369353.0,2438.72359,2.7995
2025-08-12,2487.07,-0.83,1222850.0,2443.32801,1.7744
2025-08-13,2490.44,0.14,1528181.0,2447.81487,1.7264
2025-08-14,2441.45,-1.97,1560432.0,2447.20869,-0.2356
2025-08-15,2457.37,0.65,1252921.0,2448.17643,0.3748
2025-08-18,2476.28,0.77,1764349.0,2450.85296,1.0321
2025-08-19,2474.51,-0.07,1438490.0,2453.10602,0.8687
2025-08-20,2494.64,0.81,1377995.0,2457.06163,1.5178
2025-08-21,2508.13,0.54,1574434.0,2461.92529,1.8594
2025-08-22,2505.41,-0.11,1727667.0,2466.06669,1.5828
2025-08-25,2574.09,2.74,2140660.0,2476.35462,3.8709
2025-08-26,2548.84,-0.98,2277815.0,2483.25799,2.6067
2025-08-27,2494.46,-2.13,2219507.0,2484.32485,0.4071
2025-08-28,2493.08,-0.06,1797143.0,2485.15867,0.3182
2025-08-29,2498.05,0.2,1693401.0,2486.38642,0.468
2025-09-01,2498.6,0.02,1663277.0,2487.54962,0.4432
2025-09-02,2473.1,-1.02,1482845.0,2486.17346,-0.5272
2025-09-03,2430.15,-1.74,1144875.0,2480.8379,-2.0643
2025-09-04,2394.4,-1.47,1170331.0,2472.60571,-3.214
2025-09-05,2418.88,1.02,1039367.0,2467.48898,-1.9896
2025-09-08,2461.67,1.77,1211138.0,2466.93479,-0.2136
2025-09-09,2463.88,0.09,1334148.0,2466.64386,-0.1121
2025-09-10,2447.94,-0.65,1039401.0,2464.86254,-0.6889
2025-09-11,2473.94,1.06,1058598.0,2465.72706,0.3325
2025-09-12,2508.81,1.41,1784763.0,2469.8302,1.5659
2025-09-15,2494.84,-0.56,1443673.0,2472.21208,0.9111
2025-09-16,2493.35,-0.06,1376411.0,2474.22522,0.77
2025-09-17,2492.72,-0.03,1134261.0,2475.98663,0.6736
2025-09-18,2442.76,-2.0,1460825.0,2472.82218,-1.2232
2025-09-19,2434.77,-0.33,1201775.0,2469.19817,-1.4041
2025-09-22,2429.06,-0.23,1070082.0,2465.37548,-1.484
2025-09-23,2381.67,-1.95,1044071.0,2457.40353,-3.1303
2025-09-24,2404.35,0.95,994142.0,2452.35082,-1.9767
2025-09-25,2403.37,-0.04,1259003.0,2447.68598,-1.8271
2025-09-26,2407.58,0.18,1099670.0,2443.86636,-1.4959
2025-09-29,2467.63,2.49,1269913.0,2446.12956,0.8751
2025-09-30,2493.2,1.04,1288185.0,2450.61246,1.7229
2025-10-09,2577.51,3.38,2026351.0,2462.69794,4.5566
2025-10-10,2597.51,0.78,1841256.0,2475.53719,4.8096
2025-10-13,2636.1,1.49,2040334.0,2490.82888,5.6685
2025-10-14,2627.72,-0.32,2862778.0,2503.86613,4.8281
2025-10-15,2622.21,-0.21,1997649.0,2515.13698,4.169
2025-10-16,2566.16,-2.14,1540280.0,2519.99631,1.8153
2025-10-17,2545.42,-0.81,1692771.0,2522.41762,0.9078
2025-10-20,2550.58,0.2,1369059.0,2525.09975,1.004
2025-10-21,2576.18,1.0,1197906.0,2529.96453,1.8102
2025-10-22,2569.52,-0.26,1069456.0,2533.73172,1.4026
2025-10-23,2579.01,0.37,1109458.0,2538.04394,1.6012
2025-10-24,2556.61,-0.87,1285762.0,2539.81213,0.6592
2025-10-27,2605.59,1.92,1711912.0,2546.07669,2.3106
2025-10-28,2570.35,-1.35,1452957.0,2548.38844,0.8581
2025-10-29,2602.64,1.26,1378195.0,2553.55525,1.904
2025-10-30,2626.08,0.9,1983328.0,2560.46237,2.5304
2025-10-31,2621.93,-0.16,1843511.0,2566.31643,2.1439
2025-11-03,2671.73,1.9,2097063.0,2576.35582,3.635
2025-11-04,2671.04,-0.03,2064900.0,2585.37336,3.2598
2025-11-05,2685.9,0.56,1786446.0,2594.94733,3.445
2025-11-06,2732.64,1.74,1828258.0,2608.06091,4.6661
2025-11-07,2736.97,0.16,1811159.0,2620.33797,4.3548
2025-11-10,2724.43,-0.46,1893791.0,2630.2515,3.518
2025-11-11,2741.36,0.62,1755788.0,2640.83326,3.736
2025-11-12,2721.53,-0.72,1605303.0,2648.51866,2.7194
2025-11-13,2765.97,1.63,1699894.0,2659.7045,3.9176
2025-11-14,2762.67,-0.12,1516841.0,2669.51074,3.4302
2025-11-17,2771.27,0.31,1559442.0,2679.2021,3.3787
2025-11-18,2692.27,-2.85,1972620.0,2680.44666,0.4401
2025-11-19,2690.64,-0.06,1599793.0,2681.41746,0.3434
2025-11-20,2688.19,-0.09,1376560.0,2682.06246,0.2282
2025-11-21,2569.78,-4.4,1375370.0,2671.36889,-3.8771
2025-11-24,2563.54,-0.24,1116312.0,2661.09947,-3.735
