trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,4721.86,2.57,5541623.0,4652.30359,1.484
2025-05-07,4743.23,0.45,5265167.0,4660.96325,1.7496
2025-05-08,4722.81,-0.43,4263199.0,4666.85342,1.1919
2025-05-09,4695.15,-0.59,3787263.0,4669.54833,0.5468
2025-05-12,4744.4,1.05,4881387.0,4676.67706,1.4377
2025-05-13,4747.86,0.07,4399293.0,4683.45639,1.3658
2025-05-14,4786.78,0.82,4860196.0,4693.29673,1.9723
2025-05-15,4724.19,-1.31,4891509.0,4696.23895,0.5934
2025-05-16,4723.75,-0.01,4391045.0,4698.85905,0.5283
2025-05-19,4711.8,-0.25,3931039.0,4700.09152,0.2488
2025-05-20,4737.33,0.54,4166047.0,4703.63804,0.7137
2025-05-21,4834.54,2.05,5330376.0,4716.10489,2.4803
2025-05-22,4786.61,-0.99,4150031.0,4722.81967,1.3416
2025-05-23,4783.3,-0.07,4417956.0,4728.5797,1.1506
2025-05-26,4799.28,0.33,4220940.0,4735.31306,1.3418
2025-05-27,4700.02,-2.07,3864749.0,4731.95182,-0.6771
2025-05-28,4700.09,0.0,2919486.0,4728.91736,-0.6115
2025-05-29,4714.48,0.31,3306357.0,4727.54237,-0.2767
2025-05-30,4668.39,-0.98,2859375.0,4721.90881,-1.1399
2025-06-03,4733.82,1.4,4012884.0,4723.04321,0.2279
2025-06-04,4798.96,1.38,4813318.0,4730.27338,1.4416
2025-06-05,4787.48,-0.24,4603445.0,4735.72163,1.087
2025-06-06,4842.88,1.16,4952881.0,4745.92719,2.0223
2025-06-09,4864.76,0.45,6320684.0,4757.2446,2.2349
2025-06-10,4869.71,0.1,6227462.0,4767.95559,2.1117
2025-06-11,4977.24,2.21,7657934.0,4787.88744,3.8786
2025-06-12,5047.03,1.4,7164492.0,4812.56768,4.7569
2025-06-13,5026.6,-0.4,8045135.0,4832.95171,3.9286
2025-06-16,5005.01,-0.43,6247892.0,4849.33822,3.1597
2025-06-17,5002.87,-0.04,5388414.0,4863.96029,2.8159
2025-06-18,4976.06,-0.54,5029489.0,4874.63645,2.0593
2025-06-19,4880.62,-1.92,4827368.0,4875.20632,0.111
2025-06-20,4846.95,-0.69,3821622.0,4872.51524,-0.5261
2025-06-23,4897.27,1.04,4252748.0,4874.87283,0.4584
2025-06-24,4936.99,0.81,5395044.0,4880.78875,1.1449
2025-06-25,4980.56,0.88,4908450.0,4890.29078,1.8291
2025-06-26,4986.56,0.12,5195567.0,4899.45928,1.7621
2025-06-27,5094.64,2.17,7266450.0,4918.04792,3.5277
2025-06-30,5100.49,0.11,6724607.0,4935.42335,3.2898
2025-07-01,5176.42,1.49,6370760.0,4958.37541,4.3036
2025-07-02,5214.55,0.74,7141939.0,4982.77299,4.5466
2025-07-03,5230.85,0.31,5819085.0,5006.39938,4.3857
2025-07-04,5147.33,-1.6,5542668.0,5019.82134,2.5084
2025-07-07,5116.66,-0.6,4095656.0,5029.04407,1.7272
2025-07-08,5177.64,1.19,5708913.0,5043.19606,2.6309
2025-07-09,5060.57,-2.26,6391354.0,5044.85072,0.3111
2025-07-10,5110.35,0.98,6804415.0,5051.08875,1.1664
2025-07-11,5199.61,1.75,10072725.0,5065.23363,2.6183
2025-07-14,5228.75,0.56,10124486.0,5080.80662,2.8702
2025-07-15,5184.98,-0.84,8188930.0,5090.72789,1.8345
2025-07-16,5161.62,-0.45,5892666.0,5097.47952,1.2504
2025-07-17,5185.11,0.46,6107916.0,5105.82528,1.5409
2025-07-18,5294.21,2.1,9406067.0,5123.76668,3.2724
2025-07-21,5421.69,2.41,10210978.0,5152.14033,5.0995
2025-07-22,5531.18,2.02,11058497.0,5188.23935,6.4007
2025-07-23,5509.18,-0.4,10035846.0,5218.80512,5.4147
2025-07-24,5662.11,2.78,14050734.0,5261.02464,7.3471
2025-07-25,5648.91,-0.23,12269902.0,5297.9661,6.414
2025-07-28,5621.52,-0.48,10354279.0,5328.78076,5.348
2025-07-29,5606.22,-0.27,8748089.0,5355.20354,4.5808
2025-07-30,5570.96,-0.63,9440993.0,5375.75178,3.5669
2025-07-31,5393.43,-3.19,8958473.0,5377.43542,0.297
2025-08-01,5388.2,-0.1,6215926.0,5378.46062,0.1809
2025-08-04,5488.95,1.87,6570517.0,5388.98341,1.838
2025-08-05,5513.16,0.44,6372281.0,5400.80976,2.0589
2025-08-06,5573.09,1.09,6953505.0,5417.2174,2.8367
2025-08-07,5640.04,1.2,10710452.0,5438.4386,3.6399
2025-08-08,5699.68,1.06,9638596.0,5463.31873,4.2354
2025-08-11,5720.83,0.37,9711397.0,5487.84361,4.1579
2025-08-12,5697.8,-0.4,8663695.0,5507.83946,3.3908
2025-08-13,5832.9,2.37,10014585.0,5538.79761,5.1737
2025-08-14,5777.23,-0.95,10531165.0,5561.50545,3.8055
2025-08-15,5905.88,2.23,10736144.0,5594.30303,5.42
2025-08-18,5913.92,0.14,13320641.0,5624.74274,5.0134
