trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,4473.93,2.64,17496499.0,4357.82301,2.6295
2025-05-07,4457.28,-0.37,17357128.0,4367.29511,2.0395
2025-05-08,4479.69,0.5,14467427.0,4377.99938,2.2962
2025-05-09,4386.74,-2.07,13319512.0,4378.83182,0.1804
2025-05-12,4463.38,1.75,15466172.0,4386.88403,1.7287
2025-05-13,4434.84,-0.64,15072477.0,4391.45127,0.9832
2025-05-14,4443.96,0.21,13678296.0,4396.4521,1.0748
2025-05-15,4349.87,-2.12,11260910.0,4392.01571,-0.9642
2025-05-16,4354.05,0.1,10217695.0,4388.39993,-0.7858
2025-05-19,4360.46,0.15,10680634.0,4385.73898,-0.5781
2025-05-20,4391.35,0.71,11479082.0,4386.27336,0.1157
2025-05-21,4350.32,-0.93,11577541.0,4382.84923,-0.745
2025-05-22,4324.57,-0.59,11310932.0,4377.29883,-1.2119
2025-05-23,4259.53,-1.5,11559098.0,4366.08275,-2.4707
2025-05-26,4296.67,0.87,10575744.0,4359.47201,-1.4511
2025-05-27,4241.53,-1.28,9419046.0,4348.23944,-2.4847
2025-05-28,4225.5,-0.38,9247570.0,4336.54997,-2.5941
2025-05-29,4314.39,2.1,12414691.0,4334.4395,-0.4636
2025-05-30,4234.59,-1.85,10425793.0,4324.93002,-2.1109
2025-06-03,4246.35,0.28,9724571.0,4317.44621,-1.6604
2025-06-04,4296.18,1.17,10626911.0,4315.42086,-0.4469
2025-06-05,4395.45,2.31,15095320.0,4323.04268,1.661
2025-06-06,4387.09,-0.19,12191047.0,4329.14242,1.3297
2025-06-09,4412.27,0.57,12758868.0,4337.05934,1.7193
2025-06-10,4339.66,-1.65,14392175.0,4337.30702,0.0542
2025-06-11,4355.02,0.35,12018801.0,4338.99397,0.3687
2025-06-12,4343.28,-0.27,13065708.0,4339.40216,0.0893
2025-06-13,4302.78,-0.93,14949505.0,4335.91434,-0.7671
2025-06-16,4338.65,0.83,12352535.0,4336.17488,0.0571
2025-06-17,4336.18,-0.06,12226048.0,4336.17536,0.0001
2025-06-18,4401.06,1.5,15416256.0,4342.35485,1.3429
2025-06-19,4375.1,-0.59,15473829.0,4345.47344,0.6795
2025-06-20,4343.82,-0.71,13726569.0,4345.31597,-0.0344
2025-06-23,4387.75,1.01,15122196.0,4349.3573,0.8788
2025-06-24,4465.11,1.76,17316169.0,4360.38137,2.3734
2025-06-25,4534.5,1.55,19838640.0,4376.9641,3.5359
2025-06-26,4503.03,-0.69,19028532.0,4388.97037,2.5656
2025-06-27,4544.26,0.92,20174852.0,4403.75986,3.1406
2025-06-30,4609.9,1.44,20362138.0,4423.39226,4.1299
2025-07-01,4614.85,0.11,20749871.0,4441.62633,3.8259
2025-07-02,4522.05,-2.01,16617965.0,4449.28572,1.6222
2025-07-03,4598.54,1.69,19283709.0,4463.50042,2.9806
2025-07-04,4577.83,-0.45,19812742.0,4474.38895,2.2855
2025-07-07,4547.37,-0.67,14264564.0,4481.33953,1.4627
2025-07-08,4650.67,2.27,19250870.0,4497.46624,3.3497
2025-07-09,4612.56,-0.82,17945790.0,4508.42755,2.2835
2025-07-10,4598.27,-0.31,16387318.0,4516.98397,1.7836
2025-07-11,4620.38,0.48,17184354.0,4526.83121,2.0455
2025-07-14,4620.14,-0.01,13287111.0,4535.71776,1.8442
2025-07-15,4656.49,0.79,19169912.0,4547.21988,2.3746
2025-07-16,4641.73,-0.32,16895578.0,4556.22085,1.8594
2025-07-17,4742.99,2.18,20402092.0,4574.00838,3.6278
2025-07-18,4719.71,-0.49,19020719.0,4587.88473,2.8328
2025-07-21,4741.71,0.47,17380189.0,4602.53475,2.9791
2025-07-22,4730.38,-0.24,18790932.0,4614.71049,2.4756
