trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,5083.24,1.81,7346405.0,4948.60369,2.6843
2025-05-07,5057.76,-0.5,7062739.0,4958.99953,1.972
2025-05-08,5034.51,-0.46,5184682.0,4966.191,1.3663
2025-05-09,4913.7,-2.4,5645196.0,4961.19186,-0.9619
2025-05-12,4951.41,0.77,5749953.0,4960.26026,-0.1786
2025-05-13,4925.22,-0.53,5187626.0,4956.92309,-0.6416
2025-05-14,4939.73,0.29,4972305.0,4955.28565,-0.3144
2025-05-15,4837.83,-2.06,4214279.0,4944.0994,-2.1729
2025-05-16,4830.78,-0.15,3810120.0,4933.30708,-2.1002
2025-05-19,4849.44,0.39,4307529.0,4925.31973,-1.5526
2025-05-20,4873.22,0.49,4350326.0,4920.35786,-0.9626
2025-05-21,4821.48,-1.06,4681997.0,4910.94092,-1.8385
2025-05-22,4806.51,-0.31,4683858.0,4900.99511,-1.9467
2025-05-23,4729.25,-1.61,4660248.0,4884.63844,-3.2329
2025-05-26,4764.74,0.75,4058107.0,4873.21954,-2.2512
2025-05-27,4702.08,-1.32,3696935.0,4856.92053,-3.24
2025-05-28,4670.89,-0.66,3473185.0,4839.20334,-3.54
2025-05-29,4760.71,1.92,4541209.0,4831.72778,-1.4807
2025-05-30,4681.86,-1.66,3694114.0,4817.45466,-2.855
2025-06-03,4713.0,0.67,4273640.0,4807.5066,-1.9854
2025-06-04,4738.94,0.55,3598162.0,4800.97645,-1.3006
2025-06-05,4829.37,1.91,5052723.0,4803.68059,0.5334
2025-06-06,4833.79,0.09,4834674.0,4806.54816,0.5652
2025-06-09,4838.42,0.1,4663943.0,4809.58357,0.5978
2025-06-10,4734.2,-2.15,6041640.0,4802.40418,-1.4304
2025-06-11,4732.31,-0.04,4439415.0,4795.72855,-1.3312
2025-06-12,4692.73,-0.84,4760795.0,4785.91916,-1.9664
2025-06-13,4672.53,-0.43,6304858.0,4775.12019,-2.1718
2025-06-16,4683.03,0.22,4071040.0,4766.3497,-1.7635
2025-06-17,4672.37,-0.23,4229955.0,4757.39925,-1.8035
2025-06-18,4713.7,0.88,4734370.0,4753.23742,-0.8353
2025-06-19,4710.69,-0.06,5446244.0,4749.18528,-0.8139
2025-06-20,4676.78,-0.72,4601210.0,4742.28954,-1.391
2025-06-23,4733.04,1.2,5980609.0,4741.40863,-0.1767
2025-06-24,4824.24,1.93,6518269.0,4749.29733,1.5657
2025-06-25,4921.69,2.02,8286517.0,4765.71568,3.2204
2025-06-26,4870.72,-1.04,7345286.0,4775.71609,1.9698
2025-06-27,4889.6,0.39,7477061.0,4786.56218,2.1298
2025-06-30,4960.91,1.46,7591068.0,4803.16674,3.2314
2025-07-01,4942.47,-0.37,8301938.0,4816.43371,2.5831
2025-07-02,4839.81,-2.08,6361507.0,4818.66003,0.438
2025-07-03,4849.06,0.19,4958828.0,4821.55526,0.5688
2025-07-04,4832.01,-0.35,6028050.0,4822.55095,0.1959
2025-07-07,4820.81,-0.23,4011605.0,4822.38515,-0.0327
2025-07-08,4884.63,1.32,5583418.0,4828.31323,1.1596
2025-07-09,4827.81,-1.16,4793030.0,4828.2653,-0.0094
2025-07-10,4813.11,-0.3,4585276.0,4826.82194,-0.2845
2025-07-11,4883.89,1.47,6452009.0,4832.25699,1.0628
2025-07-14,4858.51,-0.52,4493082.0,4834.75728,0.4901
2025-07-15,4851.71,-0.14,5777825.0,4836.37182,0.3166
2025-07-16,4861.25,0.2,6110328.0,4838.74117,0.4641
2025-07-17,4896.48,0.72,6201451.0,4844.24011,1.0726
2025-07-18,4904.62,0.17,6152826.0,4849.99058,1.1201
2025-07-21,4913.41,0.18,6031003.0,4856.03052,1.1747
2025-07-22,4919.85,0.13,6751745.0,4862.10857,1.1806
2025-07-23,4953.54,0.68,6995240.0,4870.81632,1.6841
2025-07-24,5021.4,1.37,7565310.0,4885.15762,2.7507
2025-07-25,5132.81,2.22,9234274.0,4908.74357,4.4635
2025-07-28,5126.17,-0.13,8120369.0,4929.45084,3.9131
2025-07-29,5212.04,1.68,9850521.0,4956.3641,5.0299
2025-07-30,5169.69,-0.81,9462531.0,4976.68085,3.805
2025-07-31,5113.87,-1.08,10034288.0,4989.74648,2.4571
2025-08-01,5059.43,-1.06,8031400.0,4996.38301,1.254
2025-08-04,5131.52,1.42,7471485.0,5009.2532,2.4115
2025-08-05,5141.53,0.2,6838297.0,5021.85099,2.3552
2025-08-06,5189.69,0.94,8519370.0,5037.83566,2.9697
2025-08-07,5234.06,0.85,11999705.0,5056.52369,3.4508
