trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,6128.9,3.79,3569879.0,6024.09433,1.7248
2025-05-07,6100.92,-0.46,3706469.0,6031.41106,1.1459
2025-05-08,6229.96,2.12,3504912.0,6050.32048,2.9259
2025-05-09,6125.86,-1.67,2833486.0,6057.51472,1.122
2025-05-12,6393.99,4.38,4344921.0,6089.55999,4.8783
2025-05-13,6337.32,-0.89,4453913.0,6113.15618,3.6013
2025-05-14,6310.41,-0.42,3333422.0,6131.94226,2.8689
2025-05-15,6161.41,-2.36,2532536.0,6134.74871,0.4337
2025-05-16,6194.52,0.54,2392510.0,6140.44121,0.8768
2025-05-19,6153.62,-0.66,2357438.0,6141.69633,0.194
2025-05-20,6193.46,0.65,2241967.0,6146.62621,0.7591
2025-05-21,6115.86,-1.25,2086736.0,6143.69609,-0.4541
2025-05-22,6082.62,-0.54,2126189.0,6137.87932,-0.9044
2025-05-23,5997.52,-1.4,2426549.0,6124.51177,-2.0953
2025-05-26,6025.37,0.46,2095988.0,6115.06969,-1.4777
2025-05-27,5921.79,-1.72,1695946.0,6096.6621,-2.9103
2025-05-28,5934.46,0.21,1758920.0,6081.21428,-2.4428
2025-05-29,6103.91,2.86,2826585.0,6083.37578,0.337
2025-05-30,5937.78,-2.72,2268699.0,6069.50952,-2.1942
2025-06-03,5924.62,-0.22,1659018.0,6055.71051,-2.1885
2025-06-04,6025.39,1.7,2135507.0,6052.82285,-0.4543
2025-06-05,6219.54,3.22,3624996.0,6068.70067,2.4551
2025-06-06,6154.67,-1.04,2194876.0,6076.88823,1.2718
2025-06-09,6243.38,1.44,2387726.0,6092.74459,2.4423
2025-06-10,6169.93,-1.18,2570175.0,6100.09558,1.1383
2025-06-11,6212.4,0.69,2248223.0,6110.79124,1.6491
2025-06-12,6227.98,0.25,2541926.0,6121.95207,1.7171
2025-06-13,6131.67,-1.55,2894970.0,6122.87759,0.1435
2025-06-16,6210.5,1.29,2399469.0,6131.22258,1.2847
2025-06-17,6241.42,0.5,2947969.0,6141.71757,1.6103
2025-06-18,6354.12,1.81,3418244.0,6161.94637,3.0711
2025-06-19,6239.46,-1.8,2827854.0,6169.32862,1.1304
2025-06-20,6188.72,-0.81,2404067.0,6171.17542,0.2839
2025-06-23,6208.46,0.32,2424742.0,6174.72633,0.5448
2025-06-24,6327.28,1.91,3086654.0,6189.25526,2.2056
2025-06-25,6402.34,1.19,3442891.0,6209.54904,3.0575
2025-06-26,6341.33,-0.95,3073561.0,6222.09961,1.8981
2025-06-27,6435.7,1.49,3516550.0,6242.4425,3.0489
2025-06-30,6529.84,1.46,3320888.0,6269.81369,4.0636
2025-07-01,6522.23,-0.12,2902056.0,6293.85334,3.5643
2025-07-02,6401.48,-1.85,2315146.0,6304.1035,1.5328
2025-07-03,6683.34,4.4,5077400.0,6340.22126,5.2704
2025-07-04,6596.09,-1.31,3879819.0,6364.58971,3.5727
2025-07-07,6523.56,-1.1,2819870.0,6379.72974,2.2295
2025-07-08,6728.16,3.14,3947595.0,6412.91357,4.7988
2025-07-09,6703.83,-0.36,3815330.0,6440.6199,4.0054
2025-07-10,6673.42,-0.45,2940950.0,6462.79134,3.2071
2025-07-11,6654.6,-0.28,2837209.0,6481.05883,2.6424
2025-07-14,6666.56,0.18,2343965.0,6498.72561,2.5498
2025-07-15,6782.25,1.74,3909817.0,6525.72793,3.8556
2025-07-16,6761.66,-0.3,3153521.0,6548.19765,3.2079
2025-07-17,6972.74,3.12,4251668.0,6588.63026,5.6663
2025-07-18,6873.29,-1.43,3325288.0,6615.74071,3.8191
2025-07-21,6898.95,0.37,2916538.0,6642.71302,3.7849
2025-07-22,6876.94,-0.32,3548314.0,6665.02035,3.1301
2025-07-23,6837.03,-0.58,2888775.0,6681.40222,2.3026
2025-07-24,6955.06,1.73,3511971.0,6707.46487,3.6248
2025-07-25,7000.4,0.65,3049283.0,6735.36345,3.8596
2025-07-28,7038.89,0.55,4053695.0,6764.27074,3.9796
2025-07-29,7088.19,0.7,3973787.0,6795.1202,4.2225
2025-07-30,7102.49,0.2,4026244.0,6824.39351,3.9942
2025-07-31,7084.09,-0.26,5173981.0,6849.12651,3.373
2025-08-01,7050.36,-0.48,4055800.0,6868.2916,2.6163
2025-08-04,7091.47,0.58,3415174.0,6889.54669,2.8887
2025-08-05,7230.82,1.97,4685133.0,6922.04891,4.3641
2025-08-06,7288.51,0.8,5099498.0,6956.94997,4.6558
2025-08-07,7364.63,1.04,6396608.0,6995.77664,5.1382
2025-08-08,7351.18,-0.18,5149284.0,7029.62458,4.4728
2025-08-11,7552.46,2.74,6130626.0,7079.41843,6.4682
2025-08-12,7684.46,1.75,5807951.0,7137.04143,7.3902
2025-08-13,7844.67,2.08,6472918.0,7204.43463,8.5138
2025-08-14,7803.92,-0.52,7517750.0,7261.52847,7.2036
2025-08-15,7958.31,1.98,7147482.0,7327.88862,8.2529
2025-08-18,8228.1,3.39,9391576.0,7413.62304,10.4236
2025-08-19,8367.45,1.69,9424583.0,7504.4637,10.8851
2025-08-20,8517.43,1.79,9247732.0,7600.93668,11.3843
2025-08-21,8493.53,-0.28,9328158.0,7685.94557,9.9911
2025-08-22,8615.39,1.43,9056900.0,7774.46409,10.2706
2025-08-25,8775.94,1.86,10115591.0,7869.84274,10.8976
2025-08-26,8956.44,2.06,11213550.0,7973.3282,11.6271
2025-08-27,8889.16,-0.75,12730692.0,8060.55027,9.7851
2025-08-28,9178.65,3.26,11616503.0,8167.03596,11.6774
2025-08-29,9315.47,1.49,10534361.0,8276.41063,11.8267
2025-09-01,9375.55,0.65,9730004.0,8381.09057,11.2127
2025-09-02,8980.9,-4.21,9908781.0,8438.21528,6.2329
2025-09-03,8836.17,-1.61,7251421.0,8476.11573,4.1601
2025-09-04,8712.86,-1.4,9036389.0,8498.6628,2.4891
2025-09-05,9089.04,4.32,8479813.0,8554.8892,6.0566
2025-09-08,9145.76,0.62,8768888.0,8611.16261,6.0231
2025-09-09,8841.74,-3.32,7195346.0,8633.12236,2.3877
2025-09-10,9005.63,1.85,7487689.0,8668.59928,3.8143
2025-09-11,9526.71,5.79,9745685.0,8750.32411,8.5009
2025-09-12,9559.16,0.34,10236470.0,8827.3561,7.9644
2025-09-15,9534.8,-0.25,8141684.0,8894.73171,6.9489
2025-09-16,9659.3,1.31,8657946.0,8967.54774,7.4309
2025-09-17,9799.17,1.45,9649210.0,9046.74986,7.9892
2025-09-18,9950.84,1.55,12796557.0,9132.85368,8.5779
2025-09-19,10023.02,0.73,10210472.0,9217.63143,8.3766
2025-09-22,10622.78,5.98,10435397.0,9351.4551,12.7469
2025-09-23,10721.17,0.93,13388643.0,9481.90414,12.2835
2025-09-24,10967.13,2.29,12532306.0,9623.35422,13.071
2025-09-25,10963.29,-0.04,12406944.0,9750.96715,11.7186
2025-09-26,10437.9,-4.79,10597268.0,9816.38933,6.139
2025-09-29,10667.03,2.2,9713566.0,9897.40272,7.4885
2025-09-30,10720.35,0.5,9219219.0,9975.77866,7.1984
2025-10-09,10951.35,2.15,11198802.0,10068.69021,8.4032
