trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2720.52,3.92,4297090.0,2622.80166,3.658
2025-05-07,2725.64,0.19,4159812.0,2632.59579,3.4733
2025-05-08,2840.13,4.2,6150167.0,2652.36095,6.84
2025-05-09,2799.45,-1.43,4598911.0,2666.36943,4.8705
2025-05-12,2860.51,2.18,4629612.0,2684.85901,6.3372
2025-05-13,2840.54,-0.7,4409012.0,2699.68577,5.0859
2025-05-14,2859.05,0.65,4600366.0,2714.86331,5.1748
2025-05-15,2780.25,-2.76,3548253.0,2721.09062,2.1508
2025-05-16,2812.96,1.18,3557449.0,2729.84008,2.9994
2025-05-19,2800.4,-0.45,3088030.0,2736.56008,2.3061
2025-05-20,2811.36,0.39,2848190.0,2743.68388,2.4367
2025-05-21,2791.6,-0.7,2953600.0,2748.24732,1.5652
2025-05-22,2772.51,-0.68,2719092.0,2750.55805,0.7949
2025-05-23,2727.13,-1.64,2852194.0,2748.32681,-0.7743
2025-05-26,2757.72,1.12,2529968.0,2749.2214,0.3087
2025-05-27,2722.55,-1.28,2800622.0,2746.68126,-0.8824
2025-05-28,2761.86,1.44,3201244.0,2748.12686,0.4985
2025-05-29,2819.55,2.09,4023849.0,2754.92906,2.3186
2025-05-30,2781.82,-1.34,3063099.0,2757.4901,0.8785
2025-06-03,2773.59,-0.3,2642777.0,2759.02343,0.5266
2025-06-04,2844.52,2.56,4129083.0,2767.16596,2.7571
2025-06-05,2933.86,3.14,5139112.0,2783.04158,5.2775
2025-06-06,2968.49,1.18,4869590.0,2800.70333,5.8183
2025-06-09,3017.49,1.65,5328728.0,2821.34968,6.721
2025-06-10,2973.07,-1.47,4757844.0,2835.79924,4.7271
2025-06-11,2971.5,-0.05,3635798.0,2848.72312,4.2196
2025-06-12,3029.35,1.95,5765209.0,2865.92568,5.5457
2025-06-13,2997.93,-1.04,4661285.0,2878.49752,4.0654
2025-06-16,3074.84,2.57,5082884.0,2897.1968,5.9509
2025-06-17,3075.05,0.01,4149677.0,2914.1352,5.3748
2025-06-18,3138.51,2.06,5535056.0,2935.50423,6.6869
2025-06-19,3118.89,-0.63,5800783.0,2952.96954,5.4666
2025-06-20,3078.29,-1.3,4881418.0,2964.90482,3.7529
2025-06-23,3081.39,0.1,4875022.0,2975.99865,3.4801
2025-06-24,3124.22,1.39,5322709.0,2990.11497,4.3873
2025-06-25,3159.98,1.14,5783182.0,3006.29259,4.9858
2025-06-26,3198.49,1.22,6213981.0,3024.59711,5.5901
2025-06-27,3280.5,2.56,6910443.0,3048.96881,7.3192
2025-06-30,3363.03,2.52,7107756.0,3078.8794,8.8277
2025-07-01,3352.94,-0.3,5399745.0,3104.98041,7.683
2025-07-02,3270.32,-2.46,4973636.0,3120.72704,4.6822
2025-07-03,3332.59,1.9,4957344.0,3140.90446,5.9239
2025-07-04,3282.09,-1.52,5041858.0,3154.3507,3.9698
2025-07-07,3246.2,-1.09,4556965.0,3163.09826,2.5933
2025-07-08,3375.94,4.0,6095973.0,3183.3689,5.8734
2025-07-09,3377.21,0.04,5296039.0,3201.82996,5.3327
2025-07-10,3385.09,0.23,5690246.0,3219.28329,5.0222
2025-07-11,3382.56,-0.07,5529962.0,3234.83346,4.4655
2025-07-14,3389.99,0.22,4856422.0,3249.61027,4.2292
2025-07-15,3599.74,6.19,8207579.0,3282.95596,9.2117
2025-07-16,3620.78,0.58,8872267.0,3315.12968,8.8193
2025-07-17,3751.4,3.61,7912111.0,3356.67923,11.1177
2025-07-18,3733.52,-0.48,7140486.0,3392.56883,9.5764
2025-07-21,3746.33,0.34,6289662.0,3426.26037,8.9307
2025-07-22,3734.56,-0.31,6988221.0,3455.62224,7.7627
2025-07-23,3726.0,-0.23,5954891.0,3481.3725,6.7909
2025-07-24,3713.74,-0.33,6247525.0,3503.50274,5.8276
2025-07-25,3711.44,-0.06,4806635.0,3523.30629,5.202
2025-07-28,3790.54,2.13,6582503.0,3548.75712,6.5911
2025-07-29,3965.59,4.62,8640313.0,3588.45549,9.9933
2025-07-30,3922.53,-1.09,6869292.0,3620.27211,8.0188
2025-07-31,3929.26,0.17,9765616.0,3649.69953,7.3806
2025-08-01,3881.41,-1.22,7069737.0,3671.76719,5.5525
2025-08-04,3884.44,0.08,5178720.0,3692.02174,5.0805
2025-08-05,3944.81,1.55,7485507.0,3716.09682,5.9727
2025-08-06,3970.09,0.64,6335883.0,3740.28664,5.9627
2025-08-07,3947.37,-0.57,7171913.0,3760.00887,4.8628
2025-08-08,3935.12,-0.31,6420077.0,3776.68612,4.1094
2025-08-11,4032.47,2.47,7124706.0,3801.04649,5.9103
2025-08-12,4152.89,2.99,7967537.0,3834.55539,7.9751
2025-08-13,4429.84,6.67,10556342.0,3891.24917,12.9633
2025-08-14,4313.3,-2.63,9141517.0,3931.44448,9.2696
2025-08-15,4337.67,0.56,8744222.0,3970.13263,8.8538
2025-08-18,4565.35,5.25,12248191.0,4026.82,12.5518
2025-08-19,4695.63,2.85,11671924.0,4090.51619,13.7961
2025-08-20,4722.65,0.58,11072008.0,4150.71941,12.9088
2025-08-21,4695.85,-0.57,11466014.0,4202.63661,11.0967
2025-08-22,4899.16,4.33,11337789.0,4268.97217,13.7691
2025-08-25,5205.05,6.24,14635528.0,4358.12244,17.7588
2025-08-26,5152.72,-1.01,12207243.0,4433.7984,15.0268
2025-08-27,5288.3,2.63,15854215.0,4515.1795,15.8052
2025-08-28,5770.33,9.11,17589238.0,4634.71764,21.9154
2025-08-29,5725.7,-0.77,14709288.0,4738.62073,18.9219
2025-09-01,6109.54,6.7,16528427.0,4869.18447,22.6925
2025-09-02,5699.43,-6.71,18113120.0,4948.25547,14.1331
2025-09-03,5850.81,2.66,13768219.0,5034.21304,15.0323
2025-09-04,5250.04,-10.27,16551585.0,5054.76799,3.7904
2025-09-05,5616.24,6.98,13221241.0,5108.24152,9.4807
2025-09-08,5343.62,-4.85,11761409.0,5130.65851,4.0669
2025-09-09,5244.17,-1.86,8438948.0,5141.46913,1.9778
2025-09-10,5440.94,3.75,11096859.0,5169.99017,5.1081
2025-09-11,5944.43,9.25,14818665.0,5243.74634,12.5418
2025-09-12,5780.69,-2.75,12170562.0,5294.88383,8.7782
2025-09-15,5682.78,-1.69,9365198.0,5331.82633,6.3747
2025-09-16,5730.69,0.84,10632266.0,5369.81334,6.5043
2025-09-17,5763.1,0.57,9889105.0,5407.26921,6.3731
2025-09-18,5808.06,0.78,14995608.0,5445.43977,6.4468
2025-09-19,5871.9,1.1,12363652.0,5486.05503,6.7969
2025-09-22,5878.32,0.11,11263303.0,5523.41359,6.2275
2025-09-23,5888.4,0.17,13345216.0,5558.1742,5.7715
2025-09-24,5865.89,-0.38,10393111.0,5587.48047,4.8626
2025-09-25,6019.53,2.62,12297598.0,5628.62805,6.7143
2025-09-26,5854.95,-2.73,10318929.0,5650.18252,3.56
2025-09-29,5941.94,1.49,9375384.0,5677.96894,4.5442
2025-09-30,5801.63,-2.36,9511250.0,5689.74619,1.9473
2025-10-09,5824.42,0.39,11771848.0,5702.57226,2.1142
2025-10-10,5696.08,-2.2,11413961.0,5701.95395,-0.1031
2025-10-13,5670.82,-0.44,9817768.0,5698.98882,-0.4955
2025-10-14,5327.79,-6.05,11216804.0,5663.63655,-6.113
2025-10-15,5417.98,1.69,7774055.0,5640.24069,-4.0204
2025-10-16,5481.52,1.17,8078806.0,5625.12443,-2.5861
2025-10-17,5310.16,-3.13,8772269.0,5595.12782,-5.2274
2025-10-20,5519.01,3.93,9719277.0,5587.8785,-1.2401
2025-10-21,5864.41,6.26,11128351.0,5614.21483,4.36
2025-10-22,5853.31,-0.19,8975056.0,5636.9858,3.7658
2025-10-23,5738.45,-1.96,7320712.0,5646.64906,1.6127
2025-10-24,6085.97,6.06,10625893.0,5688.48915,6.7541
2025-10-27,6331.19,4.03,12494929.0,5749.69875,9.6341
2025-10-28,6337.97,0.11,11673124.0,5805.72459,8.7714
2025-10-29,6346.02,0.13,12537022.0,5857.18129,8.0159
2025-10-30,6119.88,-3.56,12958806.0,5882.20022,3.9612
2025-10-31,5808.47,-5.09,10707142.0,5875.17829,-1.1419
2025-11-03,5829.02,0.35,8165858.0,5870.78226,-0.7139
2025-11-04,5763.13,-1.13,7581358.0,5860.52967,-1.6759
2025-11-05,5733.77,-0.51,6388001.0,5848.45732,-1.9805
2025-11-06,5906.42,3.01,8554189.0,5853.97757,0.8919
2025-11-07,5867.15,-0.66,7294518.0,5855.23209,0.2033
2025-11-10,5821.65,-0.78,8554343.0,5852.0338,-0.5206
2025-11-11,5662.64,-2.73,8242458.0,5833.99629,-2.9812
2025-11-12,5706.59,0.78,7796859.0,5821.86236,-1.9999
2025-11-13,5682.48,-0.42,6414861.0,5808.58785,-2.195
2025-11-14,5512.31,-2.99,6162712.0,5780.37091,-4.7484
2025-11-17,5580.48,1.24,6410163.0,5761.33368,-3.1894
2025-11-18,5576.35,-0.07,6510473.0,5743.71619,-2.9572
2025-11-19,5627.75,0.92,7300753.0,5732.67179,-1.8472
2025-11-20,5655.63,0.5,7851763.0,5725.33448,-1.2249
2025-11-21,5361.37,-5.2,8208315.0,5690.67119,-5.9609
2025-11-24,5367.45,0.11,8537010.0,5659.88822,-5.3051
2025-11-25,5604.29,4.41,10303975.0,5654.59315,-0.8936
2025-11-26,5942.52,6.04,13770074.0,5682.01476,4.4827
2025-11-27,5934.59,-0.13,13355099.0,5706.06954,3.9268
2025-11-28,5935.28,0.01,9766456.0,5727.89911,3.5565
2025-12-01,6131.09,3.3,11372297.0,5766.29824,6.1342
2025-12-02,6155.08,0.39,11003249.0,5803.32508,5.8847
2025-12-03,6095.28,-0.97,12683158.0,5831.13031,4.4304
2025-12-04,6142.11,0.77,9264505.0,5860.74742,4.6891
2025-12-05,6233.55,1.49,11371215.0,5896.25243,5.5629
2025-12-08,6605.1,5.96,15285819.0,5963.76172,10.2141
2025-12-09,6778.72,2.63,14365683.0,6041.3768,11.5156
2025-12-10,6884.46,1.56,13037646.0,6121.67043,11.7432
2025-12-11,6628.31,-3.72,15254763.0,6169.92182,7.1664
2025-12-12,6720.37,1.39,16233902.0,6222.34546,7.6996
2025-12-15,6581.33,-2.07,11472157.0,6256.53446,5.061
2025-12-16,6359.86,-3.37,10170271.0,6266.37499,1.4808
2025-12-17,6756.82,6.24,13458413.0,6313.08404,6.7928
2025-12-18,6634.28,-1.81,12129730.0,6343.67413,4.4792
2025-12-19,6678.16,0.66,11327443.0,6375.52993,4.6375
2025-12-22,7043.98,5.48,14299506.0,6439.19184,8.977
2025-12-23,7012.0,-0.45,12494022.0,6493.745,7.6784
2025-12-24,7102.34,1.29,12011249.0,6551.70643,8.0699
2025-12-25,7082.11,-0.28,11725683.0,6602.22105,7.0166
2025-12-26,7032.1,-0.71,10712768.0,6643.1619,5.6897
2025-12-29,7002.35,-0.42,11239636.0,6677.37029,4.7522
2025-12-30,7037.58,0.5,11315157.0,6711.67598,4.7416
2025-12-31,6908.1,-1.84,10862174.0,6730.38303,2.6063
2026-01-05,6992.59,1.22,12184060.0,6755.35512,3.4515
2026-01-06,6911.08,-1.17,13593305.0,6770.18606,2.0597
2026-01-07,7011.32,1.45,12911357.0,6793.1512,3.1611
2026-01-08,6912.73,-1.41,12734961.0,6804.53966,1.5775
2026-01-09,6917.99,0.08,15163767.0,6815.34445,1.4949
2026-01-12,7077.07,2.3,16516550.0,6840.27069,3.4033
2026-01-13,6856.44,-3.12,17767870.0,6841.81063,0.2136
2026-01-14,6972.53,1.69,18725598.0,6854.26009,1.7108
2026-01-15,7063.45,1.3,14422986.0,6874.18294,2.7161
2026-01-16,7053.6,-0.14,15006881.0,6891.27028,2.3283
2026-01-19,6991.97,-0.87,11947651.0,6900.86073,1.3116
2026-01-20,6730.54,-3.74,11796753.0,6884.63971,-2.2637
2026-01-21,6815.61,1.26,10267561.0,6878.06545,-0.9122
2026-01-22,7026.62,3.1,12153581.0,6892.2135,1.9313
2026-01-23,6882.66,-2.05,13402975.0,6891.30364,-0.1255
2026-01-26,6897.18,0.21,12741260.0,6891.8633,0.0771
2026-01-27,7087.73,2.76,13312328.0,6910.51727,2.5321
2026-01-28,7148.95,0.86,13827422.0,6933.22515,3.064
2026-01-29,7063.25,-1.2,12505566.0,6945.60847,1.6796
2026-01-30,7368.54,4.32,15059406.0,6985.88766,5.3328
2026-02-02,7142.37,-3.07,16934783.0,7000.79074,2.0022
2026-02-03,7307.28,2.31,16371206.0,7029.98019,3.8687
2026-02-04,7090.67,-2.96,15052980.0,7035.76018,0.7774
