trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,8426.17,1.34,3163015.0,8254.86885,2.0539
2025-05-07,8471.9,0.54,3209479.0,8275.53849,2.3451
2025-05-08,8551.39,0.94,2673196.0,8301.81006,2.962
2025-05-09,8588.6,0.44,2752580.0,8329.12339,3.0678
2025-05-12,8715.01,1.47,2821125.0,8365.87449,4.0886
2025-05-13,8717.26,0.03,2662224.0,8399.33978,3.7152
2025-05-14,8706.75,-0.12,2256620.0,8428.61694,3.2466
2025-05-15,8597.92,-1.25,2058500.0,8444.74104,1.7976
2025-05-16,8588.59,-0.11,2061529.0,8458.44094,1.527
2025-05-19,8637.93,0.57,1861189.0,8475.53514,1.8979
2025-05-20,8780.94,1.66,2126074.0,8504.62132,3.1974
2025-05-21,8755.68,-0.29,1821697.0,8528.53167,2.6285
2025-05-22,8759.48,0.04,1905740.0,8550.52675,2.4144
2025-05-23,8692.12,-0.77,2218810.0,8564.01182,1.4848
2025-05-26,8630.46,-0.71,1697682.0,8570.34022,0.699
2025-05-27,8605.09,-0.29,1632335.0,8573.64972,0.366
2025-05-28,8650.95,0.53,1648747.0,8581.01165,0.8117
2025-05-29,8651.82,0.01,1908818.0,8587.7553,0.7432
2025-05-30,8605.14,-0.54,1665672.0,8589.41099,0.183
2025-06-03,8424.81,-2.1,1955664.0,8573.7347,-1.7523
2025-06-04,8458.31,0.4,1699289.0,8562.74188,-1.2271
2025-06-05,8450.8,-0.09,2040192.0,8552.08074,-1.1914
2025-06-06,8450.74,0.0,1693295.0,8542.42925,-1.0791
2025-06-09,8454.34,0.04,2002863.0,8534.03979,-0.9383
2025-06-10,8407.47,-0.55,2139803.0,8521.98553,-1.3529
2025-06-11,8440.1,0.39,1739539.0,8514.18691,-0.874
2025-06-12,8290.89,-1.77,1594440.0,8492.92053,-2.4076
2025-06-13,8175.48,-1.39,2011339.0,8462.6881,-3.4527
2025-06-16,8172.46,-0.04,1371889.0,8435.04733,-3.1625
2025-06-17,8211.98,0.48,1551508.0,8413.80282,-2.4279
2025-06-18,8216.58,0.06,1463930.0,8395.0197,-2.1485
2025-06-19,8136.1,-0.98,2096028.0,8370.36068,-2.8386
2025-06-20,8156.43,0.25,1641129.0,8349.98633,-2.3453
2025-06-23,8121.12,-0.43,1589340.0,8328.18953,-2.5178
2025-06-24,8267.05,1.8,2052169.0,8322.36672,-0.6669
2025-06-25,8363.64,1.17,2298765.0,8326.29751,0.4475
2025-06-26,8344.42,-0.23,2123862.0,8328.02346,0.1967
2025-06-27,8320.99,-0.28,1971600.0,8327.35361,-0.0764
2025-06-30,8343.74,0.27,2102009.0,8328.91422,0.1778
2025-07-01,8364.52,0.25,2222950.0,8332.30524,0.3859
2025-07-02,8417.46,0.63,2505216.0,8340.41522,0.9195
2025-07-03,8462.07,0.53,2024738.0,8352.00139,1.3093
2025-07-04,8464.58,0.03,1988427.0,8362.72316,1.2106
2025-07-07,8405.68,-0.7,1804670.0,8366.81429,0.4634
2025-07-08,8423.75,0.21,2014599.0,8372.23674,0.6134
2025-07-09,8370.16,-0.64,2143093.0,8372.03895,-0.0224
2025-07-10,8366.4,-0.04,1758656.0,8371.50191,-0.061
2025-07-11,8439.57,0.87,2413206.0,8377.98459,0.7324
2025-07-14,8525.49,1.02,2127926.0,8392.03272,1.5778
2025-07-15,8575.57,0.59,2585547.0,8409.51246,1.9554
2025-07-16,8562.77,-0.15,2224273.0,8424.10842,1.6326
2025-07-17,8594.03,0.37,2241773.0,8440.29143,1.8051
2025-07-18,8596.8,0.03,1992440.0,8455.197,1.6609
2025-07-21,8594.03,-0.03,2430936.0,8468.41919,1.4724
2025-07-22,8638.57,0.52,2314388.0,8484.62403,1.7981
2025-07-23,8688.38,0.58,2565150.0,8504.02936,2.1446
2025-07-24,8693.94,0.06,2321344.0,8522.11609,1.9962
2025-07-25,8599.98,-1.08,2626691.0,8529.5317,0.8225
2025-07-28,8575.99,-0.28,2661237.0,8533.9563,0.4913
2025-07-29,8538.53,-0.44,2576895.0,8534.39189,0.0485
2025-07-30,8558.31,0.23,2428594.0,8536.66981,0.2532
2025-07-31,8397.45,-1.88,2912838.0,8523.41078,-1.4888
2025-08-01,8439.47,0.5,2111382.0,8515.41642,-0.8959
2025-08-04,8508.93,0.82,2134918.0,8514.79866,-0.0689
2025-08-05,8594.29,1.0,2450845.0,8522.36927,0.8404
2025-08-06,8668.01,0.86,3198967.0,8536.23981,1.5319
2025-08-07,8643.07,-0.29,2727525.0,8546.41412,1.1246
2025-08-08,8639.49,-0.04,2630755.0,8555.27849,0.9795
2025-08-11,8691.23,0.6,2713823.0,8568.22625,1.4254
2025-08-12,8755.12,0.74,3040187.0,8586.02565,1.9503
2025-08-13,8783.93,0.33,3027800.0,8604.87369,2.0595
2025-08-14,8755.91,-0.32,3339995.0,8619.2581,1.573
2025-08-15,8849.68,1.07,3842800.0,8641.20304,2.3839
2025-08-18,8918.09,0.77,4584256.0,8667.57323,2.8493
2025-08-19,8996.07,0.87,5169912.0,8698.85863,3.3596
2025-08-20,9007.01,0.12,4898727.0,8728.20638,3.1443
2025-08-21,8979.66,-0.3,4491598.0,8752.15435,2.5662
2025-08-22,9041.33,0.69,4044865.0,8779.69489,2.9365
2025-08-25,9183.93,1.58,5123251.0,8818.19347,4.0638
2025-08-26,9199.5,0.17,4394722.0,8854.50838,3.8222
2025-08-27,9056.71,-1.55,4940185.0,8873.76567,2.0407
2025-08-28,9129.61,0.8,4448973.0,8898.1318,2.5682
2025-08-29,8963.39,-1.82,4975915.0,8904.34687,0.6609
2025-09-01,8915.02,-0.54,4412668.0,8905.36336,0.1084
2025-09-02,8996.48,0.91,4707468.0,8914.04113,0.9206
2025-09-03,8878.67,-1.31,3571213.0,8910.67245,-0.3598
2025-09-04,8776.0,-1.16,3439332.0,8897.8465,-1.3789
2025-09-05,8913.95,1.57,2967424.0,8899.38017,0.1636
