trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,17769.18,0.35,3073125.0,17848.81985,-0.4472
2025-05-07,17838.21,0.39,3120058.0,17847.80939,-0.0538
2025-05-08,17967.95,0.73,2912988.0,17859.25135,0.6068
2025-05-09,18019.54,0.29,2470602.0,17874.51694,0.8081
2025-05-12,18111.17,0.51,2608491.0,17897.05533,1.1893
2025-05-13,18042.22,-0.38,2296281.0,17910.88053,0.7306
2025-05-14,18345.82,1.68,3284122.0,17952.30334,2.1683
2025-05-15,18299.58,-0.25,2949953.0,17985.37731,1.7319
2025-05-16,18105.47,-1.06,2812653.0,17996.81471,0.6019
2025-05-19,17942.58,-0.9,3515288.0,17991.6495,-0.2731
2025-05-20,18065.23,0.68,3867364.0,17998.65716,0.3692
2025-05-21,18045.91,-0.11,3223294.0,18003.15743,0.2372
2025-05-22,17988.04,-0.32,2595449.0,18001.71768,-0.076
2025-05-23,17875.67,-0.62,2725631.0,17989.71314,-0.636
2025-05-26,17782.3,-0.52,3016081.0,17969.9595,-1.0498
2025-05-27,17812.06,0.17,3397413.0,17954.92146,-0.7988
2025-05-28,17881.09,0.39,3795565.0,17947.88989,-0.3729
2025-05-29,17839.7,-0.23,3353789.0,17937.58609,-0.5472
2025-05-30,17685.35,-0.87,3175774.0,17913.56361,-1.2822
2025-06-03,17662.15,-0.13,3570424.0,17889.61945,-1.2797
2025-06-04,17743.4,0.46,3732752.0,17875.69379,-0.7428
2025-06-05,17658.61,-0.48,3615686.0,17855.01914,-1.1061
2025-06-06,17497.01,-0.92,2894225.0,17820.92303,-1.8343
2025-06-09,17421.45,-0.43,3188178.0,17782.87798,-2.0534
2025-06-10,17297.47,-0.71,3455665.0,17736.64865,-2.5073
2025-06-11,17333.85,0.21,2703068.0,17698.28688,-2.0807
2025-06-12,17138.07,-1.13,3731729.0,17644.93289,-2.9146
2025-06-13,16732.24,-2.37,4355172.0,17558.00976,-4.8173
2025-06-16,16703.04,-0.17,3152288.0,17476.58406,-4.5271
2025-06-17,16697.74,-0.03,2774409.0,17402.40844,-4.1335
2025-06-18,16707.74,0.06,2980580.0,17336.24954,-3.6928
2025-06-19,16590.13,-0.7,2532757.0,17265.19054,-3.9884
2025-06-20,16711.92,0.73,3041855.0,17212.4981,-2.9514
2025-06-23,16578.62,-0.8,2410381.0,17152.12876,-3.4008
2025-06-24,16756.45,1.07,2498189.0,17114.44507,-2.114
2025-06-25,16799.02,0.25,2870838.0,17084.40459,-1.6845
2025-06-26,16697.38,-0.61,2811351.0,17047.5451,-2.0754
2025-06-27,16564.42,-0.8,2520422.0,17001.53319,-2.6047
2025-06-30,16642.76,0.47,2771573.0,16967.36431,-1.9316
2025-07-01,16609.24,-0.2,2107665.0,16933.25724,-1.932
2025-07-02,16616.22,0.04,2643817.0,16903.06321,-1.7116
2025-07-03,16644.83,0.17,2261860.0,16878.46957,-1.3939
2025-07-04,16666.79,0.13,2327053.0,16858.30961,-1.1426
2025-07-07,16566.84,-0.6,2016813.0,16830.5506,-1.5793
2025-07-08,16644.31,0.47,2280326.0,16812.8134,-1.0073
2025-07-09,16706.37,0.37,2844510.0,16802.67594,-0.5748
2025-07-10,16751.27,0.27,2824325.0,16797.78013,-0.2773
2025-07-11,16807.45,0.34,3616198.0,16798.70107,0.0521
2025-07-14,16818.11,0.06,2481925.0,16800.54954,0.1045
2025-07-15,16649.01,-1.01,2910330.0,16786.1172,-0.8201
2025-07-16,16707.8,0.35,2354029.0,16778.65842,-0.4232
2025-07-17,16797.97,0.54,2458130.0,16780.49762,0.1041
2025-07-18,16921.18,0.73,3263887.0,16793.89594,0.7551
2025-07-21,16933.29,0.07,2617509.0,16807.17157,0.7476
2025-07-22,17226.07,1.73,3891552.0,16847.06666,2.2247
2025-07-23,17211.52,-0.08,3438734.0,16881.7765,1.9344
2025-07-24,17333.39,0.71,3057464.0,16924.78731,2.3855
2025-07-25,17046.54,-1.65,3122794.0,16936.3828,0.6483
2025-07-28,16946.57,-0.59,2944808.0,16937.35301,0.0544
2025-07-29,16897.4,-0.29,3500174.0,16933.54796,-0.2137
2025-07-30,17042.3,0.86,3810985.0,16943.9053,0.579
2025-07-31,16677.44,-2.14,4058461.0,16918.52765,-1.4352
2025-08-01,16676.01,-0.01,2612333.0,16895.43073,-1.3072
2025-08-04,16707.82,0.19,2175069.0,16877.56304,-1.0108
2025-08-05,16846.19,0.83,2447861.0,16874.57514,-0.1684
2025-08-06,16833.55,-0.08,2214344.0,16870.66798,-0.2203
2025-08-07,16870.13,0.22,2835536.0,16870.61674,-0.0029
2025-08-08,16781.2,-0.53,2221027.0,16862.10086,-0.4809
