trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1494.18,2.38,1525475.0,1461.62749,2.2027
2025-05-07,1501.66,0.5,1808402.0,1465.44011,2.4416
2025-05-08,1499.29,-0.16,1575474.0,1468.66391,2.0639
2025-05-09,1510.11,0.72,1647137.0,1472.61115,2.5145
2025-05-12,1517.24,0.47,1832439.0,1476.86152,2.6974
2025-05-13,1522.99,0.38,1720206.0,1481.25471,2.7786
2025-05-14,1524.51,0.1,1686453.0,1485.37426,2.6006
2025-05-15,1521.79,-0.18,1594152.0,1488.84243,2.1888
2025-05-16,1525.41,0.24,1687701.0,1492.32505,2.1928
2025-05-19,1537.71,0.81,1535973.0,1496.64743,2.7067
2025-05-20,1561.54,1.55,1680757.0,1502.82767,3.8324
2025-05-21,1561.01,-0.03,1621913.0,1508.36885,3.4304
2025-05-22,1547.88,-0.84,1530113.0,1512.13181,2.3366
2025-05-23,1523.7,-1.56,1455413.0,1513.23355,0.6893
2025-05-26,1525.44,0.11,1310621.0,1514.39607,0.7266
2025-05-27,1545.33,1.3,1472981.0,1517.34215,1.8277
2025-05-28,1563.42,1.17,1731648.0,1521.73052,2.7028
2025-05-29,1567.66,0.27,1652355.0,1526.10476,2.6865
2025-05-30,1547.38,-1.29,1402606.0,1528.13097,1.2518
2025-06-03,1586.59,2.53,1611027.0,1533.6985,3.3905
2025-06-04,1624.85,2.41,1952965.0,1542.37959,5.2089
2025-06-05,1595.5,-1.81,2073128.0,1547.43868,3.0586
2025-06-06,1576.7,-1.18,1622957.0,1550.22547,1.6934
2025-06-09,1602.16,1.61,1682674.0,1555.17162,2.9767
2025-06-10,1588.04,-0.88,1833129.0,1558.30194,1.8904
2025-06-11,1602.03,0.88,1697268.0,1562.46652,2.5006
2025-06-12,1606.2,0.26,1690478.0,1566.63161,2.4943
2025-06-13,1577.54,-1.78,1788151.0,1567.6705,0.6276
2025-06-16,1572.32,-0.33,1418417.0,1568.11331,0.2679
2025-06-17,1560.48,-0.75,1471838.0,1567.38633,-0.4416
2025-06-18,1543.22,-1.11,1264537.0,1565.08478,-1.4069
2025-06-19,1506.81,-2.36,1182253.0,1559.5348,-3.4393
2025-06-20,1496.82,-0.66,841175.0,1553.56196,-3.7207
2025-06-23,1511.93,1.01,984479.0,1549.59701,-2.4608
2025-06-24,1525.67,0.91,1211022.0,1547.31825,-1.409
2025-06-25,1536.92,0.74,1217484.0,1546.32794,-0.6103
2025-06-26,1536.62,-0.02,1208996.0,1545.40337,-0.57
2025-06-27,1555.5,1.23,1420986.0,1546.36496,0.589
2025-06-30,1577.37,1.41,1612555.0,1549.31782,1.7944
2025-07-01,1587.94,0.67,1562883.0,1552.99612,2.2252
2025-07-02,1575.63,-0.77,1665723.0,1555.15173,1.3082
2025-07-03,1588.53,0.82,1536570.0,1558.33061,1.9194
2025-07-04,1576.66,-0.75,1522372.0,1560.07627,1.0574
2025-07-07,1593.03,1.04,1377638.0,1563.21472,1.8893
2025-07-08,1608.71,0.98,1741423.0,1567.5476,2.592
2025-07-09,1613.28,0.28,1903836.0,1571.90307,2.5982
2025-07-10,1611.24,-0.13,1810043.0,1575.64944,2.2337
2025-07-11,1602.14,-0.56,1560401.0,1578.17235,1.5073
2025-07-14,1612.31,0.63,1342204.0,1581.42356,1.9343
