trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1997.28,2.33,2026329.0,1949.85197,2.4033
2025-05-07,2012.53,0.76,2244901.0,1955.82131,2.8582
2025-05-08,2018.75,0.31,1718631.0,1961.81452,2.8609
2025-05-09,2010.81,-0.39,1799809.0,1966.48075,2.2292
2025-05-12,2026.62,0.79,1829181.0,1972.2083,2.7216
2025-05-13,2030.78,0.21,2040139.0,1977.78656,2.6442
2025-05-14,2027.91,-0.14,1857343.0,1982.56022,2.2617
2025-05-15,2023.12,-0.24,1824002.0,1986.42305,1.8305
2025-05-16,2028.24,0.25,1755445.0,1990.40562,1.883
2025-05-19,2045.27,0.84,1967447.0,1995.6308,2.457
2025-05-20,2078.57,1.63,2305703.0,2003.52977,3.677
2025-05-21,2067.78,-0.52,2588849.0,2009.64884,2.8516
2025-05-22,2055.12,-0.61,2602848.0,2013.97943,2.0222
2025-05-23,2042.98,-0.59,2508160.0,2016.74139,1.2926
2025-05-26,2064.2,1.04,2440743.0,2021.26125,2.1021
2025-05-27,2072.63,0.41,2522213.0,2026.15352,2.2679
2025-05-28,2067.69,-0.24,2630685.0,2030.10937,1.8342
2025-05-29,2080.59,0.62,2501669.0,2034.91705,2.2196
2025-05-30,2045.9,-1.67,2063294.0,2035.96305,0.4869
2025-06-03,2063.29,0.85,2124574.0,2038.56561,1.2055
2025-06-04,2096.47,1.61,2581965.0,2044.08032,2.5307
2025-06-05,2094.36,-0.1,2624609.0,2048.86886,2.196
2025-06-06,2090.54,-0.18,2257339.0,2052.83754,1.8199
2025-06-09,2121.64,1.49,2417361.0,2059.39015,2.9779
2025-06-10,2107.9,-0.65,2831208.0,2064.01014,2.1041
2025-06-11,2124.33,0.78,2611175.0,2069.75489,2.6026
2025-06-12,2128.34,0.19,2721094.0,2075.33442,2.522
2025-06-13,2082.82,-2.14,2722532.0,2076.04733,0.3257
2025-06-16,2097.18,0.69,2585077.0,2078.05997,0.9159
2025-06-17,2083.1,-0.67,2396240.0,2078.53997,0.2191
2025-06-18,2059.51,-1.13,2279845.0,2076.72759,-0.8325
2025-06-19,2019.09,-1.96,2223776.0,2071.2383,-2.55
2025-06-20,2019.04,0.0,1864931.0,2066.26703,-2.3121
2025-06-23,2036.41,0.86,1925588.0,2063.42351,-1.3178
2025-06-24,2077.18,2.0,2289766.0,2064.73365,0.601
2025-06-25,2090.63,0.65,2349285.0,2067.19997,1.127
2025-06-26,2087.34,-0.16,2385508.0,2069.11807,0.8768
2025-06-27,2092.48,0.25,2260209.0,2071.34301,1.0153
2025-06-30,2119.96,1.31,2439741.0,2075.9732,2.0967
2025-07-01,2124.06,0.19,2563561.0,2080.5529,2.0696
2025-07-02,2118.58,-0.26,2272801.0,2084.17453,1.6373
2025-07-03,2129.56,0.52,2195326.0,2088.49695,1.9471
2025-07-04,2104.61,-1.17,2198682.0,2090.03153,0.6951
2025-07-07,2136.66,1.52,2176396.0,2094.47233,1.9942
2025-07-08,2149.77,0.61,2491392.0,2099.73878,2.3548
2025-07-09,2153.25,0.16,2550935.0,2104.83509,2.2741
2025-07-10,2147.72,-0.26,2150749.0,2108.91936,1.8231
2025-07-11,2147.36,-0.02,2102101.0,2112.58038,1.6329
2025-07-14,2156.09,0.41,1995609.0,2116.72415,1.8427
2025-07-15,2130.73,-1.18,2114182.0,2118.05804,0.5965
2025-07-16,2150.85,0.94,1885145.0,2121.18108,1.389
2025-07-17,2157.8,0.32,2036725.0,2124.6686,1.5473
2025-07-18,2149.05,-0.41,1956813.0,2126.99064,1.0318
2025-07-21,2176.45,1.28,2150597.0,2131.70105,2.0775
2025-07-22,2174.95,-0.07,2149159.0,2135.82,1.8155
2025-07-23,2165.25,-0.45,1867595.0,2138.62286,1.2374
2025-07-24,2179.41,0.65,1687295.0,2142.50735,1.7077
2025-07-25,2188.59,0.42,1944188.0,2146.89617,1.9234
2025-07-28,2191.25,0.12,2002853.0,2151.12035,1.8483
2025-07-29,2177.48,-0.63,2120687.0,2153.63079,1.1013
2025-07-30,2169.07,-0.39,1836259.0,2155.10119,0.6461
2025-07-31,2139.76,-1.35,1952736.0,2153.64012,-0.6466
2025-08-01,2153.72,0.65,1682538.0,2153.64773,0.0034
2025-08-04,2168.21,0.67,1712735.0,2155.03461,0.6095
2025-08-05,2188.63,0.94,1750628.0,2158.23417,1.3985
2025-08-06,2204.07,0.71,1968604.0,2162.59949,1.8995
2025-08-07,2206.64,0.12,1882822.0,2166.79383,1.8222
2025-08-08,2209.05,0.11,1772664.0,2170.81822,1.7458
2025-08-11,2233.24,1.09,1914172.0,2176.76315,2.5614
2025-08-12,2238.45,0.23,1990195.0,2182.63809,2.5249
2025-08-13,2243.18,0.21,2026054.0,2188.40399,2.4722
