trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,7312.74,1.07,7395210.0,7232.3176,1.1058
2025-05-07,7304.33,-0.11,8027778.0,7239.17592,0.896
2025-05-08,7325.53,0.29,6875243.0,7247.40012,1.0723
2025-05-09,7308.1,-0.24,6423830.0,7253.18106,0.7543
2025-05-12,7288.37,-0.27,7226416.0,7256.53239,0.4378
2025-05-13,7354.16,0.9,7396282.0,7265.83026,1.2084
2025-05-14,7361.32,0.1,6505778.0,7274.92452,1.1806
2025-05-15,7352.12,-0.13,6558279.0,7282.27647,0.9545
2025-05-16,7401.23,0.67,7351801.0,7293.60538,1.4648
2025-05-19,7387.95,-0.18,6592622.0,7302.59058,1.1621
2025-05-20,7509.35,1.64,8622017.0,7322.28195,2.5227
2025-05-21,7556.93,0.63,8636925.0,7344.62938,2.8496
2025-05-22,7501.72,-0.73,8112801.0,7359.5904,1.9128
2025-05-23,7533.02,0.42,10580106.0,7376.1075,2.105
2025-05-26,7451.56,-1.08,8361087.0,7383.29345,0.9204
2025-05-27,7524.15,0.97,8050952.0,7396.70836,1.7083
2025-05-28,7493.87,-0.4,7246963.0,7405.96185,1.18
2025-05-29,7671.59,2.37,9877851.0,7431.25977,3.1828
2025-05-30,7699.75,0.37,11425649.0,7456.83027,3.2057
2025-06-03,7836.63,1.78,12494129.0,7493.00167,4.4839
2025-06-04,7879.82,0.55,11672702.0,7529.84151,4.5431
2025-06-05,7799.96,-1.01,10610379.0,7555.56708,3.1834
2025-06-06,7786.47,-0.17,9302382.0,7577.55784,2.7197
2025-06-09,7965.77,2.3,13187067.0,7614.53042,4.5095
2025-06-10,7991.73,0.33,14418700.0,7650.45419,4.3642
2025-06-11,7959.22,-0.41,11165161.0,7679.86046,3.573
2025-06-12,8060.0,1.27,12335400.0,7716.06423,4.3609
2025-06-13,7895.79,-2.04,13966961.0,7733.18097,2.0809
2025-06-16,7873.47,-0.28,10476790.0,7746.54183,1.6252
2025-06-17,7760.33,-1.44,12684188.0,7747.85499,0.1609
2025-06-18,7694.37,-0.85,9457287.0,7742.76118,-0.6269
