trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2347.97,0.96,3099051.0,2327.87214,0.8597
2025-05-07,2355.91,0.34,3055191.0,2330.54241,1.0826
2025-05-08,2364.74,0.37,2823783.0,2333.79932,1.3171
2025-05-09,2377.21,0.53,3190259.0,2337.93367,1.666
2025-05-12,2371.11,-0.26,2691474.0,2341.09332,1.274
2025-05-13,2378.58,0.31,2538565.0,2344.66348,1.4362
2025-05-14,2386.32,0.33,2877353.0,2348.63077,1.592
2025-05-15,2389.23,0.12,2919583.0,2352.49736,1.5494
2025-05-16,2379.01,-0.43,2351727.0,2355.02238,1.0134
2025-05-19,2399.01,0.84,2315626.0,2359.21167,1.6729
2025-05-20,2424.4,1.06,3179084.0,2365.42009,2.4628
2025-05-21,2430.93,0.27,3810127.0,2371.65913,2.4684
2025-05-22,2415.57,-0.63,3375972.0,2375.84111,1.6584
2025-05-23,2383.64,-1.32,2880653.0,2376.58386,0.2965
2025-05-26,2397.91,0.6,2334659.0,2378.61493,0.8079
2025-05-27,2396.84,-0.04,2247198.0,2380.35065,0.6903
2025-05-28,2390.51,-0.26,2228252.0,2381.3182,0.3853
2025-05-29,2393.01,0.1,2328099.0,2382.43171,0.443
2025-05-30,2379.4,-0.57,2425479.0,2382.14297,-0.1152
2025-06-03,2373.85,-0.23,2399319.0,2381.35317,-0.3156
2025-06-04,2371.11,-0.12,2096901.0,2380.37763,-0.3901
2025-06-05,2368.98,-0.09,2181691.0,2379.29214,-0.4344
2025-06-06,2376.19,0.3,1993428.0,2378.9967,-0.118
2025-06-09,2379.68,0.15,2051985.0,2379.06177,0.026
2025-06-10,2378.64,-0.04,2928903.0,2379.0216,-0.016
2025-06-11,2380.86,0.09,2157176.0,2379.19669,0.0699
2025-06-12,2371.15,-0.41,1992623.0,2378.43034,-0.3066
2025-06-13,2382.43,0.48,2696068.0,2378.81126,0.152
2025-06-16,2378.9,-0.15,2101369.0,2378.81971,0.0034
2025-06-17,2398.47,0.82,2248482.0,2380.69117,0.744
2025-06-18,2393.96,-0.19,2227219.0,2381.95486,0.5027
2025-06-19,2370.78,-0.97,2779304.0,2380.89059,-0.4256
2025-06-20,2355.4,-0.65,2107349.0,2378.46292,-0.9744
2025-06-23,2357.88,0.11,2153494.0,2376.50264,-0.7867
2025-06-24,2364.41,0.28,2223080.0,2375.35096,-0.4617
2025-06-25,2382.86,0.78,2210791.0,2376.06611,0.2855
2025-06-26,2381.73,-0.05,2152233.0,2376.60552,0.2154
2025-06-27,2357.57,-1.01,2438273.0,2374.79262,-0.7279
2025-06-30,2366.45,0.38,1897187.0,2373.99808,-0.3185
2025-07-01,2391.2,1.05,2985843.0,2375.63636,0.653
2025-07-02,2393.36,0.09,2556351.0,2377.32433,0.6723
2025-07-03,2394.78,0.06,2558635.0,2378.98677,0.6617
2025-07-04,2410.9,0.67,3509394.0,2382.02613,1.2049
2025-07-07,2455.91,1.87,4839768.0,2389.06269,2.7596
2025-07-08,2446.73,-0.37,4808811.0,2394.55481,2.1555
2025-07-09,2445.01,-0.07,4085069.0,2399.36007,1.8847
2025-07-10,2437.58,-0.3,3936857.0,2403.00006,1.4288
2025-07-11,2437.71,0.01,4074000.0,2406.30577,1.2966
2025-07-14,2462.94,1.04,3991560.0,2411.69951,2.1024
2025-07-15,2423.5,-1.6,4081624.0,2412.82336,0.4415
2025-07-16,2418.59,-0.2,2665546.0,2413.37257,0.216
2025-07-17,2412.69,-0.24,2625301.0,2413.30756,-0.0256
2025-07-18,2404.36,-0.35,2671230.0,2412.45541,-0.3361
2025-07-21,2428.22,0.99,3593078.0,2413.9568,0.5891
2025-07-22,2440.9,0.52,3872296.0,2416.52282,1.0037
2025-07-23,2418.97,-0.9,4613790.0,2416.75588,0.0916
2025-07-24,2416.89,-0.09,3732753.0,2416.76866,0.005
2025-07-25,2397.88,-0.79,3013178.0,2414.96974,-0.7102
2025-07-28,2389.1,-0.37,2443975.0,2412.50595,-0.9749
