trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,3132.06,0.92,2917170.0,3107.43339,0.7894
2025-05-07,3142.28,0.33,2864488.0,3110.75212,1.0084
2025-05-08,3153.4,0.35,2669760.0,3114.81382,1.2312
2025-05-09,3171.92,0.59,3034937.0,3120.2525,1.6423
2025-05-12,3161.63,-0.32,2537336.0,3124.19322,1.1912
2025-05-13,3172.56,0.35,2395033.0,3128.79958,1.3889
2025-05-14,3184.86,0.39,2745555.0,3134.13867,1.6054
2025-05-15,3189.95,0.16,2782644.0,3139.45403,1.5956
2025-05-16,3173.84,-0.51,2186395.0,3142.72888,0.9851
2025-05-19,3200.79,0.85,2100300.0,3148.25851,1.6548
2025-05-20,3237.31,1.14,2992180.0,3156.73961,2.5203
2025-05-21,3246.56,0.29,3655555.0,3165.29393,2.535
2025-05-22,3225.5,-0.65,3236179.0,3171.02784,1.7032
2025-05-23,3180.98,-1.38,2676858.0,3171.97567,0.2835
2025-05-26,3202.49,0.68,2119806.0,3174.88179,0.8658
2025-05-27,3200.51,-0.06,2082703.0,3177.32258,0.7271
2025-05-28,3191.87,-0.27,2057768.0,3178.70804,0.4132
2025-05-29,3193.72,0.06,2149928.0,3180.13775,0.4262
2025-05-30,3176.11,-0.55,2268976.0,3179.75416,-0.1147
2025-06-03,3165.9,-0.32,2211407.0,3178.43472,-0.3951
2025-06-04,3159.97,-0.19,1938451.0,3176.67617,-0.5273
2025-06-05,3156.89,-0.1,2001308.0,3174.79177,-0.5655
2025-06-06,3165.47,0.27,1747349.0,3173.90399,-0.2661
2025-06-09,3169.62,0.13,1817780.0,3173.49599,-0.1222
2025-06-10,3170.41,0.02,2714144.0,3173.20208,-0.088
2025-06-11,3173.07,0.08,1984343.0,3173.1895,-0.0038
2025-06-12,3159.19,-0.44,1815032.0,3171.85622,-0.4001
2025-06-13,3173.29,0.45,2326081.0,3171.99277,0.0409
2025-06-16,3167.89,-0.17,1704913.0,3171.60203,-0.1171
2025-06-17,3192.9,0.79,1812845.0,3173.63041,0.6053
2025-06-18,3189.4,-0.11,1844471.0,3175.13227,0.4484
2025-06-19,3151.41,-1.19,2214054.0,3172.87301,-0.6788
2025-06-20,3131.64,-0.63,1599792.0,3168.94606,-1.1842
2025-06-23,3132.95,0.04,1696394.0,3165.51786,-1.0342
2025-06-24,3148.58,0.5,1780099.0,3163.90473,-0.4855
2025-06-25,3176.09,0.87,1908461.0,3165.06523,0.3477
2025-06-26,3174.64,-0.05,1853703.0,3165.97711,0.2733
2025-06-27,3140.81,-1.07,2225403.0,3163.58025,-0.7224
2025-06-30,3152.14,0.36,1686557.0,3162.4907,-0.3278
2025-07-01,3189.36,1.18,2786014.0,3165.04968,0.7652
2025-07-02,3189.63,0.01,2343343.0,3167.39066,0.6997
2025-07-03,3189.83,0.01,2367765.0,3169.52774,0.6385
2025-07-04,3215.49,0.8,3293935.0,3173.9051,1.3017
2025-07-07,3278.25,1.95,4629300.0,3183.84271,2.9221
2025-07-08,3264.63,-0.42,4600442.0,3191.53674,2.2644
2025-07-09,3262.87,-0.05,3878583.0,3198.33038,1.9978
2025-07-10,3249.97,-0.4,3733213.0,3203.24844,1.448
2025-07-11,3250.91,0.03,3846598.0,3207.78764,1.3353
2025-07-14,3286.6,1.1,3796634.0,3215.29358,2.1935
2025-07-15,3230.82,-1.7,3863861.0,3216.77228,0.4358
2025-07-16,3222.05,-0.27,2504106.0,3217.27492,0.1483
2025-07-17,3213.03,-0.28,2466124.0,3216.87064,-0.1195
2025-07-18,3201.13,-0.37,2523557.0,3215.37154,-0.4439
2025-07-21,3231.49,0.95,3324589.0,3216.90663,0.4523
2025-07-22,3250.5,0.59,3609187.0,3220.106,0.9395
2025-07-23,3221.36,-0.9,4373932.0,3220.22543,0.0352
2025-07-24,3216.33,-0.16,3531156.0,3219.85443,-0.1095
2025-07-25,3189.15,-0.85,2820112.0,3216.9302,-0.8673
