trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2154.07,1.56,2702982.0,2144.6835,0.4367
2025-05-07,2168.18,0.66,2658681.0,2146.92127,0.9853
2025-05-08,2163.16,-0.23,2005628.0,2148.46781,0.6815
2025-05-09,2160.17,-0.14,1813337.0,2149.58231,0.4913
2025-05-12,2178.49,0.85,2095701.0,2152.33542,1.2078
2025-05-13,2194.18,0.72,2925716.0,2156.32062,1.7405
2025-05-14,2233.42,1.79,4454052.0,2163.66342,3.1731
2025-05-15,2222.56,-0.49,4285101.0,2169.27261,2.4268
2025-05-16,2204.62,-0.81,3463790.0,2172.63903,1.4613
2025-05-19,2223.97,0.88,3230905.0,2177.5277,2.1104
2025-05-20,2227.18,0.14,3394024.0,2182.25649,2.0377
2025-05-21,2239.9,0.57,3107061.0,2187.74634,2.3559
2025-05-22,2238.47,-0.06,3065152.0,2192.57717,2.0715
2025-05-23,2201.16,-1.67,2455572.0,2193.39458,0.3534
2025-05-26,2217.95,0.76,2201157.0,2195.73319,1.0067
2025-05-27,2216.74,-0.05,2253207.0,2197.73384,0.8611
2025-05-28,2232.54,0.71,2389873.0,2201.04871,1.4206
2025-05-29,2245.72,0.59,2858121.0,2205.30312,1.8161
2025-05-30,2238.78,-0.31,2806300.0,2208.4914,1.3621
2025-06-03,2244.47,0.25,2879702.0,2211.91793,1.4609
2025-06-04,2231.49,-0.58,2646801.0,2213.78194,0.7967
2025-06-05,2223.69,-0.35,2324375.0,2214.72556,0.4039
2025-06-06,2226.67,0.13,2246267.0,2215.86313,0.4865
2025-06-09,2229.61,0.13,2177005.0,2217.17235,0.5594
2025-06-10,2233.37,0.17,3080251.0,2218.71499,0.6583
2025-06-11,2238.43,0.23,3128552.0,2220.59261,0.8001
2025-06-12,2237.94,-0.02,2471612.0,2222.24474,0.7038
2025-06-13,2230.12,-0.35,3315083.0,2222.99476,0.32
2025-06-16,2230.58,0.02,2267285.0,2223.71717,0.3081
2025-06-17,2242.07,0.51,2589584.0,2225.46506,0.7434
2025-06-18,2231.67,-0.46,2309806.0,2226.056,0.2519
2025-06-19,2201.51,-1.35,2293902.0,2223.71829,-1.0037
2025-06-20,2220.97,0.88,2337663.0,2223.45655,-0.1119
2025-06-23,2230.1,0.41,3016955.0,2224.08926,0.2699
