trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2021.08,1.13,1507011.0,2035.61803,-0.7167
2025-05-07,2042.45,1.06,1953655.0,2036.2687,0.3031
2025-05-08,2039.74,-0.13,1447792.0,2036.5993,0.1541
2025-05-09,2006.78,-1.62,1338000.0,2033.75936,-1.3355
2025-05-12,2019.97,0.66,1111412.0,2032.44609,-0.6157
2025-05-13,2014.36,-0.28,1086292.0,2030.72361,-0.8091
2025-05-14,2025.25,0.54,1227815.0,2030.20231,-0.2442
2025-05-15,2001.7,-1.16,1073578.0,2027.4878,-1.2801
2025-05-16,2000.54,-0.06,979524.0,2024.92135,-1.2114
2025-05-19,2035.57,1.75,1453697.0,2025.9355,0.4744
2025-05-20,2033.24,-0.11,1368161.0,2026.63117,0.3256
2025-05-21,2022.52,-0.53,1158564.0,2026.23963,-0.1837
2025-05-22,1994.41,-1.39,1243735.0,2023.20824,-1.4336
2025-05-23,1971.22,-1.16,1098603.0,2018.25698,-2.3582
2025-05-26,1975.29,0.21,927508.0,2014.16488,-1.9489
2025-05-27,1987.64,0.63,972569.0,2011.6387,-1.2002
2025-05-28,1974.18,-0.68,866192.0,2008.07121,-1.7022
2025-05-29,1993.04,0.96,1005066.0,2006.63966,-0.68
2025-05-30,1989.86,-0.16,1112394.0,2005.0416,-0.7601
2025-06-03,1983.77,-0.31,1129546.0,2003.01573,-0.9655
2025-06-04,2003.49,0.99,1200302.0,2003.0609,0.0214
2025-06-05,2004.34,0.04,1139383.0,2003.18272,0.0578
2025-06-06,2006.95,0.13,1043058.0,2003.54151,0.17
2025-06-09,2008.13,0.06,1084906.0,2003.97851,0.2069
2025-06-10,2001.4,-0.33,1445064.0,2003.73294,-0.1165
2025-06-11,2013.73,0.62,1249393.0,2004.68504,0.4502
2025-06-12,2002.62,-0.55,1091908.0,2004.48837,-0.0933
2025-06-13,1971.62,-1.55,1319729.0,2001.35805,-1.497
2025-06-16,2008.08,1.85,1474567.0,2001.99823,0.3033
2025-06-17,2002.21,-0.29,995458.0,2002.0184,0.0096
2025-06-18,1975.24,-1.35,1004507.0,1999.46808,-1.2191
