trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,6026.82,1.48,2671600.0,6001.59398,0.4194
2025-05-07,6067.97,0.68,4142547.0,6007.91551,0.9946
2025-05-08,6083.75,0.26,2273392.0,6015.13784,1.1342
2025-05-09,6012.76,-1.17,1772481.0,6014.91138,-0.0358
2025-05-12,6162.69,2.49,3396735.0,6028.98553,2.1935
2025-05-13,6118.1,-0.72,2413188.0,6037.47262,1.3266
2025-05-14,6340.12,3.63,6788406.0,6066.29618,4.4149
2025-05-15,6212.25,-2.02,3391009.0,6080.19655,2.1486
2025-05-16,6143.99,-1.1,2225760.0,6086.27211,0.9439
2025-05-19,6141.36,-0.04,1735721.0,6091.51858,0.8149
2025-05-20,6145.1,0.06,1839286.0,6096.62157,0.792
2025-05-21,6125.53,-0.32,1611666.0,6099.37476,0.4279
2025-05-22,6091.97,-0.55,1508444.0,6098.66954,-0.1099
2025-05-23,6005.37,-1.42,2033023.0,6089.78387,-1.3959
2025-05-26,6001.77,-0.06,1322091.0,6081.4016,-1.3181
2025-05-27,5990.05,-0.2,1162033.0,6072.70144,-1.3704
2025-05-28,5960.17,-0.5,1073291.0,6061.98416,-1.6938
2025-05-29,6030.14,1.17,1758244.0,6058.95139,-0.4767
2025-05-30,5996.51,-0.56,1531260.0,6053.00459,-0.9377
2025-06-03,6051.36,0.91,2007728.0,6052.84796,-0.0246
2025-06-04,6132.79,1.35,2488930.0,6060.46149,1.1864
2025-06-05,6191.35,0.95,2790547.0,6072.92706,1.9312
2025-06-06,6139.61,-0.84,1837980.0,6079.27782,0.9875
2025-06-09,6234.43,1.54,3345055.0,6094.05422,2.2774
2025-06-10,6146.14,-1.42,2732100.0,6099.01477,0.7697
2025-06-11,6265.23,1.94,4296470.0,6114.84479,2.4296
2025-06-12,6256.08,-0.15,3294788.0,6128.29576,2.0637
2025-06-13,6189.87,-1.06,3170390.0,6134.15997,0.9041
2025-06-16,6275.06,1.38,2548552.0,6147.57902,2.0525
2025-06-17,6294.04,0.3,2124616.0,6161.52769,2.1278
2025-06-18,6218.05,-1.21,2062321.0,6166.91077,0.8258
2025-06-19,6101.63,-1.87,2356990.0,6160.69355,-0.9633
2025-06-20,6082.94,-0.31,1558695.0,6153.28845,-1.1499
2025-06-23,6153.45,1.16,1914973.0,6153.30384,0.0024
2025-06-24,6315.59,2.63,4733100.0,6168.75966,2.3523
2025-06-25,6666.23,5.55,10324863.0,6216.13779,6.9906
2025-06-26,6552.01,-1.71,7844188.0,6248.12562,4.749
2025-06-27,6546.59,-0.08,8203671.0,6276.5508,4.2124
2025-06-30,6517.27,-0.45,4660169.0,6299.47644,3.3989
2025-07-01,6484.78,-0.5,3433613.0,6317.12439,2.6194
2025-07-02,6455.61,-0.45,2760939.0,6330.3135,1.96
2025-07-03,6499.94,0.69,2788955.0,6346.4684,2.3894
2025-07-04,6500.33,0.01,4766345.0,6361.12189,2.1648
2025-07-07,6507.2,0.11,2623478.0,6375.03409,2.052
2025-07-08,6584.68,1.19,3995152.0,6395.00037,2.9229
2025-07-09,6549.02,-0.54,3842580.0,6409.6689,2.1508
2025-07-10,6627.38,1.2,4771930.0,6430.40329,3.0172
2025-07-11,6789.92,2.45,10528769.0,6464.64298,4.9091
2025-07-14,6713.56,-1.12,5591390.0,6488.34936,3.4121
2025-07-15,6684.54,-0.43,4600567.0,6507.03419,2.6914
2025-07-16,6653.19,-0.47,3248654.0,6520.95379,2.0076
2025-07-17,6693.06,0.6,3180732.0,6537.34486,2.354
2025-07-18,6718.21,0.38,3377652.0,6554.57011,2.4659
2025-07-21,6804.74,1.29,5124452.0,6578.39581,3.3829
2025-07-22,6821.2,0.24,4714724.0,6601.52002,3.2735
2025-07-23,6896.6,1.11,8627418.0,6629.62287,3.9481
2025-07-24,7070.03,2.51,8508530.0,6671.56641,5.801
2025-07-25,7041.97,-0.4,6635573.0,6706.84294,4.876
2025-07-28,7089.69,0.68,6002226.0,6743.30457,5.0092
2025-07-29,7110.77,0.3,5840611.0,6778.30128,4.7884
2025-07-30,7029.91,-1.14,5466508.0,6802.26401,3.2918
2025-07-31,6867.52,-2.31,5853924.0,6808.47887,0.8634
2025-08-01,6815.12,-0.76,3983479.0,6809.11136,0.0882
2025-08-04,6832.01,0.25,2917156.0,6811.29218,0.3037
2025-08-05,6905.73,1.08,3943401.0,6820.28626,1.245
2025-08-06,6929.08,0.34,3333054.0,6830.64757,1.4308
2025-08-07,6929.89,0.01,3872183.0,6840.09923,1.3042
2025-08-08,6869.85,-0.87,3172920.0,6842.93263,0.3926
2025-08-11,6957.77,1.28,4662765.0,6853.86953,1.5046
2025-08-12,6997.42,0.57,4091888.0,6867.541,1.8735
2025-08-13,7119.0,1.74,8987616.0,6891.48948,3.248
2025-08-14,7117.59,-0.02,9043675.0,6913.02286,2.9162
2025-08-15,7432.72,4.43,14931754.0,6962.51782,6.5351
2025-08-18,7535.75,1.39,14965328.0,7017.11137,7.1307
2025-08-19,7399.92,-1.8,8978466.0,7053.56933,4.7935
2025-08-20,7475.55,1.02,7504848.0,7093.75797,5.2422
2025-08-21,7410.89,-0.86,6535396.0,7123.96102,3.9487
2025-08-22,7664.69,3.42,10382992.0,7175.45901,6.5957
2025-08-25,7730.11,0.85,11818990.0,7228.28292,6.7122
2025-08-26,7645.83,-1.09,6903613.0,7268.04931,5.0672
2025-08-27,7445.45,-2.62,9510193.0,7284.94461,2.1793
2025-08-28,7591.8,1.97,7964279.0,7314.16893,3.7255
2025-08-29,7608.39,0.22,9597802.0,7342.18999,3.5614
2025-09-01,7534.58,-0.97,7003211.0,7360.51285,2.3373
2025-09-02,7435.69,-1.31,8254248.0,7367.67258,0.919
2025-09-03,7173.05,-3.53,7694262.0,7349.13709,-2.4252
2025-09-04,7146.82,-0.37,7323321.0,7329.8688,-2.529
2025-09-05,7204.66,0.81,5433021.0,7317.94415,-1.5601
2025-09-08,7151.47,-0.74,4744376.0,7302.08947,-2.0843
2025-09-09,7149.03,-0.03,4587525.0,7287.51238,-1.9186
2025-09-10,7131.05,-0.25,3754851.0,7272.6112,-1.9657
2025-09-11,7357.78,3.18,7461134.0,7280.72251,1.0528
2025-09-12,7251.34,-1.45,5676337.0,7277.92418,-0.3659
2025-09-15,7237.16,-0.2,4789257.0,7274.04188,-0.5083
2025-09-16,7244.21,0.1,6258012.0,7271.20074,-0.3719
2025-09-17,7283.82,0.55,7623594.0,7272.40258,0.1569
2025-09-18,7061.35,-3.05,9303360.0,7252.30233,-2.6683
2025-09-19,6996.83,-0.91,4446474.0,7227.97163,-3.2501
2025-09-22,7078.98,1.17,3779064.0,7213.78195,-1.8864
2025-09-23,6956.58,-1.73,4961999.0,7189.28653,-3.2904
2025-09-24,7023.01,0.95,4529377.0,7173.45067,-2.1195
2025-09-25,7018.79,-0.06,3949541.0,7158.72108,-1.9741
2025-09-26,6984.18,-0.49,3519345.0,7142.09812,-2.2359
2025-09-29,7335.11,5.02,12335833.0,7160.48021,2.4095
2025-09-30,7257.6,-1.06,7768520.0,7169.72971,1.2181
2025-10-09,7271.41,0.19,7768516.0,7179.41355,1.2733
2025-10-10,7292.83,0.29,7835175.0,7190.21511,1.4171
2025-10-13,7190.81,-1.4,5880533.0,7190.27177,0.0075
2025-10-14,7148.91,-0.58,5879628.0,7186.33255,-0.5221
2025-10-15,7238.1,1.25,5424392.0,7191.26279,0.6492
2025-10-16,7215.96,-0.31,4543631.0,7193.6149,0.3101
2025-10-17,7064.65,-2.1,5044335.0,7181.33253,-1.6381
2025-10-20,7075.5,0.15,3648351.0,7171.25324,-1.3442
