trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1125.5,0.58,465514.0,1126.34509,-0.0751
2025-05-07,1138.41,1.15,545050.0,1127.49413,0.9635
2025-05-08,1154.6,1.42,749095.0,1130.07564,2.1469
2025-05-09,1150.55,-0.35,340990.0,1132.02558,1.6232
2025-05-12,1167.33,1.46,552384.0,1135.38791,2.7745
2025-05-13,1164.35,-0.26,386486.0,1138.1462,2.2762
2025-05-14,1223.39,5.07,1794759.0,1146.26466,6.5117
2025-05-15,1210.17,-1.08,948441.0,1152.35088,4.8957
2025-05-16,1191.73,-1.52,609935.0,1156.10127,3.0353
2025-05-19,1189.25,-0.21,465255.0,1159.25829,2.5542
2025-05-20,1197.9,0.73,512794.0,1162.93846,2.962
2025-05-21,1201.01,0.26,464573.0,1166.56432,2.91
2025-05-22,1202.82,0.15,364123.0,1170.01724,2.765
2025-05-23,1186.31,-1.37,533555.0,1171.56893,1.2504
2025-05-26,1191.49,0.44,482944.0,1173.46618,1.5243
2025-05-27,1190.74,-0.06,314893.0,1175.1113,1.3212
2025-05-28,1191.13,0.03,376557.0,1176.63689,1.2242
2025-05-29,1196.82,0.48,441738.0,1178.55909,1.5375
2025-05-30,1191.9,-0.41,469239.0,1179.82966,1.0179
2025-06-03,1203.64,0.98,496564.0,1182.09731,1.806
2025-06-04,1206.76,0.26,554213.0,1184.44614,1.8664
2025-06-05,1214.97,0.68,585623.0,1187.35317,2.2993
2025-06-06,1204.2,-0.89,466185.0,1188.95763,1.2738
2025-06-09,1209.29,0.42,416591.0,1190.89405,1.5329
2025-06-10,1202.48,-0.56,540680.0,1191.99747,0.8756
2025-06-11,1227.94,2.12,769657.0,1195.42057,2.684
2025-06-12,1237.08,0.74,787702.0,1199.38813,3.0942
2025-06-13,1229.0,-0.65,574261.0,1202.20831,2.2041
2025-06-16,1231.38,0.19,619491.0,1204.98657,2.1667
2025-06-17,1228.82,-0.21,583754.0,1207.25642,1.7704
2025-06-18,1216.54,-1.0,550597.0,1208.14057,0.6928
2025-06-19,1201.76,-1.21,464815.0,1207.5329,-0.4792
2025-06-20,1232.37,2.55,764509.0,1209.89833,1.8403
2025-06-23,1241.01,0.7,625893.0,1212.86135,2.2943
2025-06-24,1278.04,2.98,1073573.0,1219.06884,4.724
2025-06-25,1306.55,2.23,1158980.0,1227.40038,6.2492
2025-06-26,1298.37,-0.63,615605.0,1234.15939,5.072
2025-06-27,1280.16,-1.4,833096.0,1238.5404,3.3051
2025-06-30,1258.66,-1.68,617854.0,1240.45655,1.4568
2025-07-01,1262.44,0.3,426037.0,1242.55022,1.588
2025-07-02,1261.87,-0.05,418386.0,1244.39019,1.3949
2025-07-03,1262.61,0.06,386953.0,1246.12541,1.3142
2025-07-04,1276.75,1.12,730864.0,1249.04204,2.1941
2025-07-07,1277.21,0.04,437585.0,1251.7247,2.0156
2025-07-08,1277.14,-0.01,484012.0,1254.14521,1.8169
2025-07-09,1260.38,-1.31,526317.0,1254.739,0.4486
2025-07-10,1282.25,1.74,847418.0,1257.35909,1.9603
2025-07-11,1297.24,1.17,1345799.0,1261.15728,2.8209
2025-07-14,1294.26,-0.23,599141.0,1264.30992,2.3413
2025-07-15,1284.14,-0.78,570229.0,1266.1985,1.407
2025-07-16,1276.61,-0.59,574497.0,1267.19007,0.7406
2025-07-17,1276.69,0.01,359903.0,1268.09482,0.6755
2025-07-18,1279.69,0.24,705223.0,1269.19913,0.8232
2025-07-21,1280.33,0.05,665551.0,1270.25921,0.7897
2025-07-22,1270.93,-0.73,913301.0,1270.32309,0.0478
2025-07-23,1299.52,2.25,1153650.0,1273.10375,2.0537
2025-07-24,1311.51,0.92,895931.0,1276.76149,2.6852
2025-07-25,1303.14,-0.64,792145.0,1279.27373,1.8484
2025-07-28,1348.74,3.5,1369049.0,1285.88956,4.772
2025-07-29,1332.75,-1.19,773956.0,1290.35246,3.2329
2025-07-30,1357.81,1.88,1103073.0,1296.77699,4.5991
