trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2117.03,1.27,2285494.0,2114.60618,0.1146
2025-05-07,2128.29,0.53,2481949.0,2115.9094,0.5834
2025-05-08,2143.69,0.72,2403721.0,2118.55517,1.1794
2025-05-09,2108.82,-1.63,2265456.0,2117.62801,-0.4168
2025-05-12,2124.08,0.72,2013073.0,2118.24249,0.2752
2025-05-13,2125.69,0.08,2421194.0,2118.95178,0.3175
2025-05-14,2150.76,1.18,2565140.0,2121.98113,1.3471
2025-05-15,2131.58,-0.89,2559619.0,2122.89531,0.4083
2025-05-16,2145.14,0.64,2340422.0,2125.01385,0.9426
2025-05-19,2159.61,0.67,2492358.0,2128.30872,1.46
2025-05-20,2186.66,1.25,2595228.0,2133.86599,2.444
2025-05-21,2172.99,-0.63,2454217.0,2137.59208,1.6424
2025-05-22,2145.64,-1.26,2445612.0,2138.35855,0.3399
2025-05-23,2110.59,-1.63,2007958.0,2135.71393,-1.1833
2025-05-26,2119.7,0.43,1693567.0,2134.18879,-0.6812
2025-05-27,2126.39,0.32,1776157.0,2133.44605,-0.3313
2025-05-28,2133.28,0.32,2132311.0,2133.43024,-0.007
2025-05-29,2150.77,0.82,2596561.0,2135.08164,0.7321
2025-05-30,2125.05,-1.2,2072130.0,2134.12625,-0.4262
2025-06-03,2143.67,0.88,1703112.0,2135.03518,0.4036
2025-06-04,2174.52,1.44,2161181.0,2138.79564,1.6565
2025-06-05,2158.75,-0.73,2182924.0,2140.69605,0.8398
2025-06-06,2152.44,-0.29,1808776.0,2141.81452,0.4949
2025-06-09,2159.7,0.34,2100493.0,2143.5179,0.7521
2025-06-10,2142.49,-0.8,2322126.0,2143.42001,-0.0434
2025-06-11,2157.7,0.71,2093339.0,2144.78001,0.6006
2025-06-12,2158.32,0.03,2045258.0,2146.06953,0.5692
2025-06-13,2120.43,-1.76,2197009.0,2143.62767,-1.0881
2025-06-16,2128.1,0.36,1685353.0,2142.14884,-0.658
2025-06-17,2138.93,0.51,1774006.0,2141.84229,-0.1361
2025-06-18,2121.11,-0.83,1823656.0,2139.86778,-0.8805
2025-06-19,2082.52,-1.82,1745479.0,2134.40609,-2.461
2025-06-20,2062.2,-0.98,1528039.0,2127.52932,-3.1188
2025-06-23,2085.36,1.12,1465804.0,2123.51319,-1.813
2025-06-24,2140.48,2.64,1950554.0,2125.12908,0.7198
2025-06-25,2174.02,1.57,2414342.0,2129.78536,2.0557
2025-06-26,2173.44,-0.03,2432378.0,2133.94294,1.834
2025-06-27,2156.17,-0.79,2692784.0,2136.05981,0.9371
2025-06-30,2182.68,1.23,2415793.0,2140.49982,1.9514
2025-07-01,2165.48,-0.79,2291570.0,2142.87889,1.0492
2025-07-02,2155.71,-0.45,1927755.0,2144.1009,0.54
2025-07-03,2155.67,0.0,1719067.0,2145.20272,0.4868
2025-07-04,2152.72,-0.14,1808585.0,2145.91865,0.3164
2025-07-07,2160.61,0.37,1529619.0,2147.31783,0.6171
2025-07-08,2169.89,0.43,1847388.0,2149.46756,0.9456
2025-07-09,2180.3,0.48,2235993.0,2152.40398,1.2877
2025-07-10,2193.16,0.59,2607960.0,2156.28551,1.6956
2025-07-11,2200.12,0.32,2682225.0,2160.46022,1.8191
2025-07-14,2179.44,-0.94,1934754.0,2162.26782,0.791
2025-07-15,2156.87,-1.04,1844118.0,2161.75374,-0.2262
2025-07-16,2169.39,0.58,1625168.0,2162.481,0.319
2025-07-17,2197.25,1.28,2168824.0,2165.79234,1.442
2025-07-18,2205.13,0.36,1840962.0,2169.53878,1.6272
2025-07-21,2222.29,0.78,1915655.0,2174.56271,2.1711
2025-07-22,2224.61,0.1,2003256.0,2179.32911,2.0565
2025-07-23,2219.57,-0.23,2336173.0,2183.16158,1.6539
2025-07-24,2277.47,2.61,2800482.0,2192.14333,3.8185
2025-07-25,2263.51,-0.61,2589112.0,2198.94016,2.8941
2025-07-28,2266.41,0.13,2278698.0,2205.36586,2.7304
2025-07-29,2255.48,-0.48,2374240.0,2210.13863,2.0308
2025-07-30,2260.88,0.24,2366481.0,2214.97115,2.0515
2025-07-31,2224.41,-1.61,2378368.0,2215.87008,0.3847
2025-08-01,2213.32,-0.5,1731257.0,2215.62722,-0.1042
2025-08-04,2203.04,-0.46,1520736.0,2214.42844,-0.5156
2025-08-05,2212.16,0.41,1551392.0,2214.21239,-0.0927
2025-08-06,2207.14,-0.23,1498284.0,2213.53883,-0.2895
2025-08-07,2208.39,0.06,1743887.0,2213.04847,-0.2107
2025-08-08,2204.86,-0.16,1613292.0,2212.26861,-0.3354
2025-08-11,2228.23,1.06,2060009.0,2213.78875,0.6502
2025-08-12,2234.18,0.27,2128169.0,2215.73077,0.8292
2025-08-13,2245.01,0.48,2834379.0,2218.51927,1.187
2025-08-14,2214.55,-1.36,2688124.0,2218.14124,-0.162
2025-08-15,2226.46,0.54,2083867.0,2218.93351,0.3386
2025-08-18,2258.86,1.46,2739087.0,2222.73603,1.6121
2025-08-19,2279.06,0.89,2716700.0,2228.10022,2.2614
2025-08-20,2304.09,1.1,2873551.0,2235.33734,3.0294
2025-08-21,2320.15,0.7,3371493.0,2243.41473,3.3633
2025-08-22,2327.7,0.33,2857194.0,2251.4419,3.331
2025-08-25,2389.95,2.67,4055705.0,2264.63315,5.386
2025-08-26,2412.14,0.93,3771767.0,2278.68142,5.6917
2025-08-27,2372.54,-1.64,4218622.0,2287.62033,3.6449
2025-08-28,2371.68,-0.04,3860942.0,2295.62602,3.2593
2025-08-29,2390.65,0.8,3581678.0,2304.67592,3.6625
2025-09-01,2407.09,0.69,3673792.0,2314.42964,3.9255
2025-09-02,2372.0,-1.46,3770873.0,2319.91253,2.2204
2025-09-03,2313.1,-2.48,3136266.0,2319.26372,-0.2661
2025-09-04,2350.88,1.63,4189377.0,2322.27479,1.2243
2025-09-05,2376.65,1.1,4100882.0,2327.45339,2.0917
2025-09-08,2383.79,0.3,3452413.0,2332.81878,2.1614
2025-09-09,2385.2,0.06,3454387.0,2337.80747,2.0069
2025-09-10,2398.99,0.58,3352952.0,2343.63437,2.3345
2025-09-11,2416.5,0.73,3325572.0,2350.57396,2.7661
2025-09-12,2396.85,-0.81,3610314.0,2354.9812,1.7623
2025-09-15,2395.83,-0.04,2980332.0,2358.87156,1.5546
2025-09-16,2442.88,1.96,3779600.0,2366.87236,3.1608
2025-09-17,2418.86,-0.98,3880887.0,2371.82357,1.9637
2025-09-18,2384.3,-1.43,4016843.0,2373.0118,0.4746
2025-09-19,2384.72,0.02,3234340.0,2374.12687,0.4452
2025-09-22,2353.41,-1.31,2481508.0,2372.15383,-0.7933
2025-09-23,2285.08,-2.9,2664519.0,2363.86109,-3.3895
2025-09-24,2307.43,0.98,1912586.0,2358.4867,-2.1886
2025-09-25,2292.46,-0.65,2259862.0,2352.19844,-2.5725
2025-09-26,2281.69,-0.47,1977389.0,2345.48335,-2.7575
2025-09-29,2291.78,0.44,2014576.0,2340.36875,-2.098
