trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,8167.64,2.13,1333457.0,8219.69092,-0.6353
2025-05-07,8148.17,-0.24,1169472.0,8212.87941,-0.791
2025-05-08,8176.32,0.35,1004327.0,8209.39756,-0.4037
2025-05-09,8086.87,-1.09,898435.0,8197.72827,-1.3615
2025-05-12,8147.23,0.75,862202.0,8192.91891,-0.5592
2025-05-13,8155.71,0.1,1164693.0,8189.3752,-0.4119
2025-05-14,8141.79,-0.17,914453.0,8184.84328,-0.5274
2025-05-15,8042.16,-1.22,814778.0,8171.25439,-1.5925
2025-05-16,8043.06,0.01,755227.0,8159.0454,-1.4318
2025-05-19,8125.38,1.02,987541.0,8155.83918,-0.3742
2025-05-20,8230.75,1.3,1093994.0,8162.97354,0.8269
2025-05-21,8159.21,-0.87,881739.0,8162.61511,-0.0417
2025-05-22,8012.43,-1.8,924523.0,8148.31176,-1.6817
2025-05-23,7914.45,-1.22,773879.0,8126.03922,-2.6383
2025-05-26,7974.77,0.76,634376.0,8111.63262,-1.7016
2025-05-27,7971.61,-0.04,668139.0,8098.29714,-1.5767
2025-05-28,7925.39,-0.58,713588.0,8081.82979,-1.9547
2025-05-29,8024.37,1.25,825395.0,8076.35743,-0.6458
2025-05-30,7928.75,-1.19,771547.0,8062.29958,-1.6703
2025-06-03,8037.22,1.37,951593.0,8059.91105,-0.2819
2025-06-04,8146.7,1.36,1210768.0,8068.17666,0.9685
2025-06-05,8148.36,0.02,1222466.0,8075.81317,0.8943
2025-06-06,8094.17,-0.67,1047425.0,8077.56144,0.2054
2025-06-09,8216.17,1.51,1453500.0,8090.76225,1.5381
2025-06-10,8161.81,-0.66,1519863.0,8097.52871,0.7907
2025-06-11,8249.22,1.07,1355960.0,8111.9755,1.6777
2025-06-12,8227.67,-0.26,1390200.0,8122.99402,1.2804
2025-06-13,8093.24,-1.63,1619188.0,8120.1603,-0.3321
2025-06-16,8123.06,0.37,1121451.0,8120.43647,0.0323
2025-06-17,8090.43,-0.4,1076592.0,8117.57871,-0.335
2025-06-18,8055.76,-0.43,926634.0,8111.69121,-0.6919
2025-06-19,7921.16,-1.67,1096894.0,8093.54538,-2.1529
2025-06-20,7827.1,-1.19,861005.0,8068.16963,-3.0335
2025-06-23,7905.38,1.0,852235.0,8052.66586,-1.846
2025-06-24,8035.72,1.65,1012919.0,8051.05197,-0.1906
2025-06-25,8144.3,1.35,1117660.0,8059.93273,1.0413
2025-06-26,8178.75,0.42,1580754.0,8071.24866,1.3231
2025-06-27,8188.02,0.11,1452722.0,8082.36974,1.2987
2025-06-30,8256.39,0.83,1243416.0,8098.9431,1.9254
2025-07-01,8276.32,0.24,1352808.0,8115.83614,1.9581
2025-07-02,8230.46,-0.55,1279816.0,8126.7527,1.268
2025-07-03,8265.31,0.42,1128386.0,8139.94863,1.5283
2025-07-04,8248.63,-0.2,1298108.0,8150.29924,1.1992
2025-07-07,8273.45,0.3,1141497.0,8162.02788,1.3559
2025-07-08,8350.76,0.93,1273524.0,8180.00237,2.066
2025-07-09,8386.16,0.42,1406096.0,8199.63643,2.2493
2025-07-10,8412.78,0.32,1405555.0,8219.93582,2.319
2025-07-11,8422.47,0.12,1386512.0,8239.22479,2.1997
2025-07-14,8381.28,-0.49,1214558.0,8252.75385,1.5454
2025-07-15,8302.83,-0.94,1403770.0,8257.52301,0.5472
2025-07-16,8396.6,1.13,1206471.0,8270.76844,1.5099
2025-07-17,8455.71,0.7,1167042.0,8288.38192,1.9987
2025-07-18,8510.73,0.65,1517976.0,8309.55793,2.3921
2025-07-21,8545.59,0.41,1556332.0,8332.03717,2.5307
2025-07-22,8629.66,0.98,1660589.0,8360.3822,3.1701
2025-07-23,8526.9,-1.19,1804756.0,8376.24104,1.7827
2025-07-24,8698.15,2.01,1782961.0,8406.89904,3.4058
2025-07-25,8706.71,0.1,1937129.0,8435.45246,3.1651
2025-07-28,8691.25,-0.18,1535264.0,8459.81413,2.699
2025-07-29,8710.88,0.23,1688420.0,8483.72517,2.6423
