trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2613.03,3.38,243120.0,2577.13507,1.3832
2025-05-07,2620.66,0.29,270054.0,2581.2803,1.5141
2025-05-08,2637.41,0.64,207173.0,2586.62598,1.9443
2025-05-09,2617.31,-0.76,200158.0,2589.54827,1.0664
2025-05-12,2632.54,0.58,221666.0,2593.64272,1.4886
2025-05-13,2618.45,-0.54,182747.0,2596.00532,0.8609
2025-05-14,2652.83,1.31,176635.0,2601.41719,1.9571
2025-05-15,2642.51,-0.39,203658.0,2605.33079,1.417
2025-05-16,2662.81,0.77,275082.0,2610.805,1.9723
2025-05-19,2715.72,1.99,252321.0,2620.79691,3.5579
2025-05-20,2773.27,2.12,297329.0,2635.31816,5.1023
2025-05-21,2787.61,0.52,368287.0,2649.82214,5.0692
2025-05-22,2751.08,-1.31,450461.0,2659.46575,3.3868
2025-05-23,2700.43,-1.84,345482.0,2663.3671,1.382
2025-05-26,2677.34,-0.86,312109.0,2664.69786,0.4733
2025-05-27,2679.44,0.08,269621.0,2666.10187,0.499
2025-05-28,2667.79,-0.43,314629.0,2666.26264,0.0573
2025-05-29,2698.4,1.15,326914.0,2669.32334,1.0834
2025-05-30,2647.97,-1.87,256235.0,2667.28969,-0.727
2025-06-03,2701.51,2.02,277907.0,2670.54877,1.1527
2025-06-04,2769.85,2.53,338907.0,2680.00603,3.2974
2025-06-05,2733.81,-1.3,256320.0,2685.13022,1.7967
2025-06-06,2724.43,-0.34,177588.0,2688.87305,1.3137
2025-06-09,2747.24,0.84,222005.0,2694.43181,1.9409
2025-06-10,2737.43,-0.36,379778.0,2698.52688,1.4313
2025-06-11,2750.36,0.47,252159.0,2703.46336,1.7198
2025-06-12,2758.9,0.31,215486.0,2708.74304,1.8347
2025-06-13,2741.72,-0.62,292964.0,2711.88371,1.0942
2025-06-16,2789.84,1.76,250969.0,2719.30812,2.5607
2025-06-17,2797.16,0.26,226255.0,2726.72258,2.5504
2025-06-18,2783.3,-0.5,196544.0,2732.11091,1.8563
2025-06-19,2743.55,-1.43,204879.0,2733.20034,0.3779
2025-06-20,2728.91,-0.53,166897.0,2732.79174,-0.1421
2025-06-23,2752.53,0.87,202038.0,2734.67157,0.6509
2025-06-24,2798.91,1.68,251781.0,2740.78952,2.0984
2025-06-25,2808.5,0.34,243872.0,2747.23814,2.2054
2025-06-26,2813.79,0.19,268863.0,2753.57641,2.1632
2025-06-27,2827.24,0.48,243631.0,2760.59199,2.3856
2025-06-30,2828.91,0.06,202939.0,2767.09847,2.2092
2025-07-01,2902.48,2.6,255376.0,2779.99195,4.3118
2025-07-02,2886.0,-0.57,203435.0,2790.08795,3.3798
2025-07-03,2886.45,0.02,163019.0,2799.26529,3.067
2025-07-04,2906.86,0.71,238513.0,2809.5124,3.4063
2025-07-07,2981.63,2.57,302380.0,2825.90456,5.3642
2025-07-08,3009.12,0.92,266007.0,2843.35365,5.6663
2025-07-09,3003.8,-0.18,311186.0,2858.63425,4.9534
2025-07-10,3006.67,0.1,243962.0,2872.73289,4.5569
2025-07-11,3016.73,0.33,288804.0,2886.4469,4.4147
2025-07-14,3048.18,1.04,269335.0,2901.85006,4.9196
2025-07-15,3015.66,-1.07,277175.0,2912.6891,3.4742
2025-07-16,3031.57,0.53,245437.0,2924.01109,3.6124
2025-07-17,3074.74,1.42,230685.0,2938.36622,4.5367
2025-07-18,3083.83,0.3,263005.0,2952.21992,4.3615
2025-07-21,3073.42,-0.34,375391.0,2963.76278,3.6331
2025-07-22,3073.34,0.0,365455.0,2974.19871,3.279
2025-07-23,3079.69,0.21,272825.0,2984.2455,3.1482
2025-07-24,3120.97,1.34,346343.0,2997.26688,4.0443
2025-07-25,3082.8,-1.22,357100.0,3005.41289,2.5423
2025-07-28,3122.58,1.29,315845.0,3016.57166,3.4539
2025-07-29,3136.94,0.46,286419.0,3028.03531,3.5334
2025-07-30,3107.24,-0.95,254377.0,3035.57862,2.3333
2025-07-31,3098.24,-0.29,238754.0,3041.54637,1.8468
2025-08-01,3068.56,-0.96,205956.0,3044.11909,0.7997
2025-08-04,3064.61,-0.13,194996.0,3046.07061,0.6068
2025-08-05,3125.3,1.98,246967.0,3053.61627,2.3204
2025-08-06,3141.66,0.52,210513.0,3062.00138,2.5683
2025-08-07,3152.16,0.33,256486.0,3070.58792,2.6219
2025-08-08,3201.25,1.56,289837.0,3083.03193,3.7628
2025-08-11,3239.52,1.2,313963.0,3097.93555,4.4689
2025-08-12,3249.27,0.3,378529.0,3112.34836,4.3053
2025-08-13,3256.7,0.23,363313.0,3126.09613,4.0929
2025-08-14,3170.01,-2.66,318690.0,3130.27841,1.2613
2025-08-15,3294.41,3.92,307285.0,3145.90999,4.6124
2025-08-18,3407.51,3.43,576108.0,3170.82427,7.199
2025-08-19,3526.18,3.48,636141.0,3204.66768,9.5607
2025-08-20,3547.86,0.61,540237.0,3237.35266,9.1589
2025-08-21,3521.98,-0.73,492055.0,3264.46002,7.5929
2025-08-22,3566.16,1.25,467839.0,3293.19336,7.9632
2025-08-25,3684.23,3.31,572651.0,3330.43494,10.0959
2025-08-26,3724.39,1.09,581851.0,3367.95447,10.0598
2025-08-27,3607.58,-3.14,502867.0,3390.77595,6.1978
2025-08-28,3636.19,0.79,493287.0,3414.14872,6.3008
2025-08-29,3776.61,3.86,538060.0,3448.66884,9.0838
2025-09-01,3937.71,4.27,721847.0,3495.24419,11.9196
2025-09-02,3944.06,0.16,731928.0,3537.98855,10.8652
2025-09-03,4008.81,1.64,662310.0,3582.82869,11.2342
2025-09-04,3828.72,-4.49,551481.0,3606.24691,5.9863
2025-09-05,3979.84,3.95,710088.0,3641.8272,8.8756
2025-09-08,3919.38,-1.52,673749.0,3668.2608,6.6216
2025-09-09,3956.29,0.94,588507.0,3695.69215,6.8139
2025-09-10,3913.34,-1.09,587468.0,3716.42052,5.163
2025-09-11,4000.71,2.23,866544.0,3743.49571,6.6452
2025-09-12,3922.78,-1.95,725061.0,3760.5704,4.223
2025-09-15,3852.11,-1.8,587427.0,3769.28846,2.1735
2025-09-16,3991.75,3.63,586660.0,3790.47527,5.1738
2025-09-17,4046.81,1.38,540632.0,3814.8881,5.9018
2025-09-18,3931.32,-2.85,551324.0,3825.97686,2.7161
2025-09-19,3908.08,-0.59,429780.0,3833.7962,1.9191
2025-09-22,3918.79,0.27,397567.0,3841.89085,1.9818
