trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,4381.83,1.62,876185.0,4394.23304,-0.2827
2025-05-07,4415.72,0.77,946423.0,4396.27942,0.4412
2025-05-08,4424.43,0.2,760648.0,4398.96043,0.5773
2025-05-09,4422.16,-0.05,816900.0,4401.16991,0.4758
2025-05-12,4433.09,0.25,848396.0,4404.20992,0.6536
2025-05-13,4430.55,-0.06,744212.0,4406.7185,0.5393
2025-05-14,4437.94,0.17,663284.0,4409.69197,0.6385
2025-05-15,4407.17,-0.69,619103.0,4409.45179,-0.0518
2025-05-16,4411.39,0.1,687107.0,4409.63638,0.0398
2025-05-19,4442.91,0.71,806508.0,4412.80529,0.6799
2025-05-20,4446.22,0.07,806536.0,4415.98765,0.6823
2025-05-21,4452.07,0.13,742481.0,4419.42406,0.736
2025-05-22,4403.76,-1.09,668372.0,4417.93225,-0.3213
2025-05-23,4362.79,-0.93,687038.0,4412.6806,-1.1371
2025-05-26,4364.64,0.04,654295.0,4408.10531,-0.9909
2025-05-27,4352.38,-0.28,599622.0,4402.79814,-1.1517
2025-05-28,4342.07,-0.24,582541.0,4397.0145,-1.2575
2025-05-29,4373.59,0.73,728547.0,4394.7836,-0.4834
2025-05-30,4370.54,-0.07,855537.0,4392.47468,-0.5006
2025-06-03,4347.91,-0.52,932438.0,4388.23043,-0.9231
2025-06-04,4409.69,1.42,927997.0,4390.2742,0.4413
2025-06-05,4370.22,-0.9,894830.0,4388.36427,-0.4143
2025-06-06,4398.25,0.64,915082.0,4389.30577,0.2036
2025-06-09,4400.69,0.06,790621.0,4390.38998,0.2343
2025-06-10,4351.89,-1.11,831161.0,4386.72332,-0.7972
2025-06-11,4372.02,0.46,613459.0,4385.323,-0.3038
2025-06-12,4360.1,-0.27,718923.0,4382.92081,-0.522
2025-06-13,4276.63,-1.91,839330.0,4372.79788,-2.2238
2025-06-16,4287.0,0.24,785618.0,4364.62665,-1.7945
2025-06-17,4305.4,0.43,770073.0,4358.98602,-1.2369
2025-06-18,4252.83,-1.22,747755.0,4348.87592,-2.2333
2025-06-19,4202.45,-1.18,769272.0,4334.9306,-3.1038
2025-06-20,4215.69,0.32,722567.0,4323.57435,-2.5269
2025-06-23,4228.7,0.31,702433.0,4314.5387,-2.0096
2025-06-24,4296.43,1.6,799562.0,4312.81406,-0.3806
2025-06-25,4329.81,0.78,825073.0,4314.43272,0.3558
2025-06-26,4319.67,-0.23,777207.0,4314.93151,0.1098
2025-06-27,4317.34,-0.05,712578.0,4315.16089,0.0505
2025-06-30,4336.66,0.45,850446.0,4317.20842,0.4495
2025-07-01,4381.09,1.02,996375.0,4323.29238,1.328
2025-07-02,4443.36,1.42,1445693.0,4334.72739,2.4752
2025-07-03,4484.64,0.93,1525705.0,4349.00478,3.0711
2025-07-04,4488.43,0.08,1650141.0,4362.28338,2.8507
2025-07-07,4534.84,1.03,1518330.0,4378.71734,3.5034
2025-07-08,4631.2,2.12,1814002.0,4402.76331,5.0584
2025-07-09,4624.98,-0.13,2191296.0,4423.9268,4.4444
2025-07-10,4669.46,0.96,2032395.0,4447.31092,4.8744
2025-07-11,4638.31,-0.67,1894470.0,4465.50131,3.7969
2025-07-14,4662.54,0.52,1617257.0,4484.2669,3.8985
2025-07-15,4601.26,-1.31,1608908.0,4495.4091,2.3274
2025-07-16,4593.31,-0.17,1330324.0,4504.73299,1.9472
2025-07-17,4641.38,1.05,1422490.0,4517.74699,2.6998
2025-07-18,4627.73,-0.29,1218851.0,4528.22156,2.1737
2025-07-21,4908.23,6.06,2707521.0,4564.41284,7.2624
2025-07-22,5128.73,4.49,3655251.0,4618.15734,10.4862
2025-07-23,5012.41,-2.27,3692318.0,4655.70521,7.3823
2025-07-24,5093.19,1.61,2978797.0,4697.37043,8.0901
2025-07-25,5007.18,-1.69,3195222.0,4726.8761,5.7608
2025-07-28,5006.99,0.0,2568522.0,4753.55361,5.1942
2025-07-29,5014.56,0.15,2863737.0,4778.41137,4.8238
2025-07-30,5003.93,-0.21,2663077.0,4799.88933,4.1631
2025-07-31,4916.22,-1.75,2624752.0,4810.96844,2.1642
2025-08-01,4891.6,-0.5,1821535.0,4818.64764,1.5026
2025-08-04,4888.83,-0.06,1893010.0,4825.33167,1.3074
2025-08-05,4903.68,0.3,1859773.0,4832.79342,1.4561
2025-08-06,4892.61,-0.23,1618717.0,4838.49024,1.1123
2025-08-07,4893.01,0.01,1757620.0,4843.68259,1.0132
2025-08-08,4949.67,1.16,2053434.0,4853.77663,1.9564
2025-08-11,5017.73,1.38,2239071.0,4869.39124,3.0009
2025-08-12,4994.72,-0.46,1928721.0,4881.32731,2.2964
2025-08-13,5024.71,0.6,1964846.0,4894.98281,2.6157
2025-08-14,4978.39,-0.92,2410270.0,4902.92635,1.5274
2025-08-15,5092.2,2.29,2339546.0,4920.95241,3.4208
2025-08-18,5146.27,1.06,2753385.0,4942.41123,4.0419
2025-08-19,5124.97,-0.41,2520069.0,4959.79778,3.276
2025-08-20,5145.4,0.4,1934766.0,4977.47418,3.3181
2025-08-21,5153.93,0.17,2302210.0,4994.2795,3.1466
2025-08-22,5240.54,1.68,2296203.0,5017.73288,4.3446
2025-08-25,5355.99,2.2,2890891.0,5049.94784,5.8838
2025-08-26,5333.13,-0.43,2386327.0,5076.91757,4.9234
2025-08-27,5170.53,-3.05,2477446.0,5085.83304,1.6516
2025-08-28,5237.66,1.3,2444449.0,5100.29275,2.6577
2025-08-29,5248.01,0.2,2380557.0,5114.36106,2.5796
2025-09-01,5261.71,0.26,2258795.0,5128.39429,2.5663
2025-09-02,5138.52,-2.34,2068152.0,5129.35865,0.1784
2025-09-03,5059.28,-1.54,1446515.0,5122.68449,-1.2454
2025-09-04,5017.89,-0.82,1574905.0,5112.70406,-1.8719
2025-09-05,5101.73,1.67,1472773.0,5111.65891,-0.1944
2025-09-08,5180.81,1.55,1735097.0,5118.24473,1.215
2025-09-09,5171.39,-0.18,1497388.0,5123.30618,0.9342
2025-09-10,5185.32,0.27,1535002.0,5129.21226,1.0879
2025-09-11,5264.52,1.53,1855850.0,5142.09871,2.3529
2025-09-12,5226.79,-0.72,1924978.0,5150.16455,1.4769
2025-09-15,5246.52,0.38,1627915.0,5159.34126,1.6756
2025-09-16,5248.58,0.04,1475411.0,5167.84019,1.5503
2025-09-17,5250.53,0.04,1438994.0,5175.71541,1.4351
2025-09-18,5194.6,-1.07,2004949.0,5177.51394,0.3295
2025-09-19,5249.34,1.05,1806135.0,5184.35452,1.2457
2025-09-22,5199.52,-0.95,1610521.0,5185.79885,0.2642
2025-09-23,5147.53,-1.0,1705048.0,5182.1542,-0.6704
2025-09-24,5186.06,0.75,1420763.0,5182.52618,0.0682
2025-09-25,5181.73,-0.08,1584762.0,5182.45035,-0.0139
2025-09-26,5138.6,-0.83,1219582.0,5178.27413,-0.7691
2025-09-29,5203.82,1.27,1272542.0,5180.70707,0.4451
2025-09-30,5210.65,0.13,1151942.0,5183.55878,0.5213
2025-10-09,5248.7,0.73,1514879.0,5189.7627,1.1292
2025-10-10,5349.43,1.92,1979932.0,5204.96911,2.7376
2025-10-13,5287.01,-1.17,1610768.0,5212.78253,1.4139
2025-10-14,5261.02,-0.49,1643406.0,5217.37657,0.833
2025-10-15,5342.4,1.55,1510696.0,5229.28357,2.1401
2025-10-16,5243.12,-1.86,1422681.0,5230.60132,0.239
2025-10-17,5129.37,-2.17,1262507.0,5220.96024,-1.7698
2025-10-20,5163.71,0.67,1104779.0,5215.50784,-0.9981
2025-10-21,5230.97,1.3,1342291.0,5216.98043,0.2678
2025-10-22,5238.77,0.15,1571231.0,5219.05562,0.377
2025-10-23,5191.05,-0.91,1386676.0,5216.38842,-0.4869
2025-10-24,5211.62,0.4,1488940.0,5215.93429,-0.0827
2025-10-27,5270.48,1.13,1824887.0,5221.12912,0.9408
2025-10-28,5270.76,0.01,1758251.0,5225.85587,0.8556
2025-10-29,5330.26,1.13,1936264.0,5235.79912,1.7881
2025-10-30,5241.86,-1.66,1775499.0,5236.37634,0.1047
2025-10-31,5278.74,0.7,1790116.0,5240.41098,0.7288
2025-11-03,5263.03,-0.3,1675938.0,5242.56517,0.3896
2025-11-04,5214.05,-0.93,1474196.0,5239.84944,-0.4936
2025-11-05,5256.5,0.81,1550633.0,5241.43521,0.287
2025-11-06,5256.51,0.0,1457224.0,5242.8709,0.2598
2025-11-07,5320.78,1.22,1795552.0,5250.29082,1.3336
2025-11-10,5352.99,0.61,1633525.0,5260.07169,1.7511
2025-11-11,5370.99,0.34,1785252.0,5270.63534,1.8861
2025-11-12,5329.4,-0.77,1714149.0,5276.23197,1.0026
2025-11-13,5417.39,1.65,1773722.0,5289.6756,2.3857
2025-11-14,5372.44,-0.83,1762081.0,5297.55792,1.4036
2025-11-17,5322.49,-0.93,1570898.0,5299.9324,0.4247
2025-11-18,5251.65,-1.33,1446138.0,5295.33408,-0.8284
2025-11-19,5161.76,-1.71,1175249.0,5282.61274,-2.3143
2025-11-20,5234.15,1.4,1390454.0,5277.99724,-0.8342
2025-11-21,5067.41,-3.19,1628335.0,5257.94131,-3.691
2025-11-24,5076.04,0.17,1319877.0,5240.61738,-3.1908
2025-11-25,5156.63,1.59,1239953.0,5232.61858,-1.4629
2025-11-26,5156.92,0.01,1457189.0,5225.40919,-1.3194
2025-11-27,5119.11,-0.73,1470916.0,5215.28546,-1.8613
2025-11-28,5172.4,1.04,1274245.0,5211.20113,-0.7474
2025-12-01,5227.37,1.06,1790738.0,5212.74102,0.2802
2025-12-02,5244.15,0.32,1555128.0,5215.73235,0.5434
2025-12-03,5211.92,-0.61,1395454.0,5215.36927,-0.0662
2025-12-04,5178.83,-0.63,1294994.0,5211.88934,-0.6363
2025-12-05,5252.51,1.42,1660948.0,5215.75798,0.7022
2025-12-08,5278.56,0.5,1827890.0,5221.73912,1.0823
2025-12-09,5209.78,-1.3,1700222.0,5220.60016,-0.2075
2025-12-10,5244.65,0.67,1409310.0,5222.89062,0.4158
2025-12-11,5202.82,-0.8,1601122.0,5220.97913,-0.3484
2025-12-12,5178.51,-0.47,2018424.0,5216.93445,-0.7393
2025-12-15,5225.47,0.91,1962935.0,5217.74736,0.1479
2025-12-16,5148.75,-1.47,1837566.0,5211.17618,-1.2052
2025-12-17,5179.95,0.61,1634886.0,5208.20226,-0.5439
2025-12-18,5165.38,-0.28,1621865.0,5204.12395,-0.7473
2025-12-19,5211.88,0.9,1622104.0,5204.86262,0.1347
2025-12-22,5257.99,0.88,1841327.0,5209.92237,0.9184
2025-12-23,5304.21,0.88,2211296.0,5218.90215,1.6214
2025-12-24,5395.44,1.72,2272645.0,5235.71528,3.0051
2025-12-25,5430.94,0.66,1701746.0,5254.30811,3.3064
2025-12-26,5449.43,0.34,2246986.0,5272.89114,3.2932
2025-12-29,5388.86,-1.11,2152301.0,5283.9358,1.9663
2025-12-30,5361.92,-0.5,2057313.0,5291.36286,1.3246
2025-12-31,5362.85,0.02,2014488.0,5298.17116,1.2134
2026-01-05,5457.47,1.76,2282687.0,5313.34248,2.6764
2026-01-06,5494.26,0.67,2228191.0,5330.57272,3.0245
2026-01-07,5486.67,-0.14,2156330.0,5345.43913,2.6078
2026-01-08,5559.72,1.33,2228206.0,5365.84683,3.5494
2026-01-09,5560.36,0.01,2280682.0,5384.37189,3.2162
2026-01-12,5613.29,0.95,2593143.0,5406.17362,3.7595
2026-01-13,5508.11,-1.87,2087385.0,5415.88185,1.6886
2026-01-14,5512.67,0.08,2359007.0,5425.09976,1.6013
2026-01-15,5543.73,0.56,2302144.0,5436.39788,1.9551
2026-01-16,5522.93,-0.38,2261199.0,5444.63904,1.4277
2026-01-19,5611.72,1.61,2058912.0,5460.55151,2.7307
2026-01-20,5707.48,1.71,2778991.0,5484.06851,3.993
2026-01-21,5784.26,1.35,2475184.0,5512.65817,4.8094
2026-01-22,6020.57,4.09,3204871.0,5561.03073,7.9398
2026-01-23,6032.51,0.2,3337377.0,5605.93352,7.3338
2026-01-26,5991.41,-0.68,2884865.0,5642.64556,5.9974
2026-01-27,5965.6,-0.43,2268217.0,5673.40313,5.0221
2026-01-28,6095.4,2.18,2920316.0,5713.59331,6.4686
2026-01-29,6160.52,1.07,3443427.0,5756.15775,6.7891
2026-01-30,6076.69,-1.36,2662710.0,5786.68463,4.8901
2026-02-02,5832.42,-4.02,2520071.0,5791.04038,0.712
2026-02-03,6037.7,3.52,2497421.0,5814.53178,3.7663
2026-02-04,6247.88,3.48,3369171.0,5855.80303,6.4809
2026-02-05,6174.11,-1.18,2541379.0,5886.11798,4.7768
2026-02-06,6119.02,-0.89,2181631.0,5908.29913,3.5044
2026-02-09,6218.83,1.63,2265667.0,5937.8735,4.6231
2026-02-10,6224.7,0.09,2504502.0,5965.19031,4.2584
2026-02-11,6429.79,3.29,2682695.0,6009.4379,6.7611
2026-02-12,6495.12,1.02,3584183.0,6055.69334,7.0052
2026-02-13,6293.85,-3.1,2873630.0,6078.37492,3.4836
2026-02-24,6527.18,3.71,2955643.0,6121.11826,6.423
2026-02-25,6706.6,2.75,3989998.0,6176.87843,8.2279
2026-02-26,6668.19,-0.57,3458494.0,6223.67001,6.8989
2026-02-27,6571.81,-1.45,3194703.0,6256.8262,4.9116
2026-03-02,6624.92,0.81,3057458.0,6291.88275,5.1578
2026-03-03,6343.22,-4.25,2879537.0,6296.77201,0.7349
2026-03-04,6284.77,-0.92,2082987.0,6295.62896,-0.1726
2026-03-05,6290.39,0.09,2087383.0,6295.13001,-0.0753
2026-03-06,6287.85,-0.04,1923462.0,6294.43668,-0.1047
2026-03-09,6173.4,-1.82,2054643.0,6282.90938,-1.7583
2026-03-10,6301.18,2.07,2337811.0,6284.64944,0.2627
2026-03-11,6294.99,-0.1,2103600.0,6285.63425,0.1487
2026-03-12,6249.06,-0.73,2030773.0,6282.15099,-0.5281
2026-03-13,6206.97,-0.67,2128269.0,6274.9909,-1.0899
2026-03-16,6108.52,-1.59,2164503.0,6259.13652,-2.4358
2026-03-17,6013.57,-1.55,2039667.0,6235.74924,-3.628
2026-03-18,6053.73,0.67,1768467.0,6218.41407,-2.684
2026-03-19,5834.73,-3.62,1763347.0,6181.87273,-5.7793
2026-03-20,5713.71,-2.07,1666398.0,6137.2858,-7.1514
2026-03-23,5500.4,-3.73,1953115.0,6076.63001,-9.9629
2026-03-24,5701.61,3.66,1840986.0,6040.91382,-5.7807
2026-03-25,5830.45,2.26,1763197.0,6020.86965,-3.2138
2026-03-26,5745.56,-1.46,1883698.0,5994.64968,-4.244
2026-03-27,5777.87,0.56,1610499.0,5974.004,-3.3382
2026-03-30,5874.58,1.67,2186481.0,5964.53505,-1.5197
2026-03-31,5801.73,-1.24,2119076.0,5949.0298,-2.5072
2026-04-01,5922.13,2.08,2294254.0,5946.46792,-0.4101
2026-04-02,5837.27,-1.43,1777628.0,5936.06812,-1.6784
2026-04-03,5730.12,-1.84,1771946.0,5916.45401,-3.2001
2026-04-07,5785.37,0.96,1658696.0,5903.96982,-2.0293
2026-04-08,6001.62,3.74,2242245.0,5913.26984,1.483
2026-04-09,5958.48,-0.72,1925874.0,5917.57557,0.6889
2026-04-10,6037.02,1.32,2339051.0,5928.95123,1.8063
2026-04-13,6206.56,2.81,2630431.0,5955.39016,4.131
2026-04-14,6257.0,0.81,3124496.0,5984.1149,4.4592
2026-04-15,6178.53,-1.25,2863438.0,6002.63063,2.8883
2026-04-16,6281.22,1.66,2820486.0,6029.16295,4.0956
2026-04-17,6284.73,0.06,2813953.0,6053.50267,3.7486
2026-04-20,6247.16,-0.6,2921178.0,6071.94622,2.8448
2026-04-21,6260.25,0.21,2625447.0,6089.87992,2.7592
2026-04-22,6292.98,0.52,2901505.0,6109.22278,2.9635
2026-04-23,6291.73,-0.02,3459051.0,6126.60442,2.6595
2026-04-24,6242.43,-0.78,2800793.0,6137.63543,1.693
2026-04-27,6286.12,0.7,2831854.0,6151.77682,2.1603
2026-04-28,6331.86,0.73,3206082.0,6168.9276,2.6069
2026-04-29,6484.36,2.41,3353147.0,6198.96878,4.501
2026-04-30,6403.33,-1.25,3619057.0,6218.43175,2.93
2026-05-06,6659.99,4.01,3762522.0,6260.48492,6.186
2026-05-07,6772.12,1.68,3605195.0,6309.21207,7.0803
2026-05-08,6768.09,-0.06,3227321.0,6352.91473,6.3305
2026-05-11,6858.1,1.33,3697911.0,6401.02761,6.8972
2026-05-12,6869.36,0.16,3616612.0,6445.6307,6.3668
2026-05-13,6848.41,-0.3,3809136.0,6483.99063,5.468
2026-05-14,6735.23,-1.65,3478056.0,6507.91819,3.4332
2026-05-15,6502.63,-3.45,3644493.0,6507.41455,-0.0736
2026-05-18,6480.06,-0.35,2943603.0,6504.80936,-0.3812
2026-05-19,6487.58,0.12,3181239.0,6503.16847,-0.24
2026-05-20,6510.61,0.35,2912170.0,6503.87718,0.1035
2026-05-21,6423.51,-1.34,3829690.0,6496.22317,-1.1256
2026-05-22,6672.06,3.87,3718239.0,6512.96953,2.4133
2026-05-25,6796.23,1.86,3904798.0,6539.94672,3.8439
2026-05-26,6860.63,0.95,4194204.0,6570.48798,4.3211
2026-05-27,6681.46,-2.61,3663209.0,6581.05675,1.5141
2026-05-28,6933.87,3.78,3825348.0,6614.65801,4.713
