trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1877.17,1.52,2102403.0,1864.9495,0.6531
2025-05-07,1890.36,0.7,2170877.0,1867.36955,1.2237
2025-05-08,1898.22,0.42,1911529.0,1870.30768,1.4814
2025-05-09,1885.72,-0.66,1898053.0,1871.77552,0.7422
2025-05-12,1901.82,0.85,1888485.0,1874.6369,1.4396
2025-05-13,1913.3,0.6,2123079.0,1878.3191,1.8452
2025-05-14,1921.64,0.44,2009100.0,1882.4449,2.0608
2025-05-15,1906.73,-0.78,1693089.0,1884.75777,1.159
2025-05-16,1900.2,-0.34,1887298.0,1886.22846,0.738
2025-05-19,1914.99,0.78,1934705.0,1888.96765,1.3682
2025-05-20,1923.47,0.44,1991113.0,1892.25359,1.6362
2025-05-21,1925.11,0.09,2025333.0,1895.38277,1.5562
2025-05-22,1904.71,-1.06,1900678.0,1896.27108,0.444
2025-05-23,1881.71,-1.21,1925614.0,1894.88431,-0.6977
2025-05-26,1891.53,0.52,1738806.0,1894.56485,-0.1603
2025-05-27,1888.07,-0.18,1579132.0,1893.94629,-0.3107
2025-05-28,1881.66,-0.34,1513992.0,1892.77617,-0.589
2025-05-29,1901.56,1.06,1876157.0,1893.61273,0.4188
2025-05-30,1902.79,0.06,1920902.0,1894.48675,0.4373
2025-06-03,1905.25,0.13,1961530.0,1895.51182,0.5124
2025-06-04,1915.17,0.52,1871772.0,1897.38403,0.933
2025-06-05,1911.43,-0.2,2015812.0,1898.72174,0.6671
2025-06-06,1926.6,0.79,2237673.0,1901.37681,1.3179
2025-06-09,1930.27,0.19,2148242.0,1904.12855,1.3635
2025-06-10,1915.9,-0.74,2246575.0,1905.24964,0.5574
2025-06-11,1923.64,0.4,1831966.0,1907.0011,0.8687
2025-06-12,1917.85,-0.3,1721151.0,1908.03433,0.5131
2025-06-13,1899.49,-0.96,1936339.0,1907.22058,-0.4062
2025-06-16,1904.36,0.26,1625887.0,1906.94815,-0.1358
2025-06-17,1906.66,0.12,1491291.0,1906.9207,-0.0137
2025-06-18,1892.31,-0.75,1405945.0,1905.52921,-0.6961
2025-06-19,1859.6,-1.73,1627102.0,1901.155,-2.21
2025-06-20,1856.85,-0.15,1285400.0,1896.93547,-2.1358
2025-06-23,1867.79,0.59,1312199.0,1894.15972,-1.4019
2025-06-24,1906.11,2.05,1959475.0,1895.29784,0.5689
2025-06-25,1922.01,0.83,2046073.0,1897.84185,1.2654
2025-06-26,1918.46,-0.18,2033404.0,1899.80549,0.9771
2025-06-27,1923.86,0.28,2029207.0,1902.09639,1.1377
2025-06-30,1930.55,0.35,1968849.0,1904.80626,1.3425
2025-07-01,1926.16,-0.23,1789891.0,1906.83995,1.0081
2025-07-02,1933.64,0.39,1924636.0,1909.39233,1.2619
2025-07-03,1938.4,0.25,1793862.0,1912.15497,1.3632
2025-07-04,1936.01,-0.12,1985390.0,1914.42688,1.1211
2025-07-07,1948.46,0.64,1816743.0,1917.66813,1.5929
2025-07-08,1959.96,0.59,2040799.0,1921.69592,1.9716
2025-07-09,1967.2,0.37,2468808.0,1926.02965,2.1151
2025-07-10,1987.86,1.05,2859801.0,1931.91825,2.8545
2025-07-11,1986.24,-0.08,2946634.0,1937.09175,2.5056
2025-07-14,1995.22,0.45,2498284.0,1942.62777,2.6713
2025-07-15,1978.56,-0.84,2575389.0,1946.04989,1.6568
2025-07-16,1970.31,-0.42,2012645.0,1948.36038,1.1203
2025-07-17,1966.56,-0.19,1860182.0,1950.09368,0.8408
2025-07-18,1972.11,0.28,2039781.0,1952.19047,1.0152
