trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,6621.7,2.16,8880994.0,6570.08066,0.7826
2025-05-07,6680.46,0.89,9417851.0,6580.59298,1.5062
2025-05-08,6788.37,1.62,8723916.0,6600.38127,2.8083
2025-05-09,6742.69,-0.67,7543684.0,6613.93448,1.928
2025-05-12,6924.2,2.69,9699229.0,6643.48358,4.1386
2025-05-13,6954.1,0.43,10774488.0,6673.06609,4.1252
2025-05-14,6942.87,-0.16,8560514.0,6698.7617,3.5793
2025-05-15,6824.13,-1.71,6772323.0,6710.70154,1.6761
2025-05-16,6836.68,0.18,6642172.0,6722.69949,1.6812
2025-05-19,6849.83,0.19,6924214.0,6734.80716,1.6935
2025-05-20,6889.27,0.58,7519322.0,6749.5179,2.0494
2025-05-21,6966.05,1.11,9931145.0,6770.14001,2.8527
2025-05-22,6874.16,-1.32,8620370.0,6780.04667,1.3785
2025-05-23,6788.25,-1.25,8628153.0,6780.82794,0.1094
2025-05-26,6745.13,-0.64,7978224.0,6777.42814,-0.4777
2025-05-27,6708.57,-0.54,7690973.0,6770.87022,-0.9244
2025-05-28,6673.07,-0.53,7850246.0,6761.55591,-1.3173
2025-05-29,6725.54,0.79,8434112.0,6758.12583,-0.4833
2025-05-30,6622.59,-1.53,7785975.0,6745.21765,-1.8347
2025-06-03,6630.98,0.13,6912005.0,6734.33788,-1.5467
2025-06-04,6692.07,0.92,7907003.0,6730.31236,-0.5698
2025-06-05,6725.95,0.51,8208798.0,6729.8969,-0.0587
2025-06-06,6713.78,-0.18,8223649.0,6728.36196,-0.217
2025-06-09,6766.86,0.79,9465315.0,6732.02844,0.5161
2025-06-10,6712.02,-0.81,10738187.0,6730.12287,-0.2693
2025-06-11,6780.39,1.02,9340097.0,6734.91022,0.673
2025-06-12,6768.39,-0.18,8161684.0,6738.09877,0.4485
2025-06-13,6683.06,-1.26,9481111.0,6732.85698,-0.7424
2025-06-16,6718.38,0.53,7645753.0,6731.47822,-0.1948
2025-06-17,6731.45,0.19,8194843.0,6731.47553,-0.0004
2025-06-18,6752.77,0.32,8503799.0,6733.50358,0.2857
2025-06-19,6654.72,-1.45,10451158.0,6726.00038,-1.0654
2025-06-20,6629.95,-0.37,9203804.0,6716.85272,-1.3022
2025-06-23,6704.68,1.13,9388469.0,6715.69342,-0.1641
2025-06-24,6895.89,2.85,13609218.0,6732.855,2.3926
2025-06-25,7010.11,1.66,14294022.0,6759.26024,3.644
2025-06-26,6957.81,-0.75,13968966.0,6778.16974,2.6158
2025-06-27,6968.82,0.16,12753298.0,6796.3269,2.5064
2025-06-30,7065.29,1.38,12599549.0,6821.94244,3.505
2025-07-01,7038.92,-0.37,11870005.0,6842.60697,2.8286
2025-07-02,7069.99,0.44,12458722.0,6864.26249,2.953
2025-07-03,7167.72,1.38,12685927.0,6893.16321,3.9058
2025-07-04,7107.24,-0.84,11842546.0,6913.55147,2.7631
2025-07-07,7104.07,-0.04,9722065.0,6931.6961,2.4563
2025-07-08,7267.65,2.3,14015623.0,6963.69171,4.2723
2025-07-09,7279.79,0.17,13701137.0,6993.79631,4.0079
2025-07-10,7298.47,0.26,12534546.0,7022.81285,3.8501
2025-07-11,7285.15,-0.18,11734983.0,7047.79734,3.3123
2025-07-14,7302.97,0.24,11568747.0,7072.0995,3.2124
2025-07-15,7248.65,-0.74,12476587.0,7088.91383,2.2283
2025-07-16,7235.16,-0.19,10256266.0,7102.84204,1.8457
2025-07-17,7295.08,0.83,11417352.0,7121.15041,2.4131
2025-07-18,7326.92,0.44,12161489.0,7140.74752,2.5738
2025-07-21,7477.57,2.06,14765913.0,7172.82585,4.1608
2025-07-22,7616.04,1.85,17805930.0,7215.03672,5.4089
2025-07-23,7524.48,-1.2,16037557.0,7244.50751,3.7918
2025-07-24,7612.81,1.17,14138723.0,7279.58394,4.4759
2025-07-25,7548.79,-0.84,11332564.0,7305.22261,3.2798
2025-07-28,7583.94,0.47,11599483.0,7331.76712,3.3816
2025-07-29,7662.41,1.03,13123884.0,7363.25692,3.9824
2025-07-30,7492.05,-2.22,12665209.0,7375.52293,1.5676
2025-07-31,7311.64,-2.41,13299106.0,7369.43884,-0.7874
2025-08-01,7350.91,0.54,11568690.0,7367.67419,-0.2278
2025-08-04,7403.1,0.71,10661411.0,7371.04808,0.4339
2025-08-05,7449.23,0.62,10827182.0,7378.49397,0.9541
2025-08-06,7502.42,0.71,12232747.0,7390.29645,1.5058
2025-08-07,7447.23,-0.74,11707358.0,7395.71869,0.6941
2025-08-08,7493.71,0.62,12876786.0,7405.0512,1.1902
2025-08-11,7646.6,2.04,16044121.0,7428.05585,2.8997
2025-08-12,7639.21,-0.1,14933187.0,7448.16577,2.5326
2025-08-13,7765.82,1.66,16939430.0,7478.41855,3.7711
2025-08-14,7711.4,-0.7,17449698.0,7500.60726,2.7716
2025-08-15,7931.06,2.85,19924899.0,7541.60276,5.0352
2025-08-18,8035.7,1.32,21776513.0,7588.65964,5.7239
2025-08-19,8018.92,-0.21,20100937.0,7629.63682,4.9764
2025-08-20,8055.44,0.46,18123495.0,7670.1895,4.9006
2025-08-21,7976.55,-0.98,16910170.0,7699.36669,3.5368
2025-08-22,8111.74,1.69,17180547.0,7738.64034,4.7086
2025-08-25,8265.17,1.89,21970661.0,7788.78602,5.9365
2025-08-26,8244.41,-0.25,19015191.0,7832.17878,5.1295
2025-08-27,8081.51,-1.98,23191201.0,7855.92461,2.8311
2025-08-28,8180.03,1.22,21881159.0,7886.79179,3.6506
2025-08-29,8435.46,3.12,23475804.0,7939.04591,6.0651
2025-09-01,8488.8,0.63,22464805.0,7991.40344,6.0381
2025-09-02,8367.1,-1.43,24509364.0,8027.18406,4.1474
2025-09-03,8487.28,1.44,24332453.0,8071.00272,5.0291
2025-09-04,8451.63,-0.42,30582856.0,8107.25294,4.16
2025-09-05,9058.99,7.19,35674677.0,8197.89457,9.988
2025-09-08,9141.79,0.91,37170667.0,8287.78937,9.8073
2025-09-09,9021.66,-1.31,29783071.0,8357.68181,7.6447
2025-09-10,8915.45,-1.18,26043258.0,8410.80259,5.8269
2025-09-11,9132.37,2.43,27100478.0,8479.5233,7.4171
2025-09-12,9107.28,-0.27,27150655.0,8539.30965,6.4394
2025-09-15,9309.88,2.22,30015768.0,8612.6973,7.7839
2025-09-16,9336.8,0.29,25551916.0,8681.65946,7.2751
2025-09-17,9574.91,2.55,27139568.0,8766.73094,8.8182
2025-09-18,9437.19,-1.44,32818543.0,8830.58419,6.6437
2025-09-19,9386.8,-0.53,23778265.0,8883.55712,5.5102
2025-09-22,9412.02,0.27,19665800.0,8933.88692,5.2136
2025-09-23,9452.74,0.43,26499625.0,8983.3015,5.0937
2025-09-24,9725.34,2.88,27376719.0,9053.97183,7.1531
2025-09-25,9880.61,1.6,28972255.0,9132.69928,7.8713
2025-09-26,9749.37,-1.33,26338028.0,9191.42982,5.8931
2025-09-29,10048.99,3.07,28722695.0,9273.10222,8.0354
2025-09-30,10221.22,1.71,28502323.0,9363.39915,8.7658
2025-10-09,10428.72,2.03,31771661.0,9464.85828,9.6978
2025-10-10,9963.15,-4.46,31728118.0,9512.31463,4.6306
2025-10-13,9895.44,-0.68,26188963.0,9548.80276,3.5658
2025-10-14,9661.64,-2.36,30033060.0,9559.54917,1.0623
2025-10-15,9924.4,2.72,24963995.0,9594.29687,3.3828
2025-10-16,9930.59,0.06,24259290.0,9626.32478,3.1118
2025-10-17,9435.18,-4.99,23910161.0,9608.12052,-1.8163
2025-10-20,9580.01,1.54,19460860.0,9605.44333,-0.2651
2025-10-21,9753.94,1.82,19456831.0,9619.58587,1.387
2025-10-22,9627.83,-1.29,16312068.0,9620.37102,0.0775
2025-10-23,9684.32,0.59,16323054.0,9626.4614,0.5992
2025-10-24,9897.67,2.2,19483811.0,9652.29079,2.5104
2025-10-27,9969.7,0.73,24516547.0,9682.52024,2.9228
2025-10-28,9954.66,-0.15,22197886.0,9708.43831,2.5045
2025-10-29,10431.7,4.79,29877575.0,9777.32038,6.4784
2025-10-30,10393.73,-0.36,31391019.0,9836.02606,5.5151
2025-10-31,10321.86,-0.69,29371710.0,9882.29596,4.3519
2025-11-03,10418.38,0.94,27267754.0,9933.35158,4.7674
2025-11-04,10205.25,-2.05,24844785.0,9959.24667,2.4401
2025-11-05,10551.93,3.4,31529533.0,10015.6927,5.2156
2025-11-06,10728.43,1.67,32583322.0,10083.57244,6.199
2025-11-07,10836.31,1.01,34580305.0,10155.26173,6.4911
2025-11-10,10718.07,-1.09,34788789.0,10208.86252,4.8675
2025-11-11,10722.67,0.04,31082249.0,10257.79657,4.4322
2025-11-12,10497.5,-2.1,30371073.0,10280.62546,2.0876
2025-11-13,10950.05,4.31,34613852.0,10344.38018,5.6901
2025-11-14,10749.97,-1.83,30806134.0,10383.00778,3.4732
2025-11-17,10675.71,-0.69,28100236.0,10410.88419,2.5119
2025-11-18,10359.01,-2.97,26918137.0,10405.94379,-0.452
2025-11-19,10344.69,-0.14,21647732.0,10400.11009,-0.5343
2025-11-20,10141.96,-1.96,21553744.0,10375.52437,-2.2768
2025-11-21,9617.17,-5.17,22776640.0,10303.30014,-6.8914
2025-11-24,9664.68,0.49,16996636.0,10242.47918,-5.8066
2025-11-25,9819.83,1.61,17858772.0,10202.22688,-3.8202
2025-11-26,9813.11,-0.07,16854363.0,10165.16813,-3.5248
2025-11-27,9831.73,0.19,18114268.0,10133.41211,-3.0223
2025-11-28,9962.15,1.33,16948279.0,10117.10144,-1.5434
2025-12-01,10018.59,0.57,18485076.0,10107.71939,-0.8857
2025-12-02,9899.94,-1.18,14016124.0,10087.93088,-1.8811
2025-12-03,9798.82,-1.02,14130818.0,10060.39651,-2.6345
2025-12-04,9825.21,0.27,12476162.0,10037.9978,-2.1426
2025-12-05,9983.62,1.61,15294428.0,10032.81896,-0.4916
2025-12-08,10117.5,1.34,18199410.0,10040.88382,0.7601
2025-12-09,10074.08,-0.43,16900036.0,10044.04536,0.2986
2025-12-10,9986.79,-0.87,15793072.0,10038.59247,-0.5174
2025-12-11,9961.5,-0.25,17810252.0,10031.25033,-0.6978
2025-12-12,10102.7,1.42,21605241.0,10038.05506,0.6419
2025-12-15,9986.55,-1.15,18496687.0,10033.14982,-0.4655
2025-12-16,9721.09,-2.66,17535975.0,10003.42983,-2.863
2025-12-17,9924.0,2.09,17954039.0,9995.86509,-0.7215
2025-12-18,9703.86,-2.22,15475490.0,9968.05508,-2.6862
2025-12-19,9787.33,0.86,15472178.0,9950.84317,-1.6569
2025-12-22,9890.33,1.05,17672753.0,9945.08001,-0.552
2025-12-23,10001.05,1.12,20916640.0,9950.41048,0.5076
2025-12-24,10104.44,1.03,20835300.0,9965.07996,1.3888
2025-12-25,10170.4,0.65,20447458.0,9984.63425,1.8434
2025-12-26,10312.68,1.4,26840226.0,10015.8767,2.9203
2025-12-29,10196.23,-1.13,23544336.0,10033.05321,1.6133
2025-12-30,10179.56,-0.16,22059828.0,10047.00624,1.3107
2025-12-31,10088.23,-0.9,19349276.0,10050.93231,0.3704
