trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,4367.06,2.71,1442285.0,4382.38312,-0.3503
2025-05-07,4383.09,0.37,1421047.0,4382.45044,0.0146
2025-05-08,4471.6,2.02,1598087.0,4390.94088,1.8203
2025-05-09,4380.53,-2.04,1212092.0,4389.94936,-0.2148
2025-05-12,4540.75,3.66,1938811.0,4404.31133,3.0508
2025-05-13,4642.11,2.23,3253549.0,4426.95882,4.7456
2025-05-14,4566.48,-1.63,2048095.0,4440.24655,2.8033
2025-05-15,4451.55,-2.52,1347643.0,4441.32307,0.23
2025-05-16,4468.25,0.38,1188630.0,4443.88754,0.5467
2025-05-19,4458.44,-0.22,1041857.0,4445.27349,0.2958
2025-05-20,4451.17,-0.16,1022740.0,4445.83506,0.1199
2025-05-21,4449.48,-0.04,1092493.0,4446.1822,0.0741
2025-05-22,4380.46,-1.55,1048147.0,4439.92294,-1.3483
2025-05-23,4325.58,-1.25,1445629.0,4429.03314,-2.3635
2025-05-26,4338.88,0.31,960166.0,4420.44712,-1.8625
2025-05-27,4283.96,-1.27,1031195.0,4407.44835,-2.8418
2025-05-28,4237.47,-1.09,802191.0,4391.25994,-3.565
2025-05-29,4298.03,1.43,904901.0,4382.38089,-1.9435
2025-05-30,4228.12,-1.63,948977.0,4367.68938,-3.2477
2025-06-03,4216.75,-0.27,865154.0,4353.3142,-3.1873
2025-06-04,4262.96,1.1,901614.0,4344.70904,-1.8995
2025-06-05,4274.1,0.26,865916.0,4337.98437,-1.4836
2025-06-06,4274.49,0.01,975970.0,4331.93729,-1.335
2025-06-09,4354.42,1.87,1462589.0,4334.0785,0.4682
2025-06-10,4311.5,-0.99,1559384.0,4331.92816,-0.4727
2025-06-11,4362.68,1.19,1456015.0,4334.85691,0.6398
2025-06-12,4336.16,-0.61,1215150.0,4334.98101,0.0272
2025-06-13,4242.32,-2.16,1482387.0,4326.15616,-1.9569
2025-06-16,4269.73,0.65,1231311.0,4320.78224,-1.1886
2025-06-17,4262.39,-0.17,1041205.0,4315.22107,-1.2319
2025-06-18,4293.59,0.73,1379624.0,4313.16097,-0.4548
2025-06-19,4199.72,-2.19,1457135.0,4302.35707,-2.4145
2025-06-20,4218.11,0.44,1787457.0,4294.33354,-1.7909
2025-06-23,4257.96,0.94,1511662.0,4290.86939,-0.7699
2025-06-24,4346.43,2.08,1705969.0,4296.16088,1.1633
2025-06-25,4377.85,0.72,1679204.0,4303.94079,1.7027
2025-06-26,4316.5,-1.4,1643407.0,4305.13691,0.2636
2025-06-27,4357.89,0.96,1728256.0,4310.16101,1.1013
2025-06-30,4504.71,3.37,2341429.0,4328.68949,3.9859
2025-07-01,4476.4,-0.63,1782931.0,4342.75716,3.031
2025-07-02,4643.37,3.73,3475377.0,4371.38695,6.036
2025-07-03,4658.24,0.32,2886983.0,4398.70629,5.7327
2025-07-04,4608.89,-1.06,2670066.0,4418.72378,4.2136
2025-07-07,4594.1,-0.32,1803074.0,4435.42628,3.5149
2025-07-08,4902.6,6.72,4597012.0,4479.91902,9.0161
2025-07-09,4885.14,-0.36,3533699.0,4518.51149,7.8015
2025-07-10,4986.66,2.08,4543722.0,4563.09706,8.8765
2025-07-11,4943.01,-0.88,3335000.0,4599.27925,7.2075
2025-07-14,4925.45,-0.36,2615698.0,4630.34313,6.1785
2025-07-15,4852.54,-1.48,2785542.0,4651.50474,4.2312
2025-07-16,4864.61,0.25,2294002.0,4671.80048,4.0442
2025-07-17,4901.42,0.76,3323965.0,4693.669,4.331
2025-07-18,4843.54,-1.18,2575474.0,4707.94243,2.8395
2025-07-21,4895.27,1.07,2161315.0,4725.78315,3.5236
2025-07-22,5004.96,2.24,3181035.0,4752.37142,5.1786
2025-07-23,4923.47,-1.63,3012217.0,4768.66652,3.1947
2025-07-24,5064.94,2.87,3024997.0,4796.88305,5.4376
2025-07-25,4995.29,-1.38,2062802.0,4815.77895,3.6598
2025-07-28,4950.4,-0.9,1929456.0,4828.6,2.4912
2025-07-29,5046.79,1.95,2416748.0,4849.38,3.9902
2025-07-30,4992.68,-1.07,2513930.0,4863.02762,2.6312
2025-07-31,4804.68,-3.77,2780410.0,4857.4707,-1.0927
2025-08-01,4929.42,2.6,3058472.0,4864.32302,1.3294
2025-08-04,4878.42,-1.03,2187801.0,4865.66559,0.2618
2025-08-05,4948.74,1.44,1903660.0,4873.57744,1.5305
2025-08-06,4975.72,0.55,1988918.0,4883.3053,1.8748
2025-08-07,4907.46,-1.37,1964459.0,4885.60575,0.4463
2025-08-08,4993.24,1.75,3081398.0,4895.85663,1.9696
2025-08-11,5105.5,2.25,2778585.0,4915.82266,3.7859
2025-08-12,5090.5,-0.29,2537923.0,4932.4586,3.1538
2025-08-13,5144.44,1.06,3058629.0,4952.6473,3.7994
2025-08-14,5040.62,-2.02,2803848.0,4961.02566,1.5917
2025-08-15,5283.04,4.81,4333811.0,4991.69369,5.6726
2025-08-18,5356.16,1.38,4092783.0,5026.40477,6.3542
2025-08-19,5339.0,-0.32,3390902.0,5056.17574,5.4428
2025-08-20,5379.92,0.77,3706884.0,5087.00853,5.5984
2025-08-21,5331.51,-0.9,3232879.0,5110.29438,4.2377
2025-08-22,5466.11,2.52,3782684.0,5144.18158,6.0701
2025-08-25,5586.57,2.2,4579871.0,5186.31381,7.4342
2025-08-26,5525.02,-1.1,4100661.0,5218.57155,5.7063
2025-08-27,5393.87,-2.37,4162090.0,5235.26664,2.9845
2025-08-28,5561.05,3.1,4549546.0,5266.29362,5.446
2025-08-29,5616.64,1.0,4345586.0,5299.65995,5.8091
2025-09-01,5662.71,0.82,4065430.0,5334.23614,5.9757
2025-09-02,5582.33,-1.42,4886321.0,5357.86413,4.1041
2025-09-03,5818.83,4.24,5921506.0,5401.76564,7.4373
2025-09-04,5889.0,1.21,8545479.0,5448.16891,7.7807
2025-09-05,6405.37,8.77,9416027.0,5539.33092,14.5263
2025-09-08,6437.4,0.5,8822364.0,5624.86131,13.4928
2025-09-09,6243.07,-3.02,6088230.0,5683.73833,9.3863
2025-09-10,6112.18,-2.1,5720205.0,5724.5423,6.5521
2025-09-11,6303.06,3.12,5586465.0,5779.63922,8.6694
2025-09-12,6195.53,-1.71,5212367.0,5819.24787,6.2657
2025-09-15,6235.45,0.64,6056784.0,5858.88616,6.2291
2025-09-16,6294.31,0.94,5129685.0,5900.3551,6.4634
2025-09-17,6341.59,0.75,4986594.0,5942.37747,6.502
2025-09-18,6223.82,-1.86,6189673.0,5969.18152,4.1774
2025-09-19,6143.31,-1.29,4059659.0,5985.76519,2.598
2025-09-22,6074.73,-1.12,3580008.0,5994.23803,1.3339
2025-09-23,6076.37,0.03,4764378.0,6002.06012,1.2305
2025-09-24,6395.53,5.25,5588032.0,6039.53344,5.7273
2025-09-25,6522.89,1.99,5720609.0,6085.5674,6.9398
2025-09-26,6476.63,-0.71,4773737.0,6122.81146,5.6179
2025-09-29,6642.15,2.56,5641511.0,6172.27227,7.3369
2025-09-30,6709.65,1.02,5556734.0,6223.4511,7.5222
2025-10-09,6836.66,1.89,6461779.0,6281.85195,8.4634
2025-10-10,6479.48,-5.22,5665677.0,6300.67367,2.7984
2025-10-13,6361.52,-1.82,4750320.0,6306.46856,0.8691
2025-10-14,6459.96,1.55,7216269.0,6321.08679,2.1732
2025-10-15,6682.06,3.44,6482572.0,6355.46519,5.0111
2025-10-16,6786.13,1.56,5572869.0,6396.48089,5.9133
2025-10-17,6346.36,-6.48,5582388.0,6391.70747,-0.712
2025-10-20,6362.4,0.25,3677516.0,6388.91628,-0.4159
2025-10-21,6439.91,1.22,3524581.0,6393.77283,0.719
2025-10-22,6331.58,-1.68,2705145.0,6387.8497,-0.8848
2025-10-23,6402.96,1.13,3140913.0,6389.28878,0.2137
2025-10-24,6551.78,2.32,4111468.0,6404.76413,2.2695
2025-10-27,6620.25,1.05,4506398.0,6425.28659,2.9892
2025-10-28,6569.17,-0.77,3609344.0,6438.98978,2.0016
2025-10-29,7172.85,9.19,7679467.0,6508.88123,9.7135
2025-10-30,7183.51,0.15,7736832.0,6573.13159,8.8798
2025-10-31,7118.63,-0.9,6101766.0,6625.08382,7.1852
2025-11-03,7368.91,3.52,6512885.0,6695.9244,9.5771
2025-11-04,7124.79,-3.31,5712235.0,6736.76875,5.6
2025-11-05,7434.33,4.34,7348354.0,6803.20315,8.8715
2025-11-06,7517.54,1.12,7098874.0,6871.23523,8.9895
2025-11-07,7600.4,1.1,7642178.0,6940.6795,9.0801
2025-11-10,7613.44,0.17,8500502.0,7004.75193,8.3326
2025-11-11,7646.64,0.44,7822485.0,7065.88412,7.8988
2025-11-12,7309.9,-4.4,9065514.0,7089.12373,3.0668
2025-11-13,7456.78,2.01,7589637.0,7124.13861,4.5635
2025-11-14,7439.48,-0.23,8020956.0,7154.17113,3.9105
2025-11-17,7338.96,-1.35,5855876.0,7171.77007,2.3045
2025-11-18,7110.31,-3.12,5587639.0,7165.91673,-0.779
2025-11-19,7095.73,-0.21,4436736.0,7159.23228,-0.891
2025-11-20,6935.38,-2.26,4613954.0,7137.91301,-2.8785
2025-11-21,6527.35,-5.88,4835261.0,7079.76415,-8.124
2025-11-24,6528.81,0.02,3477158.0,7027.29233,-7.3577
2025-11-25,6665.87,2.1,3784124.0,6992.87116,-4.7891
2025-11-26,6721.62,0.84,4044629.0,6967.03771,-3.5861
2025-11-27,6712.54,-0.14,3998211.0,6942.79983,-3.3728
2025-11-28,6799.93,1.3,3542794.0,6929.19318,-1.8831
2025-12-01,6769.85,-0.44,3990962.0,6914.01764,-2.1072
2025-12-02,6675.14,-1.4,2914208.0,6891.26739,-3.1865
2025-12-03,6606.64,-1.03,3100789.0,6864.16002,-3.8238
2025-12-04,6575.31,-0.47,2478929.0,6836.65049,-3.8976
2025-12-05,6687.6,1.71,3342721.0,6822.45521,-1.9964
2025-12-08,6796.29,1.63,4533720.0,6819.96328,-0.3477
2025-12-09,6856.39,0.88,4363055.0,6823.4325,0.4818
2025-12-10,6733.16,-1.8,4426286.0,6814.83512,-1.2057
2025-12-11,6657.44,-1.12,4144418.0,6799.8451,-2.1165
2025-12-12,6739.37,1.23,4821685.0,6794.08557,-0.8086
2025-12-15,6676.52,-0.93,4215582.0,6782.88885,-1.5806
2025-12-16,6456.16,-3.3,4392010.0,6751.77182,-4.477
2025-12-17,6608.97,2.37,3847375.0,6738.17164,-1.9361
2025-12-18,6484.49,-1.88,3517904.0,6714.01149,-3.4783
2025-12-19,6555.6,1.1,3480711.0,6698.92468,-2.1627
2025-12-22,6623.1,1.03,3804937.0,6691.70328,-1.0305
2025-12-23,6607.19,-0.24,3788607.0,6683.6544,-1.1506
2025-12-24,6686.67,1.2,4164109.0,6683.9416,0.0408
