trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1766.1,2.66,693016.0,1709.98388,3.229
2025-05-07,1801.61,2.01,841536.0,1718.71018,4.7107
2025-05-08,1794.92,-0.37,597834.0,1725.96826,3.9172
2025-05-09,1793.21,-0.1,541370.0,1732.37223,3.4516
2025-05-12,1817.48,1.35,607055.0,1740.47773,4.3291
2025-05-13,1814.61,-0.16,610155.0,1747.53795,3.7663
2025-05-14,1809.66,-0.27,520032.0,1753.45434,3.1551
2025-05-15,1782.39,-1.51,423947.0,1756.21011,1.4797
2025-05-16,1782.62,0.01,406464.0,1758.72534,1.3495
2025-05-19,1795.01,0.69,432245.0,1762.18102,1.8458
2025-05-20,1809.94,0.83,464404.0,1766.7295,2.4164
2025-05-21,1811.01,0.06,454803.0,1770.94669,2.237
2025-05-22,1782.62,-1.57,432781.0,1772.05843,0.5942
2025-05-23,1750.26,-1.81,486813.0,1769.98239,-1.1205
2025-05-26,1756.26,0.34,333515.0,1768.6755,-0.7044
2025-05-27,1740.2,-0.91,301162.0,1765.96354,-1.4696
2025-05-28,1751.88,0.67,341538.0,1764.62225,-0.7247
2025-05-29,1770.04,1.04,399029.0,1765.13823,0.2773
2025-05-30,1755.65,-0.81,455821.0,1764.23459,-0.4878
2025-06-03,1776.64,1.2,431426.0,1765.41606,0.6338
2025-06-04,1777.7,0.06,393569.0,1766.58596,0.6272
2025-06-05,1784.4,0.38,464850.0,1768.28253,0.9073
2025-06-06,1782.06,-0.13,335860.0,1769.59467,0.7019
2025-06-09,1805.32,1.31,497607.0,1772.99708,1.8066
2025-06-10,1772.21,-1.83,442603.0,1772.92212,-0.0402
2025-06-11,1798.54,1.49,393868.0,1775.36192,1.2971
2025-06-12,1797.38,-0.06,357802.0,1777.45888,1.1145
2025-06-13,1800.98,0.2,569401.0,1779.69899,1.1887
2025-06-16,1878.39,4.3,944705.0,1789.09813,4.8703
2025-06-17,1871.19,-0.38,686722.0,1796.9164,4.0503
2025-06-18,1900.37,1.56,607339.0,1806.76913,5.0508
2025-06-19,1858.56,-2.2,645338.0,1811.70159,2.5535
2025-06-20,1837.93,-1.11,450755.0,1814.19954,1.2996
2025-06-23,1865.62,1.51,553621.0,1819.09672,2.5253
2025-06-24,1887.29,1.16,530932.0,1825.59132,3.3238
2025-06-25,1903.36,0.85,655417.0,1832.99786,3.7668
2025-06-26,1909.09,0.3,783689.0,1840.24473,3.6728
2025-06-27,1924.56,0.81,629354.0,1848.27476,4.0445
2025-06-30,1956.24,1.65,673074.0,1858.55716,5.1224
2025-07-01,1964.44,0.42,703067.0,1868.64124,4.9996
2025-07-02,1952.08,-0.63,858232.0,1876.58779,3.944
2025-07-03,1957.1,0.26,658856.0,1884.25562,3.7931
