trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,14699.89,1.41,2353948.0,14635.71063,0.4376
2025-05-07,14912.73,1.45,2633548.0,14662.09343,1.695
2025-05-08,15205.43,1.96,2543776.0,14713.83977,3.2864
2025-05-09,15264.86,0.39,2238268.0,14766.31788,3.3205
2025-05-12,15730.49,3.05,3194961.0,14858.1438,5.7053
2025-05-13,15744.79,0.09,2699721.0,14942.58629,5.2294
2025-05-14,15868.77,0.79,2513489.0,15030.79427,5.4252
2025-05-15,15646.55,-1.4,1945118.0,15089.43767,3.6255
2025-05-16,15641.77,-0.03,1930677.0,15142.04075,3.247
2025-05-19,15666.69,0.16,1962740.0,15192.00734,3.0767
2025-05-20,15803.71,0.87,2557142.0,15250.26474,3.5648
2025-05-21,16276.86,2.99,4788354.0,15348.03572,5.8757
2025-05-22,15981.52,-1.81,3429776.0,15408.36755,3.6522
2025-05-23,15785.42,-1.23,2731736.0,15444.27731,2.1848
2025-05-26,15420.51,-2.31,2455949.0,15442.01376,-0.1394
2025-05-27,15395.23,-0.16,2463483.0,15437.55816,-0.2746
2025-05-28,15279.04,-0.75,2057330.0,15422.46119,-0.9343
2025-05-29,15299.49,0.13,2177745.0,15410.74965,-0.7246
2025-05-30,15110.06,-1.24,1989699.0,15382.11254,-1.7845
2025-06-03,15174.83,0.43,1936820.0,15362.37135,-1.2283
2025-06-04,15334.86,1.05,2644894.0,15359.75122,-0.1622
2025-06-05,15342.96,0.05,2180054.0,15358.15206,-0.099
2025-06-06,15268.7,-0.48,2538419.0,15349.63281,-0.5287
2025-06-09,15296.6,0.18,2956736.0,15344.58207,-0.3132
2025-06-10,15189.09,-0.7,3661605.0,15329.7733,-0.9219
2025-06-11,15443.27,1.67,3676419.0,15340.58251,0.6672
2025-06-12,15436.49,-0.04,2997763.0,15349.71656,0.5637
2025-06-13,15271.83,-1.07,3390248.0,15342.29879,-0.4604
2025-06-16,15239.51,-0.21,2162611.0,15332.50938,-0.6084
2025-06-17,15339.12,0.65,3148695.0,15333.13896,0.039
2025-06-18,15346.09,0.05,3123705.0,15334.3724,0.0764
2025-06-19,15207.24,-0.9,4052993.0,15322.26455,-0.7535
2025-06-20,15170.34,-0.24,3994542.0,15307.79554,-0.902
2025-06-23,15388.47,1.44,4660734.0,15315.47882,0.4755
2025-06-24,15974.42,3.81,7207011.0,15378.23513,3.8035
2025-06-25,16403.52,2.69,7664810.0,15475.88131,5.8213
2025-06-26,16306.05,-0.59,7823536.0,15554.94499,4.7158
2025-06-27,16209.47,-0.59,6626286.0,15617.28071,3.7218
2025-06-30,16307.5,0.6,5409314.0,15683.01588,3.9047
2025-07-01,16196.5,-0.68,5158891.0,15731.91913,2.9103
2025-07-02,16084.1,-0.69,3719088.0,15765.46016,2.001
2025-07-03,16605.33,3.24,5509800.0,15845.44777,4.6841
2025-07-04,16474.29,-0.79,4727300.0,15905.3375,3.5146
2025-07-07,16314.36,-0.97,3146241.0,15944.29203,2.2945
2025-07-08,16517.67,1.25,3875374.0,15998.89945,3.1911
2025-07-09,16676.7,0.96,4488140.0,16063.45189,3.7466
2025-07-10,16694.93,0.11,3571193.0,16123.59266,3.4821
2025-07-11,16700.29,0.03,3890895.0,16178.51621,3.1742
2025-07-14,16629.25,-0.43,3359505.0,16221.44324,2.4829
2025-07-15,16513.04,-0.7,3759816.0,16249.21436,1.6106
2025-07-16,16447.48,-0.4,3079633.0,16268.0968,1.0966
2025-07-17,16632.42,1.12,3585728.0,16302.79425,2.0017
2025-07-18,16869.99,1.43,4682691.0,16356.81289,3.0892
2025-07-21,17184.71,1.87,4401200.0,16435.66024,4.4567
2025-07-22,17507.03,1.88,5673970.0,16537.69545,5.696
2025-07-23,17380.17,-0.72,4159267.0,16617.93112,4.4848
2025-07-24,17553.81,1.0,4773811.0,16707.06245,4.9439
2025-07-25,17437.65,-0.66,3685522.0,16776.64221,3.8644
2025-07-28,17671.98,1.34,4787829.0,16861.91248,4.6923
2025-07-29,17861.11,1.07,4707468.0,16957.07415,5.1941
2025-07-30,17185.88,-3.78,5019704.0,16978.86518,1.2119
2025-07-31,16678.95,-2.95,4999176.0,16950.30183,-1.6138
2025-08-01,16619.72,-0.36,3586245.0,16918.81785,-1.7837
2025-08-04,16814.23,1.17,3418386.0,16908.8571,-0.5612
2025-08-05,16852.14,0.23,3703244.0,16903.45547,-0.304
2025-08-06,16946.05,0.56,3925328.0,16907.51209,0.2277
2025-08-07,16814.35,-0.78,3909069.0,16898.63951,-0.5
2025-08-08,16784.78,-0.18,3580454.0,16887.79575,-0.6119
2025-08-11,17137.04,2.1,5924996.0,16911.5333,1.3246
2025-08-12,17113.26,-0.14,4870849.0,16930.74536,1.0722
2025-08-13,17547.42,2.54,5965873.0,16989.47628,3.2313
2025-08-14,17588.53,0.23,6080329.0,17046.52902,3.13
2025-08-15,17901.36,1.78,5874725.0,17127.94149,4.4166
2025-08-18,18116.22,1.2,6804471.0,17222.06325,5.0616
2025-08-19,18046.15,-0.39,6577596.0,17300.54771,4.2194
2025-08-20,18134.94,0.49,5812725.0,17380.01364,4.252
2025-08-21,17925.49,-1.15,5305106.0,17431.96377,2.7918
2025-08-22,18353.48,2.39,5731024.0,17519.72722,4.6492
2025-08-25,18621.59,1.46,7104480.0,17624.66653,5.5022
2025-08-26,18572.89,-0.26,5726630.0,17714.97353,4.7293
2025-08-27,18172.07,-2.16,8061768.0,17758.50653,2.3021
2025-08-28,18216.91,0.25,7097202.0,17802.164,2.303
2025-08-29,19541.74,7.27,11033702.0,17967.8379,8.3969
2025-09-01,19690.48,0.76,9933319.0,18131.89906,8.2463
2025-09-02,19614.74,-0.38,10525702.0,18273.122,7.085
2025-09-03,19939.3,1.65,11039534.0,18431.80562,7.8615
2025-09-04,19819.43,-0.6,13795115.0,18563.96032,6.5441
