trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,3962.71,2.05,1988287.0,3935.69722,0.684
2025-05-07,3979.52,0.42,2118190.0,3939.87082,1.0013
2025-05-08,4030.36,1.28,1954978.0,3948.48883,2.0523
2025-05-09,3989.68,-1.01,1824439.0,3952.4118,0.9385
2025-05-12,4039.62,1.25,1940680.0,3960.71735,1.9725
2025-05-13,4047.48,0.19,1987651.0,3968.98046,1.9585
2025-05-14,4027.88,-0.48,1728779.0,3974.58994,1.3319
2025-05-15,3982.75,-1.12,1469242.0,3975.36708,0.1855
2025-05-16,3995.02,0.31,1496198.0,3977.23879,0.4461
2025-05-19,4026.91,0.8,1974165.0,3981.96938,1.1223
2025-05-20,4052.43,0.63,1958054.0,3988.67992,1.5856
2025-05-21,4029.63,-0.56,2170381.0,3992.57993,0.9237
2025-05-22,4020.07,-0.24,2164078.0,3995.19803,0.6206
2025-05-23,3967.21,-1.31,2162519.0,3992.5325,-0.6363
2025-05-26,3989.95,0.57,2323394.0,3992.28655,-0.0585
2025-05-27,3987.65,-0.06,2444628.0,3991.84497,-0.1051
2025-05-28,3983.09,-0.11,3054901.0,3991.01117,-0.1987
2025-05-29,4029.41,1.16,3027550.0,3994.6682,0.8659
2025-05-30,3962.26,-1.67,2760360.0,3991.5817,-0.7373
2025-06-03,3956.54,-0.14,2394121.0,3988.2444,-0.7981
2025-06-04,3978.3,0.55,2502847.0,3987.29731,-0.2259
2025-06-05,4025.36,1.18,2838397.0,3990.92233,0.8592
2025-06-06,4033.69,0.21,2829491.0,3994.99544,0.9639
2025-06-09,4061.13,0.68,2817724.0,4001.29397,1.4843
2025-06-10,4050.16,-0.27,3382750.0,4005.94788,1.0976
2025-06-11,4046.93,-0.08,2573881.0,4009.85094,0.9205
2025-06-12,4039.14,-0.19,2123739.0,4012.64037,0.6582
2025-06-13,3992.19,-1.16,2248106.0,4010.69272,-0.4624
2025-06-16,4020.69,0.71,1856373.0,4011.64484,0.2252
2025-06-17,4014.66,-0.15,1829978.0,4011.932,0.068
2025-06-18,4023.63,0.22,1697358.0,4013.04609,0.2634
2025-06-19,3941.11,-2.05,2132671.0,4006.19504,-1.638
2025-06-20,3925.6,-0.39,1549303.0,3998.51932,-1.8405
2025-06-23,3947.38,0.55,1467725.0,3993.64891,-1.1653
2025-06-24,4019.24,1.82,2033846.0,3996.08615,0.5777
2025-06-25,4043.3,0.6,1963260.0,4000.58271,1.0621
2025-06-26,4018.82,-0.61,1892483.0,4002.3196,0.4114
2025-06-27,4043.0,0.6,2069055.0,4006.19392,0.9145
2025-06-30,4084.64,1.03,2265712.0,4013.66498,1.7529
2025-07-01,4085.35,0.02,2229725.0,4020.49212,1.6003
2025-07-02,4107.31,0.54,2457301.0,4028.76049,1.931
2025-07-03,4099.14,-0.2,2133036.0,4035.4633,1.5656
2025-07-04,4076.26,-0.56,1959903.0,4039.3487,0.9096
2025-07-07,4146.11,1.71,2650332.0,4049.51644,2.3573
2025-07-08,4173.56,0.66,2875207.0,4061.33012,2.7259
2025-07-09,4164.7,-0.21,2941404.0,4071.17487,2.2713
2025-07-10,4135.93,-0.69,2481934.0,4077.34202,1.4267
2025-07-11,4124.92,-0.27,2394341.0,4081.87326,1.0491
2025-07-14,4194.61,1.69,2913280.0,4092.61009,2.4617
2025-07-15,4180.99,-0.32,2767492.0,4101.02722,1.9311
2025-07-16,4165.28,-0.38,2042531.0,4107.14654,1.4055
2025-07-17,4181.43,0.39,2064379.0,4114.22115,1.6204
2025-07-18,4163.11,-0.44,2199300.0,4118.87723,1.0682
2025-07-21,4317.95,3.72,4675389.0,4137.83654,4.2608
2025-07-22,4417.44,2.3,5326191.0,4164.46544,5.8972
2025-07-23,4314.43,-2.33,4934530.0,4178.74778,3.1954
2025-07-24,4324.43,0.23,3179743.0,4192.62228,3.0954
2025-07-25,4289.06,-0.82,2576299.0,4201.80682,2.0553
2025-07-28,4287.83,-0.03,2224142.0,4209.99951,1.8318
