trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1439.46,1.86,3468574.0,1428.39145,0.7719
2025-05-07,1492.79,3.7,7926589.0,1434.52464,3.9813
2025-05-08,1531.12,2.57,7890755.0,1443.7242,5.8773
2025-05-09,1502.54,-1.87,8083280.0,1449.3257,3.6059
2025-05-12,1574.72,4.8,11432044.0,1461.26802,7.4773
2025-05-13,1526.43,-3.07,9072033.0,1467.47392,3.9389
2025-05-14,1515.15,-0.74,6078038.0,1472.0145,2.8883
2025-05-15,1487.9,-1.8,5496720.0,1473.5274,0.9707
2025-05-16,1484.75,-0.21,4487001.0,1474.59622,0.6862
2025-05-19,1500.36,1.05,4873958.0,1477.04992,1.5658
2025-05-20,1492.82,-0.5,4938063.0,1478.55183,0.9604
2025-05-21,1490.79,-0.14,4225484.0,1479.71737,0.7455
2025-05-22,1487.21,-0.24,5144727.0,1480.43095,0.4569
2025-05-23,1471.28,-1.07,4422090.0,1479.55943,-0.5612
2025-05-26,1486.39,1.03,3653088.0,1480.20996,0.4166
2025-05-27,1482.58,-0.26,3806148.0,1480.43568,0.1447
2025-05-28,1471.88,-0.72,3667376.0,1479.62085,-0.5245
2025-05-29,1500.15,1.92,4293699.0,1481.57601,1.2459
2025-05-30,1502.68,0.17,5012093.0,1483.58592,1.2788
2025-06-03,1509.9,0.48,5961564.0,1486.09202,1.5894
2025-06-04,1506.25,-0.24,4696226.0,1488.01183,1.2182
2025-06-05,1511.25,0.33,4667325.0,1490.22499,1.401
2025-06-06,1508.79,-0.16,4606385.0,1491.99308,1.1195
2025-06-09,1531.75,1.52,5415697.0,1495.77946,2.3763
2025-06-10,1501.63,-1.97,5049718.0,1496.33665,0.3531
2025-06-11,1506.63,0.33,3153825.0,1497.31697,0.6201
2025-06-12,1498.63,-0.53,3283273.0,1497.44202,0.0793
2025-06-13,1524.38,1.72,7541370.0,1500.00754,1.6118
2025-06-16,1524.67,0.02,5371561.0,1502.35635,1.4743
2025-06-17,1525.27,0.04,4880697.0,1504.5386,1.3685
2025-06-18,1539.76,0.95,6238653.0,1507.89302,2.0913
2025-06-19,1513.42,-1.71,5859380.0,1508.4194,0.331
2025-06-20,1493.76,-1.3,4389139.0,1507.02326,-0.884
2025-06-23,1523.2,1.97,4946612.0,1508.56391,0.9655
2025-06-24,1525.25,0.13,5917121.0,1510.15306,0.9947
2025-06-25,1576.56,3.36,8423309.0,1516.47753,3.8855
2025-06-26,1585.26,0.55,9784452.0,1523.02824,4.0048
2025-06-27,1596.82,0.73,8320179.0,1530.05603,4.271
2025-06-30,1666.32,4.35,10484190.0,1543.03355,7.6867
2025-07-01,1662.32,-0.24,10459647.0,1554.39416,6.7128
2025-07-02,1630.1,-1.94,8640386.0,1561.60424,4.2928
2025-07-03,1633.43,0.2,7115642.0,1568.44479,4.0598
2025-07-04,1618.51,-0.91,6288937.0,1573.21291,2.8386
2025-07-07,1619.97,0.09,5234620.0,1577.66596,2.6461
2025-07-08,1630.39,0.64,5125300.0,1582.6873,2.9695
2025-07-09,1618.48,-0.73,6052776.0,1586.09613,2.0212
2025-07-10,1611.82,-0.41,4907480.0,1588.54602,1.4545
2025-07-11,1632.72,1.3,5983183.0,1592.75307,2.4783
