trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,4675.65,3.65,14983357.0,4502.94206,3.7637
2025-05-07,4656.16,-0.42,16026512.0,4517.53425,3.0225
2025-05-08,4689.3,0.71,12598666.0,4533.89289,3.3702
2025-05-09,4597.56,-1.96,11906404.0,4539.95642,1.2608
2025-05-12,4678.3,1.76,11271850.0,4553.132,2.7119
2025-05-13,4640.66,-0.8,11273551.0,4561.468,1.7212
2025-05-14,4680.77,0.86,12497814.0,4572.8301,2.333
2025-05-15,4541.84,-2.97,10430489.0,4569.87866,-0.6154
2025-05-16,4539.44,-0.05,7876353.0,4566.97974,-0.6048
2025-05-19,4548.23,0.19,8027418.0,4565.19405,-0.3723
2025-05-20,4557.35,0.2,8244063.0,4564.447,-0.1556
2025-05-21,4530.66,-0.59,7853538.0,4561.22919,-0.6725
2025-05-22,4490.72,-0.88,7345319.0,4554.51403,-1.4106
2025-05-23,4402.26,-1.97,8772425.0,4540.01364,-3.0812
2025-05-26,4463.45,1.39,7425472.0,4532.72187,-1.5401
2025-05-27,4427.49,-0.81,7326671.0,4522.69979,-2.1276
2025-05-28,4397.86,-0.67,7387485.0,4510.81028,-2.5359
2025-05-29,4557.07,3.62,12189541.0,4515.21597,0.9227
2025-05-30,4480.16,-1.69,10984792.0,4511.87731,-0.7055
2025-06-03,4494.29,0.32,9916135.0,4510.20232,-0.3534
2025-06-04,4529.19,0.78,9476870.0,4512.01067,0.38
2025-06-05,4625.35,2.12,13702178.0,4522.8049,2.242
2025-06-06,4605.38,-0.43,11584637.0,4530.66919,1.6356
2025-06-09,4645.13,0.86,11465987.0,4541.57022,2.2547
2025-06-10,4558.47,-1.87,12216056.0,4543.17972,0.336
2025-06-11,4575.87,0.38,10911123.0,4546.29308,0.6485
2025-06-12,4575.83,0.0,10679036.0,4549.10612,0.5857
2025-06-13,4489.3,-1.89,12377484.0,4543.4103,-1.1981
2025-06-16,4578.5,1.99,12177040.0,4546.75218,0.6958
2025-06-17,4575.18,-0.07,12712941.0,4549.45959,0.5638
2025-06-18,4566.2,-0.2,11490044.0,4551.05391,0.3323
2025-06-19,4487.61,-1.72,11839432.0,4545.01164,-1.271
2025-06-20,4407.3,-1.79,9769469.0,4531.89624,-2.7878
2025-06-23,4506.51,2.25,11165926.0,4529.47851,-0.5084
2025-06-24,4615.29,2.41,14510783.0,4537.65103,1.6965
2025-06-25,4753.06,2.99,19488059.0,4558.16617,4.1868
2025-06-26,4763.82,0.23,21075218.0,4577.75225,3.9842
2025-06-27,4746.88,-0.36,17999938.0,4593.85965,3.2767
2025-06-30,4798.64,1.09,15138676.0,4613.36254,3.9376
2025-07-01,4741.92,-1.18,13842621.0,4625.60611,2.4835
2025-07-02,4664.15,-1.64,11204863.0,4629.27696,0.7505
2025-07-03,4688.53,0.52,10018460.0,4634.9201,1.15
2025-07-04,4686.2,-0.05,14354872.0,4639.8039,0.995
2025-07-07,4691.12,0.1,12058079.0,4644.69115,0.9946
2025-07-08,4772.16,1.73,14296243.0,4656.83104,2.4464
2025-07-09,4757.88,-0.3,13547657.0,4666.45475,1.9403
2025-07-10,4745.16,-0.27,14403397.0,4673.95049,1.5121
2025-07-11,4836.94,1.93,19451413.0,4689.4733,3.0962
2025-07-14,4794.4,-0.88,14439860.0,4699.46632,2.0
2025-07-15,4862.39,1.42,18015195.0,4714.98286,3.0785
2025-07-16,4857.63,-0.1,15499127.0,4728.5683,2.6928
2025-07-17,4922.23,1.33,17207334.0,4747.01227,3.6246
2025-07-18,4939.7,0.35,17553889.0,4765.36349,3.5931
2025-07-21,4924.37,-0.31,14448446.0,4780.50696,2.965
2025-07-22,4888.49,-0.73,14207550.0,4790.79106,2.0188
2025-07-23,4893.79,0.11,14839100.0,4800.60048,1.9226
2025-07-24,4961.46,1.38,13698313.0,4815.92044,2.9773
2025-07-25,5024.09,1.26,17047380.0,4835.74611,3.8209
2025-07-28,5016.83,-0.14,15998105.0,4852.9922,3.3203
2025-07-29,5044.94,0.56,15307793.0,4871.27294,3.503
2025-07-30,4964.56,-1.59,14563027.0,4880.15742,1.7147
2025-07-31,4983.8,0.39,18182422.0,4890.02814,1.8995
2025-08-01,5013.9,0.6,16823414.0,4901.82546,2.2606
2025-08-04,5044.89,0.62,13476796.0,4915.45066,2.5992
2025-08-05,5057.5,0.25,13807399.0,4928.97917,2.574
2025-08-06,5123.24,1.3,16089803.0,4947.4802,3.4909
2025-08-07,5114.88,-0.16,16362220.0,4963.42304,3.0058
2025-08-08,4993.28,-2.38,16290713.0,4966.26656,0.5425
