trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,674.59,2.82,4076472.0,650.3731,3.6559
2025-05-07,670.82,-0.56,3670901.0,652.32042,2.7965
2025-05-08,677.54,1.0,3879972.0,654.72229,3.4257
2025-05-09,665.24,-1.82,3061781.0,655.72397,1.4408
2025-05-12,670.81,0.84,2606430.0,657.16074,2.0557
2025-05-13,667.83,-0.44,3057314.0,658.17686,1.456
2025-05-14,671.72,0.58,2779264.0,659.46668,1.841
2025-05-15,658.75,-1.93,2568484.0,659.39843,-0.0984
2025-05-16,660.14,0.21,2129529.0,659.46905,0.1017
2025-05-19,663.07,0.44,2349797.0,659.812,0.4926
2025-05-20,676.19,1.98,3519323.0,661.37181,2.2158
2025-05-21,670.29,-0.87,2691514.0,662.22116,1.2111
2025-05-22,671.09,0.12,3422776.0,663.06581,1.2029
2025-05-23,659.1,-1.79,3260757.0,662.68812,-0.5429
2025-05-26,673.18,2.14,3351124.0,663.68734,1.4202
2025-05-27,669.58,-0.54,2738575.0,664.24855,0.7994
2025-05-28,668.47,-0.17,2696156.0,664.65059,0.573
2025-05-29,679.46,1.64,3276251.0,666.06101,1.9917
2025-05-30,670.54,-1.31,3311098.0,666.48758,0.6062
2025-06-03,679.7,1.37,4163173.0,667.74591,1.7744
2025-06-04,685.04,0.79,3434037.0,669.39296,2.3106
2025-06-05,693.77,1.27,4142274.0,671.71459,3.2307
2025-06-06,687.88,-0.85,3296128.0,673.25415,2.1492
2025-06-09,695.09,1.05,4101767.0,675.33375,2.8834
2025-06-10,696.15,0.15,5055624.0,677.31625,2.7427
2025-06-11,707.26,1.6,5296463.0,680.16804,3.9058
2025-06-12,716.66,1.33,6400447.0,683.64346,4.7165
2025-06-13,698.55,-2.53,5840873.0,685.06313,1.9496
2025-06-16,717.41,2.7,5765627.0,688.14379,4.165
2025-06-17,708.64,-1.22,5160490.0,690.09581,2.6517
2025-06-18,702.63,-0.85,3604248.0,691.28954,1.6272
2025-06-19,699.23,-0.48,4593677.0,692.04577,1.0328
2025-06-20,685.88,-1.91,3943149.0,691.45856,-0.8101
2025-06-23,689.53,0.53,3284814.0,691.27489,-0.2527
2025-06-24,703.11,1.97,4187397.0,692.40204,1.5347
2025-06-25,708.86,0.82,4152954.0,693.96946,2.123
2025-06-26,707.3,-0.22,4444694.0,695.23904,1.7199
2025-06-27,706.9,-0.06,3654075.0,696.34961,1.5037
2025-06-30,726.87,2.82,4987079.0,699.25631,3.873
2025-07-01,724.13,-0.38,4061070.0,701.62523,3.1572
2025-07-02,718.87,-0.73,3356921.0,703.26759,2.1943
2025-07-03,719.45,0.08,2887488.0,704.80877,2.0561
2025-07-04,726.02,0.91,4124070.0,706.82889,2.6789
2025-07-07,731.45,0.75,3875528.0,709.17376,3.0928
2025-07-08,744.11,1.73,4255906.0,712.50102,4.3408
2025-07-09,754.13,1.35,5267468.0,716.46568,5.1234
2025-07-10,750.07,-0.54,4530454.0,719.6661,4.1379
2025-07-11,748.63,-0.19,4818442.0,722.42456,3.5632
2025-07-14,739.36,-1.24,4448593.0,724.03746,2.0942
2025-07-15,739.67,0.04,4598240.0,725.52627,1.9307
2025-07-16,737.97,-0.23,4971533.0,726.71139,1.5374
2025-07-17,739.13,0.16,4273791.0,727.89412,1.5318
2025-07-18,731.89,-0.98,4503343.0,728.27468,0.4952
2025-07-21,737.67,0.79,3808964.0,729.16947,1.159
2025-07-22,736.33,-0.18,3654132.0,729.85142,0.8837
2025-07-23,736.28,-0.01,3422788.0,730.46367,0.7931
2025-07-24,745.15,1.2,3440730.0,731.86237,1.7993
2025-07-25,747.66,0.34,4790355.0,733.3669,1.9302
2025-07-28,747.18,-0.06,4547817.0,734.68244,1.6868
2025-07-29,750.4,0.43,4712551.0,736.17935,1.9133
2025-07-30,757.87,0.99,6174235.0,738.24512,2.6236
2025-07-31,749.96,-1.04,6380682.0,739.36083,1.4234
2025-08-01,756.08,0.82,5914473.0,740.95313,2.021
2025-08-04,765.74,1.28,5536791.0,743.31378,2.9724
