trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2437.22,3.5,1350511.0,2312.25026,5.2637
2025-05-07,2410.77,-1.09,1164276.0,2321.63309,3.7675
2025-05-08,2435.17,1.01,1003431.0,2332.44613,4.3099
2025-05-09,2397.75,-1.54,867348.0,2338.66555,2.495
2025-05-12,2421.38,0.99,802266.0,2346.54311,3.1394
2025-05-13,2401.83,-0.81,944549.0,2351.80853,2.1046
2025-05-14,2414.94,0.55,882361.0,2357.82105,2.3937
2025-05-15,2355.27,-2.47,847118.0,2357.57809,-0.0979
2025-05-16,2368.38,0.56,718480.0,2358.60685,0.4135
2025-05-19,2376.25,0.33,710427.0,2360.28715,0.674
2025-05-20,2431.76,2.34,1110114.0,2367.09409,2.6952
2025-05-21,2417.77,-0.58,768827.0,2371.92036,1.9146
2025-05-22,2454.38,1.51,1554718.0,2379.77366,3.0869
2025-05-23,2407.07,-1.93,1376747.0,2382.37331,1.0313
2025-05-26,2475.82,2.86,1498117.0,2391.273,3.4746
2025-05-27,2464.53,-0.46,1117325.0,2398.24985,2.7262
2025-05-28,2465.62,0.04,1078555.0,2404.66606,2.5032
2025-05-29,2502.15,1.48,1123101.0,2413.95024,3.5886
2025-05-30,2474.42,-1.11,1337651.0,2419.70927,2.2359
2025-06-03,2536.31,2.5,1948274.0,2430.8141,4.2484
2025-06-04,2565.76,1.16,1521356.0,2443.66609,4.8755
2025-06-05,2604.46,1.51,1667236.0,2458.9798,5.7479
2025-06-06,2576.33,-1.08,1308817.0,2470.15601,4.2085
2025-06-09,2571.76,-0.18,1258982.0,2479.83258,3.6399
2025-06-10,2575.33,0.14,1667105.0,2488.92757,3.4126
2025-06-11,2648.17,2.83,2044174.0,2504.09352,5.5942
2025-06-12,2680.94,1.24,2327061.0,2520.93604,6.1537
2025-06-13,2642.46,-1.44,2027848.0,2532.50975,4.2499
2025-06-16,2726.86,3.19,2139294.0,2551.0193,6.6658
2025-06-17,2706.23,-0.76,1816070.0,2565.80127,5.3286
2025-06-18,2705.53,-0.03,1334709.0,2579.10877,4.7854
2025-06-19,2693.99,-0.43,1815232.0,2590.04984,3.9346
2025-06-20,2660.5,-1.24,1434497.0,2596.75938,2.425
2025-06-23,2661.31,0.03,1252428.0,2602.90705,2.219
2025-06-24,2721.37,2.26,1864944.0,2614.18924,4.0181
2025-06-25,2736.26,0.55,1632946.0,2625.81503,4.1201
2025-06-26,2716.85,-0.71,1465878.0,2634.48502,3.0785
2025-06-27,2714.22,-0.1,1234572.0,2642.07883,2.6939
2025-06-30,2865.04,5.56,2466296.0,2663.31323,7.3011
2025-07-01,2876.96,0.42,1869723.0,2683.66054,6.9552
2025-07-02,2862.98,-0.49,1598702.0,2700.73858,5.8338
2025-07-03,2860.86,-0.07,1289165.0,2715.98824,5.1966
2025-07-04,2941.1,2.8,2162064.0,2737.42746,7.1765
2025-07-07,2924.06,-0.58,1639547.0,2755.20199,5.9482
2025-07-08,3015.89,3.14,2119439.0,2780.02942,8.1433
2025-07-09,3062.59,1.55,1894288.0,2806.93995,8.7166
2025-07-10,3017.03,-1.49,1729159.0,2826.94852,6.5075
2025-07-11,2980.38,-1.21,1843358.0,2841.56105,4.7697
2025-07-14,2940.51,-1.34,2002187.0,2850.98476,3.0919
2025-07-15,2977.46,1.26,1925196.0,2863.03002,3.919
2025-07-16,2939.74,-1.27,1994373.0,2870.33573,2.3892
2025-07-17,2928.67,-0.38,1725744.0,2875.89137,1.8186
2025-07-18,2860.42,-2.33,1669538.0,2874.41791,-0.4882
2025-07-21,2914.24,1.88,1417644.0,2878.21049,1.244
2025-07-22,2908.65,-0.19,1384910.0,2881.10949,0.9514
2025-07-23,2937.82,1.0,1269229.0,2886.51049,1.7619
2025-07-24,2954.87,0.58,1181861.0,2893.02092,2.1153
2025-07-25,2944.96,-0.34,1381932.0,2897.9675,1.6086
2025-07-28,2934.21,-0.37,1374074.0,2901.41917,1.1238
2025-07-29,2970.91,1.25,1511652.0,2908.03734,2.139
2025-07-30,3007.18,1.22,2030925.0,2917.4795,3.0283
2025-07-31,2958.73,-1.61,1782690.0,2921.40812,1.2694
2025-08-01,2969.97,0.38,1600983.0,2926.03306,1.4904
2025-08-04,3060.87,3.06,1956154.0,2938.87467,4.0672
2025-08-05,3125.85,2.12,1956264.0,2956.68185,5.5639
2025-08-06,3169.72,1.4,2274449.0,2976.97119,6.2737
2025-08-07,3181.18,0.36,1768852.0,2996.41965,5.9834
2025-08-08,3146.96,-1.08,1936447.0,3010.75683,4.4245
2025-08-11,3148.56,0.05,1695486.0,3023.88094,4.0404
2025-08-12,3158.49,0.32,2071049.0,3036.70085,3.9322
2025-08-13,3197.53,1.24,1929046.0,3052.01791,4.6576
