trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2844.52,3.59,6399817.0,2763.31334,2.8964
2025-05-07,2847.08,0.09,6275091.0,2771.29112,2.6981
2025-05-08,2921.09,2.6,7625622.0,2785.55768,4.7509
2025-05-09,2882.14,-1.33,5969974.0,2794.756,3.0788
2025-05-12,2930.64,1.68,5858672.0,2807.69733,4.2856
2025-05-13,2912.73,-0.61,5911502.0,2817.70044,3.317
2025-05-14,2934.81,0.76,6255578.0,2828.85373,3.6771
2025-05-15,2862.88,-2.45,5113888.0,2832.09433,1.0812
2025-05-16,2878.72,0.55,4775596.0,2836.53487,1.4763
2025-05-19,2872.17,-0.23,4095088.0,2839.92869,1.1289
2025-05-20,2893.44,0.74,4307677.0,2845.02501,1.6874
2025-05-21,2875.66,-0.61,4423077.0,2847.94263,0.9685
2025-05-22,2853.96,-0.75,3829804.0,2848.51571,0.1909
2025-05-23,2812.28,-1.46,4058682.0,2845.06469,-1.159
2025-05-26,2843.26,1.1,3648018.0,2844.89281,-0.0574
2025-05-27,2819.82,-0.82,3857491.0,2842.50493,-0.8013
2025-05-28,2837.2,0.62,4273776.0,2841.9997,-0.169
2025-05-29,2888.49,1.81,5236574.0,2846.42734,1.4669
2025-05-30,2855.2,-1.15,4208674.0,2847.26283,0.2784
2025-06-03,2849.07,-0.21,3716439.0,2847.43495,0.0574
2025-06-04,2900.07,1.79,5364544.0,2852.44781,1.6557
2025-06-05,2976.01,2.62,6851671.0,2864.21564,3.8289
2025-06-06,3005.81,1.0,6683007.0,2877.70081,4.3555
2025-06-09,3038.74,1.1,7210576.0,2893.03788,4.9136
2025-06-10,2995.28,-1.43,6791699.0,2902.77522,3.137
2025-06-11,2986.94,-0.28,5075351.0,2910.79092,2.5825
2025-06-12,3016.19,0.98,7297719.0,2920.82892,3.2127
2025-06-13,2982.26,-1.12,6113115.0,2926.6795,1.8813
2025-06-16,3045.05,2.11,6288278.0,2937.95288,3.5804
2025-06-17,3041.69,-0.11,5359226.0,2947.83261,3.1343
2025-06-18,3083.83,1.39,6728053.0,2960.78474,4.0718
2025-06-19,3058.38,-0.83,7037744.0,2970.07953,2.9297
2025-06-20,3029.51,-0.94,5905013.0,2975.73957,1.7908
2025-06-23,3035.27,0.19,5822170.0,2981.40914,1.7904
2025-06-24,3083.19,1.58,6808361.0,2991.10255,3.0323
2025-06-25,3116.83,1.09,7439013.0,3003.0766,3.7179
2025-06-26,3140.91,0.77,7772481.0,3016.20359,4.0514
2025-06-27,3197.01,1.79,8742295.0,3033.42324,5.2524
2025-06-30,3257.61,1.9,8710044.0,3054.77436,6.4288
2025-07-01,3242.87,-0.45,6559899.0,3072.68823,5.3906
2025-07-02,3179.22,-1.96,6014196.0,3082.83412,3.0787
2025-07-03,3221.22,1.32,6001572.0,3096.01372,3.9645
2025-07-04,3193.83,-0.85,6904339.0,3105.32956,2.8101
2025-07-07,3169.08,-0.77,5801506.0,3111.40103,1.8368
2025-07-08,3260.75,2.89,7495424.0,3125.62474,4.2323
2025-07-09,3266.31,0.17,7103385.0,3139.02334,3.9749
2025-07-10,3263.85,-0.08,7143417.0,3150.91159,3.5216
2025-07-11,3261.76,-0.06,7064327.0,3161.46858,3.123
2025-07-14,3273.03,0.35,6302883.0,3172.09348,3.1324
2025-07-15,3424.0,4.61,10509017.0,3196.08458,6.8883
2025-07-16,3436.7,0.37,10706070.0,3219.00033,6.5441
2025-07-17,3519.38,2.41,9509117.0,3247.60792,8.0366
2025-07-18,3508.36,-0.31,8817633.0,3272.44145,6.9612
2025-07-21,3512.91,0.13,7675632.0,3295.34322,6.3934
2025-07-22,3497.68,-0.43,8505980.0,3314.61339,5.3759
2025-07-23,3490.39,-0.21,7283015.0,3331.35402,4.6635
2025-07-24,3485.14,-0.15,7432802.0,3346.0003,4.0743
2025-07-25,3481.35,-0.11,6310734.0,3358.89075,3.5809
2025-07-28,3524.49,1.24,8039427.0,3374.66211,4.3441
2025-07-29,3640.36,3.29,9956639.0,3399.96667,6.8317
2025-07-30,3605.62,-0.95,8148645.0,3419.5527,5.2984
2025-07-31,3607.94,0.06,11336651.0,3437.49435,4.8394
2025-08-01,3569.79,-1.06,8448032.0,3450.09393,3.4105
2025-08-04,3576.67,0.19,6263223.0,3462.1488,3.2543
2025-08-05,3621.39,1.25,8830056.0,3477.31463,4.0598
2025-08-06,3639.19,0.49,7730576.0,3492.73133,4.1077
2025-08-07,3621.97,-0.47,8621038.0,3505.03977,3.2816
2025-08-08,3616.14,-0.16,8222407.0,3515.62075,2.8191
2025-08-11,3686.5,1.95,8754309.0,3531.89496,4.2843
2025-08-12,3769.14,2.24,9730715.0,3554.48973,5.8635
2025-08-13,3954.16,4.91,12803596.0,3592.55356,9.5905
2025-08-14,3870.37,-2.12,11427186.0,3619.01227,6.7149
2025-08-15,3893.0,0.58,10757654.0,3645.10634,6.5795
2025-08-18,4066.73,4.46,15323570.0,3685.26097,9.8498
2025-08-19,4142.67,1.87,14045331.0,3728.82374,10.5248
2025-08-20,4166.8,0.58,13115301.0,3770.53576,9.9931
2025-08-21,4158.24,-0.21,14140723.0,3807.45998,8.813
2025-08-22,4315.08,3.77,14546357.0,3855.80474,11.2536
2025-08-25,4524.47,4.85,18381719.0,3919.48715,14.354
2025-08-26,4488.52,-0.79,14923866.0,3973.68075,12.183
2025-08-27,4562.92,1.66,19446492.0,4029.79878,12.4246
2025-08-28,4888.7,7.14,20679761.0,4111.59889,17.3114
2025-08-29,4849.39,-0.8,17673605.0,4181.86471,14.8096
2025-09-01,5102.61,5.22,19485455.0,4269.55474,17.8243
2025-09-02,4810.46,-5.73,21759878.0,4321.06953,10.729
2025-09-03,4887.73,1.61,16155818.0,4375.03719,11.0813
2025-09-04,4473.41,-8.48,19147231.0,4384.40603,2.0097
2025-09-05,4719.2,5.49,15329416.0,4416.29117,6.6339
2025-09-08,4555.63,-3.47,14256961.0,4429.56153,2.8063
2025-09-09,4468.74,-1.91,10680886.0,4433.29282,0.7964
2025-09-10,4624.79,3.49,14230993.0,4451.53064,3.8183
2025-09-11,4966.69,7.39,18193836.0,4500.59344,9.8544
2025-09-12,4860.93,-2.13,15538548.0,4534.91121,6.9424
2025-09-15,4787.07,-1.52,11987671.0,4558.92633,4.8831
2025-09-16,4822.5,0.74,12938054.0,4584.02858,5.0714
2025-09-17,4845.39,0.47,12417412.0,4608.92015,5.0034
2025-09-18,4854.7,0.19,18357730.0,4632.32775,4.6888
2025-09-19,4886.17,0.65,14416267.0,4656.5032,4.8144
2025-09-22,4904.21,0.37,13440723.0,4680.09433,4.6776
2025-09-23,4903.24,-0.02,15860222.0,4701.3463,4.2047
2025-09-24,4902.6,-0.01,12925982.0,4720.51332,3.7848
2025-09-25,5000.18,1.99,14961029.0,4747.14824,5.193
2025-09-26,4872.45,-2.55,12328857.0,4759.08174,2.3542
2025-09-29,4932.72,1.24,11144574.0,4775.61872,3.2367
2025-09-30,4842.3,-1.83,11383011.0,4781.96932,1.2537
2025-10-09,4865.35,0.48,13838212.0,4789.91033,1.5627
2025-10-10,4764.65,-2.07,13345179.0,4787.50459,-0.4785
2025-10-13,4745.07,-0.41,11444595.0,4783.4632,-0.8059
2025-10-14,4508.6,-4.98,12988549.0,4757.28575,-5.3691
2025-10-15,4572.53,1.42,9092096.0,4739.68996,-3.5905
2025-10-16,4606.41,0.74,9135307.0,4726.99663,-2.5841
2025-10-17,4482.48,-2.69,10198214.0,4703.70934,-4.8175
2025-10-20,4626.47,3.21,10816605.0,4696.35321,-1.4992
2025-10-21,4853.37,4.9,12596533.0,4711.30719,2.9708
2025-10-22,4847.32,-0.12,10299720.0,4724.26079,2.5715
2025-10-23,4774.09,-1.51,8551783.0,4729.00643,0.9488
2025-10-24,5000.01,4.73,11935999.0,4754.81629,5.0282
2025-10-27,5160.94,3.22,13894836.0,4793.49474,7.3859
2025-10-28,5165.3,0.08,12887409.0,4828.90477,6.7343
2025-10-29,5171.16,0.11,13822933.0,4861.5005,6.175
2025-10-30,5025.05,-2.83,14634672.0,4877.07665,2.9889
2025-10-31,4820.57,-4.07,12216447.0,4871.69506,-1.055
2025-11-03,4846.18,0.53,9562407.0,4869.26505,-0.4752
2025-11-04,4796.99,-1.02,8857608.0,4862.38172,-1.354
2025-11-05,4776.23,-0.43,7503499.0,4854.17679,-1.6188
2025-11-06,4889.38,2.37,9604582.0,4857.52948,0.6536
2025-11-07,4864.72,-0.5,8436862.0,4858.21429,0.1338
2025-11-10,4840.29,-0.5,9788243.0,4856.50721,-0.3345
2025-11-11,4733.8,-2.2,9378489.0,4844.82081,-2.3182
2025-11-12,4759.45,0.54,9152563.0,4836.69026,-1.6099
2025-11-13,4749.48,-0.21,7891167.0,4828.38452,-1.6477
2025-11-14,4632.74,-2.46,7861523.0,4809.75171,-3.7497
2025-11-17,4683.61,1.1,7977102.0,4797.73821,-2.4075
2025-11-18,4683.58,0.0,8273022.0,4786.866,-2.1813
2025-11-19,4706.05,0.48,8720346.0,4779.16924,-1.5418
2025-11-20,4729.88,0.51,9390340.0,4774.47503,-0.9384
2025-11-21,4516.55,-4.51,9837385.0,4749.91074,-5.0377
2025-11-24,4540.04,0.52,10228579.0,4729.92305,-4.0973
2025-11-25,4700.72,3.54,12066687.0,4727.14181,-0.5605
2025-11-26,4918.73,4.64,15557939.0,4745.3883,3.5877
2025-11-27,4903.57,-0.31,14706349.0,4760.45322,2.9621
2025-11-28,4909.52,0.12,10964424.0,4774.65006,2.7855
2025-12-01,5047.48,2.81,13200125.0,4800.63386,5.0141
2025-12-02,5061.1,0.27,12411060.0,4825.44016,4.7682
2025-12-03,5003.73,-1.13,13995903.0,4842.42015,3.2769
2025-12-04,5028.55,0.5,10550157.0,4860.1468,3.4063
2025-12-05,5090.56,1.23,12749586.0,4882.09091,4.1814
2025-12-08,5334.59,4.79,16840721.0,4925.18607,7.985
2025-12-09,5453.49,2.23,16318105.0,4975.50073,9.173
2025-12-10,5519.43,1.21,14493152.0,5027.30351,9.3391
2025-12-11,5346.14,-3.14,16787371.0,5057.66889,5.5469
2025-12-12,5409.72,1.19,18203826.0,5091.19757,6.0684
2025-12-15,5307.43,-1.89,13049488.0,5111.79113,3.7558
2025-12-16,5150.78,-2.95,11792807.0,5115.50436,0.6872
2025-12-17,5411.7,5.07,14922349.0,5143.71347,5.0788
2025-12-18,5326.38,-1.58,13650144.0,5161.11028,3.152
2025-12-19,5361.78,0.66,12635677.0,5180.22168,3.4448
2025-12-22,5591.4,4.28,15608077.0,5219.38152,6.8851
2025-12-23,5561.78,-0.53,13742484.0,5251.9909,5.7311
2025-12-24,5624.05,1.12,13166790.0,5287.4251,6.1721
2025-12-25,5614.19,-0.18,12915941.0,5318.54557,5.4097
2025-12-26,5580.23,-0.6,12092386.0,5343.46789,4.3355
2025-12-29,5555.99,-0.43,12508681.0,5363.7081,3.5221
2025-12-30,5576.54,0.37,12528183.0,5383.9778,3.5141
2025-12-31,5501.52,-1.35,12293836.0,5395.1723,1.952
2026-01-05,5575.34,1.34,14331844.0,5412.33112,2.9673
2026-01-06,5532.66,-0.77,15684664.0,5423.79102,1.9874
2026-01-07,5601.3,1.24,15363820.0,5440.69663,2.9092
2026-01-08,5548.18,-0.95,15369443.0,5450.93315,1.7683
2026-01-09,5592.75,0.8,19287650.0,5464.43951,2.321
2026-01-12,5746.1,2.74,21167159.0,5491.26432,4.5363
2026-01-13,5580.69,-2.88,21842847.0,5499.78105,1.4604
2026-01-14,5687.23,1.91,23534511.0,5517.63333,3.0274
2026-01-15,5710.06,0.4,19272692.0,5535.95968,3.0965
2026-01-16,5672.3,-0.66,18070708.0,5548.94447,2.1987
2026-01-19,5618.04,-0.96,14028239.0,5555.525,1.119
2026-01-20,5436.79,-3.23,14190557.0,5544.21691,-1.9567
2026-01-21,5482.52,0.84,12276084.0,5538.34101,-1.013
2026-01-22,5637.75,2.83,14645453.0,5547.80853,1.6082
2026-01-23,5552.07,-1.52,16300019.0,5548.21439,0.0695
2026-01-26,5568.49,0.3,16386032.0,5550.1454,0.33
2026-01-27,5687.95,2.15,16286172.0,5563.26965,2.2164
2026-01-28,5736.9,0.86,17725188.0,5579.80587,2.7765
2026-01-29,5680.59,-0.98,16185088.0,5589.40436,1.6182
2026-01-30,5876.02,3.44,17817193.0,5616.70109,4.5135
2026-02-02,5706.24,-2.89,20221300.0,5625.2286,1.4299
2026-02-03,5832.65,2.22,19501640.0,5644.98302,3.2704
2026-02-04,5673.16,-2.73,17769996.0,5647.66654,0.4504
2026-02-05,5537.68,-2.39,13137865.0,5637.19163,-1.781
2026-02-06,5467.8,-1.26,13900519.0,5621.0591,-2.7644
2026-02-09,5750.75,5.17,17753509.0,5633.41061,2.0615
2026-02-10,5758.44,0.13,14301540.0,5645.31817,1.984
2026-02-11,5633.34,-2.17,14097746.0,5644.17739,-0.1922
2026-02-12,5720.74,1.55,15404173.0,5651.46907,1.2183
2026-02-13,5621.62,-1.73,12540146.0,5648.6263,-0.4793
2026-02-24,5794.36,3.07,15961893.0,5662.5057,2.3019
2026-02-25,5807.0,0.22,13428503.0,5676.26706,2.277
2026-02-26,5972.05,2.84,17185966.0,5704.43687,4.5846
2026-02-27,5889.41,-1.38,17944285.0,5722.05336,2.8828
2026-03-02,6000.08,1.88,19790136.0,5748.53208,4.2828
2026-03-03,5833.31,-2.78,20503117.0,5756.60617,1.3236
2026-03-04,5752.12,-1.39,13653532.0,5756.17892,-0.0705
2026-03-05,5915.76,2.84,17734654.0,5771.37712,2.4709
2026-03-06,5852.34,-1.07,13584490.0,5779.08787,1.2596
2026-03-09,5713.25,-2.38,15767385.0,5772.81759,-1.0372
2026-03-10,5960.06,4.32,16868561.0,5790.6502,2.8836
2026-03-11,5985.81,0.43,18464139.0,5809.23685,2.9942
2026-03-12,5893.98,-1.53,16081357.0,5817.30763,1.3094
