trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,3964.94,-0.13,2737033.0,3992.50415,-0.6928
2025-05-07,4023.93,1.49,2843401.0,3995.49709,0.7091
2025-05-08,4068.71,1.11,2718021.0,4002.46975,1.6414
2025-05-09,4124.15,1.36,2898132.0,4014.05834,2.7057
2025-05-12,4130.6,0.16,2842969.0,4025.15755,2.5859
2025-05-13,4193.45,1.52,2970345.0,4041.1854,3.6986
2025-05-14,4227.95,0.82,3276883.0,4058.9725,4.0787
2025-05-15,4222.75,-0.12,2589494.0,4074.57036,3.5721
2025-05-16,4183.23,-0.94,2528547.0,4084.9189,2.3782
2025-05-19,4169.76,-0.32,2078751.0,4092.999,1.8581
2025-05-20,4177.78,0.19,2049934.0,4101.07338,1.8531
2025-05-21,4207.62,0.71,2242240.0,4111.22068,2.3177
2025-05-22,4249.7,1.0,2528659.0,4124.40919,2.9926
2025-05-23,4208.62,-0.97,2628337.0,4132.42926,1.8269
2025-05-26,4176.9,-0.75,2335385.0,4136.66457,0.968
2025-05-27,4199.25,0.53,2201746.0,4142.62509,1.3576
2025-05-28,4193.47,-0.14,2145995.0,4147.46746,1.1031
2025-05-29,4183.52,-0.24,2252424.0,4150.90104,0.7828
2025-05-30,4210.35,0.64,2868728.0,4156.56284,1.2857
2025-06-03,4293.58,1.98,3865889.0,4169.6121,2.9298
2025-06-04,4295.3,0.04,2660229.0,4181.58237,2.6832
2025-06-05,4264.01,-0.73,2637719.0,4189.43262,1.7645
2025-06-06,4276.14,0.28,2189725.0,4197.69047,1.8516
2025-06-09,4287.07,0.26,2659835.0,4206.2028,1.9043
2025-06-10,4307.52,0.48,3292289.0,4215.85206,2.1511
2025-06-11,4321.08,0.31,2470201.0,4225.87377,2.2279
2025-06-12,4333.96,0.3,2630674.0,4236.1677,2.2823
2025-06-13,4294.18,-0.92,3892557.0,4241.69268,1.2298
2025-06-16,4350.91,1.32,2934935.0,4252.09433,2.2973
2025-06-17,4343.57,-0.17,2305040.0,4260.8063,1.9238
2025-06-18,4383.55,0.92,2781929.0,4272.49617,2.5661
2025-06-19,4377.05,-0.15,2572034.0,4282.45368,2.1849
2025-06-20,4407.13,0.69,3243954.0,4294.32762,2.5929
2025-06-23,4460.88,1.22,3659164.0,4310.18975,3.4364
2025-06-24,4479.03,0.41,4016359.0,4326.26977,3.4701
2025-06-25,4525.87,1.05,3688279.0,4345.27932,4.072
2025-06-26,4571.58,1.01,3712006.0,4366.83176,4.5821
2025-06-27,4436.65,-2.95,5480493.0,4373.48112,1.434
2025-06-30,4421.54,-0.34,3292979.0,4378.05816,0.9883
2025-07-01,4489.41,1.54,2933321.0,4388.66309,2.2697
2025-07-02,4523.25,0.75,2746152.0,4401.48089,2.729
2025-07-03,4520.62,-0.06,2396836.0,4412.82748,2.4134
2025-07-04,4603.91,1.84,3636384.0,4431.02581,3.8275
2025-07-07,4623.87,0.43,2969476.0,4449.39192,3.8465
2025-07-08,4612.64,-0.24,2971708.0,4464.93936,3.2545
2025-07-09,4627.87,0.33,3190961.0,4480.45656,3.2372
2025-07-10,4670.31,0.92,4805030.0,4498.53784,3.7473
2025-07-11,4557.87,-2.41,6071617.0,4504.18852,1.1848
2025-07-14,4581.24,0.51,4059127.0,4511.52676,1.5334
2025-07-15,4536.98,-0.97,3206361.0,4513.95088,0.5089
2025-07-16,4503.63,-0.74,3276259.0,4512.96794,-0.2071
2025-07-17,4484.75,-0.42,2369179.0,4510.28052,-0.5677
2025-07-18,4511.14,0.59,2793528.0,4510.36237,0.0172
2025-07-21,4476.38,-0.77,2956296.0,4507.12595,-0.6845
2025-07-22,4432.35,-0.98,4128920.0,4500.00444,-1.5148
2025-07-23,4450.15,0.4,3788637.0,4495.25639,-1.0085
2025-07-24,4387.02,-1.42,3975969.0,4484.94817,-2.2077
