trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1710.44,1.38,4365432.0,1702.51198,0.4646
2025-05-07,1722.77,0.72,6332921.0,1704.44131,1.0696
2025-05-08,1732.88,0.59,4196328.0,1707.14976,1.496
2025-05-09,1716.63,-0.94,3142264.0,1708.05264,0.5009
2025-05-12,1752.28,2.08,4812841.0,1712.26477,2.3101
2025-05-13,1743.69,-0.49,3938459.0,1715.25765,1.644
2025-05-14,1813.2,3.99,10504523.0,1724.58549,5.0107
2025-05-15,1780.96,-1.78,5626223.0,1729.95449,2.9057
2025-05-16,1759.36,-1.21,3650490.0,1732.75502,1.5237
2025-05-19,1758.53,-0.05,3160630.0,1735.20978,1.335
2025-05-20,1763.06,0.26,3186921.0,1737.86218,1.4395
2025-05-21,1760.22,-0.16,2983273.0,1739.9915,1.1559
2025-05-22,1753.68,-0.37,2594923.0,1741.29516,0.7087
2025-05-23,1729.02,-1.41,3375125.0,1740.1261,-0.6403
2025-05-26,1731.25,0.13,2424164.0,1739.28076,-0.4628
2025-05-27,1728.16,-0.18,2013851.0,1738.22164,-0.5805
2025-05-28,1722.37,-0.33,2066234.0,1736.71196,-0.8292
2025-05-29,1740.85,1.07,3209493.0,1737.10606,0.2153
2025-05-30,1731.99,-0.51,3164300.0,1736.61881,-0.2669
2025-06-03,1748.77,0.97,3709837.0,1737.77607,0.6307
2025-06-04,1766.05,0.99,4197215.0,1740.46882,1.4591
2025-06-05,1781.56,0.88,4752741.0,1744.38227,2.1089
2025-06-06,1766.54,-0.84,3389279.0,1746.49253,1.1413
2025-06-09,1787.7,1.2,4810487.0,1750.41705,2.1076
2025-06-10,1767.77,-1.11,4515040.0,1752.06971,0.8921
2025-06-11,1801.44,1.9,6270215.0,1756.77164,2.5109
2025-06-12,1804.95,0.19,5277019.0,1761.36006,2.4447
2025-06-13,1787.09,-0.99,5102677.0,1763.81053,1.3112
2025-06-16,1806.5,1.09,4496774.0,1767.87619,2.1612
2025-06-17,1810.94,0.25,4476867.0,1771.97751,2.175
2025-06-18,1789.98,-1.16,4384089.0,1773.69203,0.9141
2025-06-19,1758.06,-1.78,4243742.0,1772.20327,-0.8013
2025-06-20,1767.53,0.54,3564848.0,1771.75819,-0.2389
2025-06-23,1786.64,1.08,3916270.0,1773.17551,0.7565
2025-06-24,1834.44,2.68,7378931.0,1779.01022,3.0682
2025-06-25,1916.22,4.46,13964147.0,1792.07782,6.6979
2025-06-26,1893.24,-1.2,11035916.0,1801.71231,4.9552
2025-06-27,1885.18,-0.43,11498857.0,1809.66162,4.0883
2025-06-30,1870.63,-0.77,7340089.0,1815.46813,2.9932
2025-07-01,1864.12,-0.35,5710482.0,1820.10164,2.3897
2025-07-02,1856.91,-0.39,4585920.0,1823.6072,1.8097
2025-07-03,1864.22,0.39,4214452.0,1827.47508,1.9907
2025-07-04,1871.55,0.39,7214325.0,1831.6727,2.1537
2025-07-07,1875.82,0.23,4854488.0,1835.8772,2.1523
2025-07-08,1892.79,0.9,6756840.0,1841.29747,2.7581
2025-07-09,1881.31,-0.61,7501784.0,1845.10818,1.943
2025-07-10,1907.13,1.37,9004871.0,1851.01502,2.9865
2025-07-11,1945.59,2.02,15404405.0,1860.02216,4.4977
2025-07-14,1925.53,-1.03,8573004.0,1866.26101,3.1264
2025-07-15,1914.19,-0.59,7126683.0,1870.82567,2.2915
2025-07-16,1906.02,-0.43,5719118.0,1874.17751,1.6847
2025-07-17,1915.03,0.47,5815393.0,1878.06823,1.949
2025-07-18,1921.37,0.33,6474040.0,1882.1922,2.0601
2025-07-21,1937.35,0.83,7698578.0,1887.44533,2.6097
2025-07-22,1935.15,-0.11,7458524.0,1891.98863,2.2556
2025-07-23,1960.08,1.29,11905035.0,1898.47352,3.1935
2025-07-24,2000.45,2.06,11540585.0,1908.18557,4.7219
2025-07-25,1989.03,-0.57,9012614.0,1915.88504,3.7467
2025-07-28,2019.03,1.51,8931408.0,1925.70837,4.7323
2025-07-29,2015.61,-0.17,8196848.0,1934.27043,4.1192
2025-07-30,2008.13,-0.37,8075467.0,1941.30467,3.3844
2025-07-31,1956.59,-2.57,8025371.0,1942.76042,0.7093
2025-08-01,1941.35,-0.78,5624751.0,1942.62609,-0.0657
2025-08-04,1944.77,0.18,4190705.0,1942.83027,0.0998
2025-08-05,1968.72,1.23,5372180.0,1945.29596,1.1969
2025-08-06,1972.39,0.19,4519938.0,1947.87635,1.2506
2025-08-07,1968.55,-0.19,5067817.0,1949.84527,0.9547
2025-08-08,1952.79,-0.8,4425915.0,1950.12572,0.1365
2025-08-11,1968.61,0.81,6232641.0,1951.88613,0.8532
2025-08-12,1981.34,0.65,6123523.0,1954.69126,1.3541
2025-08-13,2003.82,1.13,11495903.0,1959.37018,2.2432
2025-08-14,2015.72,0.59,12336703.0,1964.73683,2.5618
2025-08-15,2079.34,3.16,18168678.0,1975.65142,5.1152
2025-08-18,2096.19,0.81,17982403.0,1987.13129,5.3429
2025-08-19,2061.9,-1.64,12135475.0,1994.25212,3.3359
2025-08-20,2086.22,1.18,10173376.0,2003.01096,4.0702
2025-08-21,2077.85,-0.4,8929168.0,2010.13849,3.313
2025-08-22,2135.22,2.76,13392196.0,2022.05101,5.4457
2025-08-25,2154.74,0.91,15244700.0,2034.68806,5.7328
2025-08-26,2131.96,-1.06,9506560.0,2043.95205,4.2157
2025-08-27,2075.14,-2.67,12970365.0,2046.92233,1.3691
2025-08-28,2105.98,1.49,11126322.0,2052.54687,2.57
2025-08-29,2118.3,0.59,12947557.0,2058.80908,2.8486
2025-09-01,2091.09,-1.28,9865145.0,2061.88345,1.4066
2025-09-02,2069.11,-1.05,10638618.0,2062.57169,0.3165
2025-09-03,2005.92,-3.05,9704037.0,2057.17629,-2.5232
2025-09-04,1997.96,-0.4,9356524.0,2051.53665,-2.6462
2025-09-05,2013.17,0.76,7069130.0,2047.88268,-1.7096
2025-09-08,2000.22,-0.64,6202567.0,2043.34338,-2.133
2025-09-09,2001.27,0.05,6044416.0,2039.33639,-1.8842
2025-09-10,1996.61,-0.23,4765488.0,2035.26721,-1.9176
2025-09-11,2048.83,2.62,9384867.0,2036.5589,0.6007
2025-09-12,2018.88,-1.46,7565953.0,2034.8752,-0.7892
2025-09-15,2011.44,-0.37,6271943.0,2032.64327,-1.0486
2025-09-16,2007.97,-0.17,7945640.0,2030.29344,-1.1056
2025-09-17,2018.97,0.55,10181330.0,2029.21502,-0.5062
2025-09-18,1962.2,-2.81,12267222.0,2022.83263,-3.0433
2025-09-19,1944.95,-0.88,6093101.0,2015.41524,-3.5589
2025-09-22,1960.78,0.81,5011215.0,2010.21188,-2.4898
2025-09-23,1934.79,-1.33,6672022.0,2003.02885,-3.4662
2025-09-24,1950.2,0.8,5965405.0,1997.99753,-2.4214
2025-09-25,1947.24,-0.15,5239071.0,1993.16348,-2.331
2025-09-26,1943.12,-0.21,5049623.0,1988.39743,-2.3034
2025-09-29,2017.8,3.84,14800684.0,1991.19768,1.3272
2025-09-30,1994.85,-1.14,9446886.0,1991.54552,0.1658
2025-10-09,1996.87,0.1,9508816.0,1992.05261,0.2415
2025-10-10,2004.82,0.4,9562741.0,1993.26855,0.5779
2025-10-13,1980.99,-1.19,7720529.0,1992.09917,-0.5592
2025-10-14,1988.89,0.4,8897953.0,1991.79353,-0.1459
2025-10-15,2018.42,1.48,7567920.0,1994.32939,1.2007
2025-10-16,2018.46,0.0,6612776.0,1996.62754,1.0875
2025-10-17,1977.98,-2.01,7045040.0,1994.85158,-0.8494
2025-10-20,1987.74,0.49,5326111.0,1994.17429,-0.3232
2025-10-21,2006.23,0.93,7534031.0,1995.32245,0.5452
2025-10-22,1992.96,-0.66,4403644.0,1995.09746,-0.1072
2025-10-23,2012.05,0.96,5089856.0,1996.71199,0.7652
2025-10-24,2017.91,0.29,6265641.0,1998.73084,0.955
2025-10-27,2034.08,0.8,9434656.0,2002.09743,1.5848
2025-10-28,2024.55,-0.47,6299610.0,2004.23577,1.0085
2025-10-29,2066.69,2.08,10117731.0,2010.18379,2.7722
2025-10-30,2035.29,-1.52,8732579.0,2012.57486,1.1223
2025-10-31,2008.58,-1.31,7176671.0,2012.1944,-0.1798
2025-11-03,2007.29,-0.06,5328517.0,2011.72731,-0.2208
2025-11-04,2004.94,-0.12,4647471.0,2011.0809,-0.3058
2025-11-05,1995.09,-0.49,4090474.0,2009.55796,-0.7226
2025-11-06,2018.51,1.17,5784859.0,2010.41053,0.4021
2025-11-07,2005.2,-0.66,4332387.0,2009.91429,-0.2348
2025-11-10,2029.59,1.22,5349277.0,2011.78817,0.881
2025-11-11,2009.22,-1.0,4756248.0,2011.54358,-0.1156
2025-11-12,2009.53,0.02,5262010.0,2011.35181,-0.0906
2025-11-13,2032.39,1.14,4857770.0,2013.35545,0.941
2025-11-14,2008.36,-1.18,4521649.0,2012.87969,-0.2248
2025-11-17,1986.16,-1.11,4067858.0,2010.33496,-1.2098
2025-11-18,1983.3,-0.14,4089220.0,2007.7602,-1.2258
2025-11-19,1989.5,0.31,4123430.0,2006.02113,-0.827
2025-11-20,1980.63,-0.45,4970895.0,2003.60293,-1.1532
2025-11-21,1919.09,-3.11,5606109.0,1995.55408,-3.9071
2025-11-24,1918.09,-0.05,3602406.0,1988.17655,-3.5888
2025-11-25,1933.08,0.78,3568272.0,1982.92926,-2.5461
2025-11-26,1930.51,-0.13,2869852.0,1977.93695,-2.427
2025-11-27,1928.92,-0.08,2925087.0,1973.26867,-2.2731
2025-11-28,1932.15,0.17,2845233.0,1969.3526,-1.9071
2025-12-01,1932.72,0.03,3880708.0,1965.86378,-1.7003
2025-12-02,1921.4,-0.59,3052169.0,1961.62914,-2.0721
2025-12-03,1903.6,-0.93,3098706.0,1956.10255,-2.7207
2025-12-04,1909.15,0.29,2662536.0,1951.63088,-2.2007
2025-12-05,1975.96,3.5,7136371.0,1953.94794,1.1202
2025-12-08,2013.58,1.9,9081696.0,1959.62718,2.716
2025-12-09,1986.08,-1.37,4814466.0,1962.1465,1.2124
2025-12-10,1992.28,0.31,4135277.0,1965.01636,1.3779
2025-12-11,1972.21,-1.01,3826072.0,1965.70147,0.3306
2025-12-12,1991.97,1.0,4934472.0,1968.20323,1.2003
2025-12-15,2023.71,1.59,5199180.0,1973.48959,2.5129
