trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,7023.07,2.2,8343794.0,6789.3123,3.3851
2025-05-07,7030.2,0.1,9434006.0,6812.25399,3.1492
2025-05-08,7080.14,0.71,8595773.0,6837.76694,3.4832
2025-05-09,7011.35,-0.97,8244924.0,6854.29866,2.2654
2025-05-12,7145.34,1.91,8807823.0,6882.01688,3.7549
2025-05-13,7109.19,-0.51,8463487.0,6903.65242,2.9338
2025-05-14,7112.18,0.04,7490900.0,6923.51219,2.6886
2025-05-15,7045.52,-0.94,7214770.0,6935.13198,1.5792
2025-05-16,7179.76,1.91,9309212.0,6958.42989,3.1312
2025-05-19,7156.4,-0.33,8781332.0,6977.28418,2.5347
2025-05-20,7235.76,1.11,8559133.0,7001.90093,3.2854
2025-05-21,7272.09,0.5,9473439.0,7027.63322,3.4194
2025-05-22,7238.34,-0.46,8851013.0,7047.70053,2.6691
2025-05-23,7268.98,0.42,10663818.0,7068.77477,2.7929
2025-05-26,7139.93,-1.78,8386616.0,7075.55146,0.9058
2025-05-27,7065.18,-1.05,7628641.0,7074.5637,-0.1327
2025-05-28,7014.38,-0.72,7651101.0,7068.83192,-0.7733
2025-05-29,7106.25,1.31,8721642.0,7072.39554,0.4775
2025-05-30,6970.5,-1.91,8547074.0,7062.69121,-1.3139
2025-06-03,6951.4,-0.27,7545383.0,7052.09204,-1.4381
2025-06-04,6976.56,0.36,6589781.0,7044.89852,-0.9748
2025-06-05,7026.54,0.72,7663922.0,7043.15009,-0.2361
2025-06-06,6982.39,-0.63,6642933.0,7037.36341,-0.7842
2025-06-09,6984.61,0.03,7552027.0,7032.33928,-0.681
2025-06-10,6937.99,-0.67,7995212.0,7023.35363,-1.2229
2025-06-11,7055.74,1.7,8300079.0,7026.43805,0.4162
2025-06-12,7063.17,0.11,7789653.0,7029.93633,0.4716
2025-06-13,6923.15,-1.98,8143423.0,7019.7662,-1.3859
2025-06-16,6908.22,-0.22,5736886.0,7009.14275,-1.4503
2025-06-17,6869.94,-0.55,5666244.0,6995.88535,-1.8167
2025-06-18,6890.48,0.3,5875386.0,6985.84674,-1.3745
2025-06-19,6789.47,-1.47,6624844.0,6967.1442,-2.5833
2025-06-20,6746.19,-0.64,4918273.0,6946.10094,-2.9203
2025-06-23,6766.37,0.3,4869556.0,6928.98371,-2.3748
2025-06-24,6944.22,2.63,8262912.0,6930.43478,0.1987
2025-06-25,7042.73,1.42,8715476.0,6941.12957,1.4531
2025-06-26,6945.95,-1.37,8549315.0,6941.58866,0.0628
2025-06-27,6940.78,-0.07,7982494.0,6941.51164,-0.0105
2025-06-30,6992.03,0.74,7511638.0,6946.32291,0.6558
2025-07-01,6989.39,-0.04,7577745.0,6950.42454,0.5591
2025-07-02,6940.26,-0.7,6294982.0,6949.45649,-0.1324
2025-07-03,6985.04,0.65,5855350.0,6952.84539,0.462
2025-07-04,6947.88,-0.53,6107807.0,6952.3725,-0.0646
2025-07-07,6940.12,-0.11,5407633.0,6951.20559,-0.1596
2025-07-08,6988.39,0.7,6296244.0,6954.74697,0.4826
2025-07-09,6951.57,-0.53,7109921.0,6954.4444,-0.0413
