trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1649.54,3.04,12115027.0,1591.86792,3.5588
2025-05-07,1659.21,0.59,13414463.0,1598.28145,3.7413
2025-05-08,1676.32,1.03,12792826.0,1605.71369,4.3033
2025-05-09,1655.75,-1.23,11723774.0,1610.47906,2.7722
2025-05-12,1692.87,2.24,12911905.0,1618.32581,4.5033
2025-05-13,1681.7,-0.66,12057911.0,1624.36145,3.469
2025-05-14,1675.49,-0.37,11529389.0,1629.23084,2.7998
2025-05-15,1647.88,-1.65,10079809.0,1631.00695,1.0292
2025-05-16,1661.6,0.83,10844409.0,1633.92057,1.6799
2025-05-19,1661.15,-0.03,10565091.0,1636.51385,1.4942
2025-05-20,1667.16,0.36,10621766.0,1639.43253,1.6771
2025-05-21,1653.29,-0.83,9263294.0,1640.75229,0.7612
2025-05-22,1635.43,-1.08,8693007.0,1640.2454,-0.294
2025-05-23,1620.45,-0.92,9350362.0,1638.36013,-1.0992
2025-05-26,1632.73,0.76,8458321.0,1637.82393,-0.3115
2025-05-27,1618.31,-0.88,8908195.0,1635.96546,-1.0851
2025-05-28,1620.27,0.12,9279961.0,1634.47065,-0.8726
2025-05-29,1643.21,1.42,10186719.0,1635.30297,0.4824
2025-05-30,1613.54,-1.81,9372490.0,1633.23031,-1.2129
2025-06-03,1610.71,-0.18,7778583.0,1631.08551,-1.2571
2025-06-04,1619.12,0.52,8218048.0,1629.94594,-0.6664
2025-06-05,1634.95,0.98,9865796.0,1630.42252,0.2773
2025-06-06,1628.53,-0.39,8428852.0,1630.24228,-0.1051
2025-06-09,1640.22,0.72,8520669.0,1631.19254,0.5519
2025-06-10,1622.53,-1.08,9797477.0,1630.36753,-0.4819
2025-06-11,1628.26,0.35,7826073.0,1630.16682,-0.117
2025-06-12,1629.3,0.06,7884273.0,1630.08426,-0.0481
2025-06-13,1609.53,-1.21,9289973.0,1628.12671,-1.1488
2025-06-16,1613.78,0.26,7666663.0,1626.76036,-0.8011
2025-06-17,1613.42,-0.02,7880668.0,1625.48985,-0.7453
2025-06-18,1616.58,0.2,7946395.0,1624.64129,-0.4974
2025-06-19,1591.43,-1.56,9326763.0,1621.47831,-1.8705
2025-06-20,1574.84,-1.04,7646934.0,1617.03657,-2.6442
2025-06-23,1587.76,0.82,7206212.0,1614.24832,-1.6545
2025-06-24,1626.31,2.43,10159569.0,1615.39705,0.6733
2025-06-25,1642.86,1.02,10155229.0,1618.01257,1.524
2025-06-26,1634.21,-0.53,9884683.0,1619.55519,0.9008
2025-06-27,1639.4,0.32,8344118.0,1621.44517,1.1012
2025-06-30,1659.05,1.2,9308702.0,1625.02658,2.0721
2025-07-01,1659.53,0.03,9734108.0,1628.31262,1.899
2025-07-02,1654.21,-0.32,10095160.0,1630.77904,1.4266
2025-07-03,1659.86,0.34,9135728.0,1633.54865,1.5979
2025-07-04,1643.73,-0.97,8708571.0,1634.51831,0.562
2025-07-07,1643.22,-0.03,7430904.0,1635.34704,0.4803
2025-07-08,1666.46,1.41,9041581.0,1638.31018,1.7036
2025-07-09,1664.67,-0.11,10751560.0,1640.82064,1.443
2025-07-10,1663.91,-0.05,8936396.0,1643.01962,1.2634
2025-07-11,1674.53,0.64,9676000.0,1646.02061,1.7172
2025-07-14,1695.06,1.23,10710112.0,1650.69103,2.6524
2025-07-15,1692.39,-0.16,11256485.0,1654.66236,2.2545
2025-07-16,1705.05,0.75,11227771.0,1659.46118,2.7101
2025-07-17,1721.46,0.96,11477226.0,1665.36583,3.3128
2025-07-18,1723.25,0.1,10549392.0,1670.87861,3.0862
2025-07-21,1756.94,1.96,14409747.0,1679.07493,4.5331
2025-07-22,1777.9,1.19,16579498.0,1688.48684,5.16
2025-07-23,1754.96,-1.29,14688266.0,1694.81762,3.4871
2025-07-24,1774.75,1.13,13526054.0,1702.43023,4.1603
