trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2503.52,0.74,606665.0,2542.68989,-1.5525
2025-05-07,2524.87,0.85,648848.0,2540.99275,-0.6365
2025-05-08,2520.34,-0.18,487941.0,2539.02583,-0.7387
2025-05-09,2522.92,0.1,528918.0,2537.49194,-0.5759
2025-05-12,2524.22,0.05,641735.0,2536.22794,-0.4746
2025-05-13,2539.93,0.62,700395.0,2536.58052,0.132
2025-05-14,2565.88,1.02,769810.0,2539.37095,1.0385
2025-05-15,2576.63,0.42,831183.0,2542.91943,1.317
2025-05-16,2560.89,-0.61,638462.0,2544.63091,0.6369
2025-05-19,2568.63,0.3,752998.0,2546.91654,0.8489
2025-05-20,2560.14,-0.33,587019.0,2548.17592,0.4684
2025-05-21,2625.4,2.55,1208870.0,2555.53059,2.6973
2025-05-22,2614.1,-0.43,724082.0,2561.10863,2.048
2025-05-23,2587.34,-1.02,664098.0,2563.60686,0.9215
2025-05-26,2580.29,-0.27,557761.0,2565.19573,0.5867
2025-05-27,2561.8,-0.72,523715.0,2564.87232,-0.1199
2025-05-28,2580.66,0.74,466937.0,2566.37591,0.555
2025-05-29,2593.12,0.48,511013.0,2568.92297,0.9375
2025-05-30,2578.75,-0.55,476437.0,2569.85888,0.3454
2025-06-03,2557.0,-0.84,651691.0,2568.63422,-0.454
2025-06-04,2569.94,0.51,644601.0,2568.75858,0.046
2025-06-05,2555.62,-0.56,533164.0,2567.50729,-0.4641
2025-06-06,2565.75,0.4,624686.0,2567.33993,-0.0619
2025-06-09,2569.17,0.13,629169.0,2567.51422,0.0645
2025-06-10,2564.84,-0.17,678275.0,2567.25953,-0.0943
2025-06-11,2580.54,0.61,679848.0,2568.52434,0.4667
2025-06-12,2551.16,-1.14,661206.0,2566.87059,-0.6139
2025-06-13,2542.41,-0.34,871322.0,2564.54101,-0.8667
2025-06-16,2540.63,-0.07,668357.0,2562.26377,-0.8479
2025-06-17,2563.33,0.89,726154.0,2562.36532,0.0376
2025-06-18,2539.72,-0.92,593887.0,2560.20862,-0.8035
2025-06-19,2516.33,-0.92,626821.0,2556.0297,-1.5654
2025-06-20,2522.79,0.26,554995.0,2552.86402,-1.185
2025-06-23,2565.26,1.68,729725.0,2554.04459,0.4382
2025-06-24,2559.73,-0.22,676391.0,2554.58606,0.2012
2025-06-25,2534.16,-1.0,633333.0,2552.64072,-0.7266
2025-06-26,2521.91,-0.48,629054.0,2549.71398,-1.0965
2025-06-27,2539.55,0.7,745138.0,2548.74598,-0.3615
2025-06-30,2548.02,0.33,637326.0,2548.67684,-0.0258
2025-07-01,2548.98,0.04,541659.0,2548.70571,0.0108
2025-07-02,2599.59,1.99,985072.0,2553.55184,1.7868
2025-07-03,2569.45,-1.16,741616.0,2555.06595,0.5614
2025-07-04,2580.17,0.42,813943.0,2557.45681,0.8842
2025-07-07,2527.54,-2.04,792497.0,2554.60759,-1.0652
2025-07-08,2535.49,0.31,694768.0,2552.78687,-0.6799
2025-07-09,2539.81,0.17,783757.0,2551.55098,-0.4612
2025-07-10,2567.62,1.1,1182364.0,2553.08136,0.5678
2025-07-11,2552.25,-0.6,1239056.0,2553.00218,-0.0295
2025-07-14,2563.44,0.44,1151985.0,2553.99626,0.3691
2025-07-15,2514.11,-1.92,1069632.0,2550.19757,-1.4252
2025-07-16,2503.76,-0.41,576593.0,2545.77494,-1.6641
