trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2147.11,0.66,803103.0,2128.00513,0.8938
2025-05-07,2166.61,0.91,877426.0,2131.68178,1.6252
2025-05-08,2160.37,-0.29,698409.0,2134.41399,1.2087
2025-05-09,2153.15,-0.33,700468.0,2136.19837,0.7904
2025-05-12,2164.38,0.52,681206.0,2138.88234,1.1851
2025-05-13,2176.08,0.54,782518.0,2142.42497,1.5587
2025-05-14,2200.66,1.13,940030.0,2147.97117,2.4234
2025-05-15,2185.5,-0.69,790133.0,2151.54534,1.5658
2025-05-16,2167.23,-0.84,736233.0,2153.03912,0.6569
2025-05-19,2171.76,0.21,657091.0,2154.82206,0.783
2025-05-20,2177.13,0.25,601847.0,2156.94662,0.9314
2025-05-21,2188.56,0.53,755771.0,2159.95742,1.3155
2025-05-22,2183.55,-0.23,675224.0,2162.20433,0.9824
2025-05-23,2164.34,-0.88,658826.0,2162.40773,0.0893
2025-05-26,2168.92,0.21,605994.0,2163.02795,0.272
2025-05-27,2170.57,0.08,567791.0,2163.74624,0.3149
2025-05-28,2181.12,0.49,796524.0,2165.40088,0.7233
2025-05-29,2176.94,-0.19,647995.0,2166.49985,0.4807
2025-05-30,2173.08,-0.18,633086.0,2167.12653,0.2743
2025-06-03,2174.14,0.05,597704.0,2167.79448,0.2923
2025-06-04,2181.65,0.35,550167.0,2169.11405,0.5763
2025-06-05,2176.06,-0.26,523790.0,2169.77557,0.2892
2025-06-06,2195.28,0.88,700411.0,2172.20456,1.0567
2025-06-09,2210.91,0.71,834092.0,2175.8908,1.5966
2025-06-10,2206.46,-0.2,912541.0,2178.80215,1.2614
2025-06-11,2220.46,0.63,788801.0,2182.76956,1.712
2025-06-12,2226.39,0.27,982906.0,2186.92389,1.7885
2025-06-13,2272.11,2.05,2266601.0,2195.03685,3.451
2025-06-16,2269.85,-0.1,2364253.0,2202.16191,3.0274
2025-06-17,2286.28,0.72,2327646.0,2210.17316,3.3855
2025-06-18,2268.23,-0.79,1855882.0,2215.70238,2.343
2025-06-19,2287.72,0.86,2475809.0,2222.5612,2.8895
2025-06-20,2248.68,-1.71,1948146.0,2225.04871,1.0565
2025-06-23,2270.84,0.99,2230351.0,2229.40978,1.8413
2025-06-24,2223.13,-2.1,2011114.0,2228.81171,-0.2552
2025-06-25,2210.42,-0.57,1474096.0,2227.06012,-0.75
2025-06-26,2216.47,0.27,1573784.0,2226.05154,-0.4314
2025-06-27,2202.18,-0.64,1153626.0,2223.77806,-0.976
2025-06-30,2204.58,0.11,1123674.0,2221.94967,-0.7848
2025-07-01,2211.93,0.33,957019.0,2220.99542,-0.409
2025-07-02,2223.2,0.51,1071062.0,2221.20538,0.0898
2025-07-03,2220.79,-0.11,853857.0,2221.16582,-0.0169
2025-07-04,2213.33,-0.34,790903.0,2220.41955,-0.3198
2025-07-07,2203.4,-0.45,774456.0,2218.79864,-0.6964
2025-07-08,2224.28,0.95,858227.0,2219.32067,0.2232
2025-07-09,2224.66,0.02,975970.0,2219.82918,0.2174
2025-07-10,2258.93,1.54,1351254.0,2223.55307,1.5785
2025-07-11,2247.26,-0.52,1301930.0,2225.81087,0.959
2025-07-14,2266.51,0.86,1026391.0,2229.68698,1.638
2025-07-15,2243.62,-1.01,1030595.0,2231.01393,0.5634
2025-07-16,2253.43,0.44,773745.0,2233.1488,0.9041
2025-07-17,2256.41,0.13,845655.0,2235.36415,0.9371
2025-07-18,2272.55,0.72,981509.0,2238.90566,1.4915
2025-07-21,2316.64,1.94,1289395.0,2246.30893,3.0829
2025-07-22,2363.34,2.02,1532743.0,2257.45475,4.5838
2025-07-23,2344.01,-0.82,1416439.0,2265.6981,3.398
2025-07-24,2344.32,0.01,1285688.0,2273.1859,3.0813
2025-07-25,2331.15,-0.56,1285035.0,2278.70629,2.2754
2025-07-28,2307.37,-1.02,1098108.0,2281.43617,1.1303
2025-07-29,2306.33,-0.04,946203.0,2283.80701,0.9814
2025-07-30,2348.73,1.84,1554426.0,2289.99015,2.5327
2025-07-31,2303.97,-1.91,1264960.0,2291.32157,0.5505
2025-08-01,2262.71,-1.79,1098344.0,2288.59666,-1.1376
2025-08-04,2254.55,-0.36,821569.0,2285.35412,-1.3571
2025-08-05,2268.48,0.62,762685.0,2283.74706,-0.6708
2025-08-06,2275.58,0.31,699720.0,2282.96924,-0.3242
2025-08-07,2275.86,0.01,850255.0,2282.29217,-0.2822
