trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,1703.79,1.73,1267112.0,1679.65638,1.4266
2025-05-07,1712.15,0.49,1313070.0,1682.75101,1.732
2025-05-08,1728.22,0.94,1185684.0,1687.08139,2.4092
2025-05-09,1723.97,-0.25,1121196.0,1690.59459,1.9549
2025-05-12,1735.9,0.69,1168818.0,1694.90939,2.3897
2025-05-13,1734.08,-0.1,1146740.0,1698.63993,2.0649
2025-05-14,1737.63,0.2,1158122.0,1702.35327,2.0511
2025-05-15,1723.52,-0.81,995386.0,1704.36915,1.1174
2025-05-16,1723.96,0.03,986483.0,1706.23494,1.0335
2025-05-19,1756.25,1.87,1394765.0,1710.99828,2.6104
2025-05-20,1773.21,0.97,1472851.0,1716.92321,3.2258
2025-05-21,1766.49,-0.38,1348401.0,1721.64385,2.5715
2025-05-22,1740.38,-1.48,1190185.0,1723.42825,0.9788
2025-05-23,1730.0,-0.6,1210595.0,1724.05413,0.3443
2025-05-26,1751.07,1.22,1127801.0,1726.62707,1.4057
2025-05-27,1764.34,0.76,1334088.0,1730.21878,1.9529
2025-05-28,1779.97,0.89,1684762.0,1734.95699,2.5614
2025-05-29,1803.06,1.3,1732711.0,1741.44299,3.4771
2025-05-30,1789.23,-0.77,2101658.0,1745.99413,2.4461
2025-06-03,1782.12,-0.4,1643288.0,1749.43469,1.8511
2025-06-04,1801.5,1.09,1581473.0,1754.39329,2.6497
2025-06-05,1799.48,-0.11,1435871.0,1758.68727,2.293
2025-06-06,1797.45,-0.11,1270500.0,1762.37895,1.9704
2025-06-09,1812.39,0.83,1381816.0,1767.14191,2.5283
2025-06-10,1797.7,-0.81,1531506.0,1770.05221,1.5499
2025-06-11,1802.79,0.28,1248719.0,1773.17009,1.6567
2025-06-12,1801.2,-0.09,1249903.0,1775.83961,1.418
2025-06-13,1776.07,-1.4,1551516.0,1775.86155,0.0117
2025-06-16,1773.4,-0.15,1174797.0,1775.62711,-0.1255
2025-06-17,1776.91,0.2,1067669.0,1775.74929,0.0653
2025-06-18,1768.21,-0.49,1011738.0,1775.03127,-0.385
2025-06-19,1738.27,-1.69,1155019.0,1771.53019,-1.8953
2025-06-20,1731.49,-0.39,956363.0,1767.71684,-2.0706
2025-06-23,1752.31,1.2,1081814.0,1766.24952,-0.7923
2025-06-24,1782.07,1.7,1302124.0,1767.75624,0.8065
2025-06-25,1794.66,0.71,1379915.0,1770.3185,1.3656
2025-06-26,1794.56,-0.01,1308704.0,1772.62721,1.2297
2025-06-27,1799.88,0.3,1337102.0,1775.22272,1.3794
2025-06-30,1808.48,0.48,1328221.0,1778.39008,1.6778
2025-07-01,1819.86,0.63,1321905.0,1782.33959,2.0833
2025-07-02,1823.75,0.21,1493648.0,1786.28344,2.0758
2025-07-03,1833.34,0.53,1498262.0,1790.76502,2.3497
2025-07-04,1814.4,-1.03,1538712.0,1793.01597,1.1856
2025-07-07,1834.36,1.1,1339634.0,1796.9535,2.0603
