trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,4734.16,0.43,601177.0,4560.06762,3.7467
2025-05-07,4773.82,0.84,674740.0,4580.42499,4.1355
2025-05-08,4727.91,-0.96,526784.0,4594.47118,2.863
2025-05-09,4794.49,1.41,687616.0,4613.52059,3.8476
2025-05-12,4792.54,-0.04,583079.0,4630.57006,3.4381
2025-05-13,4848.94,1.18,712153.0,4651.36719,4.1599
2025-05-14,4830.15,-0.39,764464.0,4668.39413,3.4062
2025-05-15,5008.03,3.68,1227622.0,4700.7404,6.3323
2025-05-16,4942.21,-1.31,1078799.0,4723.73751,4.5212
2025-05-19,4987.75,0.92,995996.0,4748.88155,4.9076
2025-05-20,5112.37,2.5,1390383.0,4783.4995,6.6491
2025-05-21,5056.47,-1.09,1080724.0,4809.49669,5.0076
2025-05-22,4954.03,-2.03,1159094.0,4823.26177,2.6751
2025-05-23,4869.06,-1.72,868387.0,4827.6235,0.8547
2025-05-26,4868.69,-0.01,690992.0,4831.5346,0.7661
2025-05-27,4911.62,0.88,846037.0,4839.16178,1.4862
2025-05-28,4924.31,0.26,995026.0,4847.27113,1.5768
2025-05-29,4895.02,-0.59,897457.0,4851.81865,0.8865
2025-05-30,4833.94,-1.25,867319.0,4850.11592,-0.3341
2025-06-03,5020.66,3.86,1200277.0,4866.35821,3.1216
2025-06-04,5152.87,2.63,1303282.0,4893.64505,5.1616
2025-06-05,4994.59,-3.07,1152351.0,4903.25885,1.8455
2025-06-06,4909.44,-1.7,845582.0,4903.84753,0.114
2025-06-09,4943.0,0.68,757496.0,4907.57634,0.7192
2025-06-10,4997.36,1.1,1106513.0,4916.12716,1.6389
2025-06-11,4992.44,-0.1,911788.0,4923.39505,1.3926
2025-06-12,5057.72,1.31,1019624.0,4936.18791,2.4322
2025-06-13,4849.54,-4.12,1007582.0,4927.93572,-1.6036
2025-06-16,4825.65,-0.49,724864.0,4918.19423,-1.8996
2025-06-17,4765.84,-1.24,687397.0,4903.6843,-2.8513
2025-06-18,4683.32,-1.73,665487.0,4882.69722,-4.1691
2025-06-19,4576.48,-2.28,615303.0,4853.53368,-5.8777
2025-06-20,4565.44,-0.24,429943.0,4826.09619,-5.5523
2025-06-23,4591.03,0.56,445813.0,4803.70893,-4.5284
2025-06-24,4642.89,1.13,488109.0,4788.39284,-3.0858
