trade_date,close,pct_change,amount,ema_bfq_20,bias
2025-05-06,2787.3,3.21,527432.0,2741.18485,1.6683
2025-05-07,2769.0,-0.66,349298.0,2743.83392,0.913
2025-05-08,2770.53,0.06,243672.0,2746.3764,0.8756
2025-05-09,2739.35,-1.13,215464.0,2745.70722,-0.2318
2025-05-12,2795.03,2.03,341344.0,2750.40463,1.6095
2025-05-13,2801.58,0.23,293561.0,2755.27847,1.6665
2025-05-14,2805.88,0.15,264262.0,2760.09767,1.6451
2025-05-15,2802.63,-0.12,275977.0,2764.14836,1.3826
2025-05-16,2802.35,-0.01,221205.0,2767.78661,1.241
2025-05-19,2803.6,0.04,214960.0,2771.19741,1.1625
2025-05-20,2814.6,0.39,212877.0,2775.33099,1.405
2025-05-21,2858.2,1.55,326007.0,2783.22328,2.6582
2025-05-22,2862.92,0.17,336145.0,2790.81344,2.5509
2025-05-23,2822.43,-1.41,248359.0,2793.82454,1.0187
2025-05-26,2882.31,2.12,357575.0,2802.25173,2.8169
2025-05-27,2885.93,0.13,283473.0,2810.22109,2.6584
2025-05-28,2902.92,0.59,244627.0,2819.04956,2.9317
2025-05-29,2892.4,-0.36,277635.0,2826.03531,2.3212
2025-05-30,2881.12,-0.39,243769.0,2831.28147,1.745
2025-06-03,2872.8,-0.29,271317.0,2835.23562,1.3162
2025-06-04,2844.39,-0.99,249516.0,2836.10747,0.2916
2025-06-05,2849.44,0.18,202386.0,2837.37723,0.4242
2025-06-06,2851.11,0.06,192896.0,2838.68511,0.4367
2025-06-09,2873.19,0.77,306559.0,2841.97129,1.0925
2025-06-10,2878.97,0.2,286586.0,2845.49498,1.1696
2025-06-11,2886.37,0.26,245067.0,2849.38784,1.2895
2025-06-12,2861.43,-0.86,234934.0,2850.53471,0.3815
2025-06-13,2810.96,-1.76,372753.0,2846.76569,-1.2657
2025-06-16,2798.71,-0.44,238612.0,2842.18896,-1.5416
2025-06-17,2803.7,0.18,185813.0,2838.52334,-1.2344
2025-06-18,2780.41,-0.83,154733.0,2832.98874,-1.8734
2025-06-19,2755.02,-0.91,192045.0,2825.56314,-2.5283
2025-06-20,2753.81,-0.04,151678.0,2818.72951,-2.3301
2025-06-23,2748.45,-0.19,193693.0,2812.03623,-2.2872
2025-06-24,2799.74,1.87,312276.0,2810.86516,-0.3966
2025-06-25,2829.69,1.07,216563.0,2812.658,0.6037
2025-06-26,2816.88,-0.45,213457.0,2813.06009,0.1357
2025-06-27,2824.93,0.29,216156.0,2814.19056,0.3809
2025-06-30,2815.2,-0.34,204999.0,2814.2867,0.0324
